ID	LABEL	Equivalent Class
DOID:0050117	disease by infectious agent	disease and ('has material basis in' some (Viruses or Bacteria or Eukaryota or prion))
DOID:0050155	sensory system disease	disease and ('disease has location' some 'sensory system')
DOID:0050161	lower respiratory tract disease	disease and ('disease has location' some 'lower respiratory tract')
DOID:0050169	cutaneous lupus erythematosus	'lupus erythematosus' and ('disease has location' some 'zone of skin')
DOID:0050177	monogenic disease	disease and ('disease has basis in' some gene)
DOID:0050242	primary amebic meningoencephalitis	'parasitic protozoa infectious disease' and ('disease has location' some 'central nervous system')
DOID:0050332	enlarged vestibular aqueduct	'vestibular disease' and ('disease has location' some 'vestibular aqueduct')
DOID:0050610	oral cavity carcinoma in situ	'in situ carcinoma' and ('disease has location' some 'oral cavity')
DOID:0050611	pharynx carcinoma in situ	'in situ carcinoma' and ('disease has location' some pharynx)
DOID:0050612	gallbladder carcinoma in situ	'in situ carcinoma' and ('disease has location' some gallbladder)
DOID:0050613	bile duct carcinoma in situ	'in situ carcinoma' and ('disease has location' some 'bile duct')
DOID:0050614	bronchus carcinoma in situ	'in situ carcinoma' and ('disease has location' some bronchus) and ('disease has location' some bronchiole)
DOID:0050615	respiratory system cancer	cancer and ('disease has location' some 'respiratory system')
DOID:0050619	paranasal sinus cancer	cancer and ('disease has location' some 'paranasal sinus')
DOID:0050621	respiratory system benign neoplasm	'benign neoplasm' and ('disease has location' some 'respiratory system')
DOID:0050622	reproductive organ benign neoplasm	'benign neoplasm' and ('disease has location' some 'reproductive system')
DOID:0050623	bladder benign neoplasm	'benign neoplasm' and ('disease has location' some 'urinary bladder')
DOID:0050624	gastrointestinal system benign neoplasm	'benign neoplasm' and ('disease has location' some 'digestive system')
DOID:0050625	biliary tract benign neoplasm	'benign neoplasm' and ('disease has location' some 'biliary tree')
DOID:0050639	primary cutaneous amyloidosis	amyloidosis and ('disease has location' some 'zone of skin')
DOID:0050651	atrioventricular septal defect	'heart disease' and ('disease has location' some 'atrioventricular septum')
DOID:0050687	cell type cancer	cancer and ('derives from' some cell)
DOID:0050688	anal canal cancer	cancer and ('disease has location' some 'anal canal')
