ID	LABEL	SubClass Of [ANON]
DOID:0040001	shrimp allergy	'has allergic trigger' some 'shrimp food product'
DOID:0040002	aspirin allergy	'has allergic trigger' some 'acetylsalicylic acid'
DOID:0040003	benzylpenicillin allergy	'has allergic trigger' some benzylpenicillin
DOID:0040004	amoxicillin allergy	'has allergic trigger' some amoxicillin
DOID:0040005	ceftriaxone allergy	'has allergic trigger' some ceftriaxone
DOID:0040006	carbamazepine allergy	'has allergic trigger' some carbamazepine
DOID:0040007	abacavir allergy	'has allergic trigger' some abacavir
DOID:0040008	isoniazide allergy	'has allergic trigger' some isoniazide
DOID:0040009	lidocaine allergy	'has allergic trigger' some lidocaine
DOID:0040010	mepivacaine allergy	'has allergic trigger' some mepivacaine
DOID:0040011	phenobarbital allergy	'has allergic trigger' some phenobarbital
DOID:0040012	phenytoin allergy	'has allergic trigger' some phenytoin
DOID:0040013	ranitidine allergy	'has allergic trigger' some ranitidine
DOID:0040014	corticosteroid allergy	'has allergic trigger' some corticosteroid
DOID:0040015	sulfonamide allergy	'has allergic trigger' some sulfonamide
DOID:0040016	sulfamethoxazole allergy	'has allergic trigger' some sulfamethoxazole
DOID:0040017	suprofen allergy	'has allergic trigger' some suprofen
DOID:0040018	thiopental allergy	'has allergic trigger' some thiopental
DOID:0040019	D-mannitol allergy	'has allergic trigger' some D-mannitol
DOID:0040020	cefotaxime allergy	'has allergic trigger' some cefotaxime
DOID:0040021	cephalosporin allergy	'has allergic trigger' some cephalosporin
DOID:0040022	amodiaquine allergy	'has allergic trigger' some amodiaquine
DOID:0040023	cefaclor allergy	'has allergic trigger' some cefaclor
DOID:0040024	ceftazidime allergy	'has allergic trigger' some ceftazidime
DOID:0040025	cefuroxime allergy	'has allergic trigger' some cefuroxime
DOID:0040026	chlorhexidine allergy	'has allergic trigger' some chlorhexidine
DOID:0040027	cyclophosphamide allergy	'has allergic trigger' some cyclophosphamide
DOID:0040028	succinylcholine allergy	'has allergic trigger' some succinylcholine
DOID:0040029	trimethoprim allergy	'has allergic trigger' some trimethoprim
DOID:0040030	cefixime allergy	'has allergic trigger' some cefixime
DOID:0040031	diclofenac allergy	'has allergic trigger' some diclofenac
DOID:0040032	carbapenem allergy	'has allergic trigger' some carbapenems
DOID:0040033	piperacillin allergy	'has allergic trigger' some piperacillin
DOID:0040034	rocuronium allergy	'has allergic trigger' some rocuronium
DOID:0040035	sulfasalazine allergy	'has allergic trigger' some sulfasalazine
DOID:0040036	tubocurarine allergy	'has allergic trigger' some tubocurarine
DOID:0040037	aztreonam allergy	'has allergic trigger' some aztreonam
DOID:0040038	meropenem allergy	'has allergic trigger' some meropenem
DOID:0040040	hexamethylene diisocyanate allergic asthma	'has allergic trigger' some 'hexamethylene diisocyanate'
DOID:0040041	isocyanates allergic asthma	'has allergic trigger' some isocyanates
DOID:0040042	diphenylmethane-4,4'-diisocyanate allergic asthma	'has allergic trigger' some diphenylmethane-4,4'-diisocyanate
DOID:0040043	toluene meta-diisocyanate allergic asthma	'has allergic trigger' some 'toluene meta-diisocyanate'
DOID:0040044	methyl isocyanate allergic asthma	'has allergic trigger' some 'methyl isocyanate'
DOID:0040045	nickel allergic asthma	'has allergic trigger' some 'nickel atom'
DOID:0040046	nickel allergic contact dermatitis	'has allergic trigger' some 'nickel atom'
DOID:0040047	trimellitic anhydride allergic asthma	'has allergic trigger' some 'trimellitic anhydride'
DOID:0040048	phthalic anhydride allergic asthma	'has allergic trigger' some 'phthalic anhydride'
DOID:0040049	maleic anhydride allergic asthma	'has allergic trigger' some 'maleic anhydride'
DOID:0040050	tetrachlorophthalic anhydride allergic asthma	'has allergic trigger' some 'tetrachlorophthalic anhydride'
DOID:0040051	hexahydrophthalic anhydride allergic asthma	'has allergic trigger' some 'hexahydrophthalic anhydride'
DOID:0040052	diphenylmethane-4,4'-diisocyanate allergic contact dermatitis	'has allergic trigger' some diphenylmethane-4,4'-diisocyanate
DOID:0040053	cobalt allergic contact dermatitis	'has allergic trigger' some 'cobalt atom'
DOID:0040054	cobalt allergic asthma	'has allergic trigger' some 'cobalt atom'
DOID:0040055	palladium allergic contact dermatitis	'has allergic trigger' some palladium
