id	label	xrefs
"DOID:0050012"	"chikungunya"@en	"GARD:6038"
"DOID:0050026"	"human monocytic ehrlichiosis"@en	"GARD:72"
"DOID:0050052"	"Rocky Mountain spotted fever"@en	"GARD:7585"
"DOID:0050083"	"Keshan disease"@en	"GARD:8761"
"DOID:0050120"	"hemophagocytic lymphohistiocytosis"@en	"GARD:6589"
"DOID:0050144"	"Kartagener syndrome"@en	"GARD:6815"
"DOID:0050156"	"idiopathic pulmonary fibrosis"@en	"GARD:8609"
"DOID:0050157"	"cryptogenic organizing pneumonia"@en	"GARD:1620"
"DOID:0050167"	"autoimmune polyendocrine syndrome type 1"@en	"GARD:8466"
"DOID:0050168"	"autoimmune polyendocrine syndrome type 2"@en	"GARD:7611"
"DOID:0050169"	"cutaneous lupus erythematosus"@en	"GARD:6225"
"DOID:0050175"	"tick-borne encephalitis"@en	"GARD:5216"
"DOID:0050185"	"erythema multiforme"@en	"GARD:6372"
"DOID:0050242"	"primary amebic meningoencephalitis"@en	"GARD:9554"
"DOID:0050246"	"granulomatous amebic encephalitis"@en	"GARD:12651"
"DOID:0050256"	"angiostrongyliasis"@en	"GARD:683"
"DOID:0050266"	"tungiasis"@en	"GARD:393"
"DOID:0050328"	"congenital hypothyroidism"@en	"GARD:1487"
"DOID:0050332"	"enlarged vestibular aqueduct"@en	"GARD:8651"
"DOID:0050335"	"bradyopsia"@en	"GARD:12299"
"DOID:0050424"	"familial adenomatous polyposis"@en	"GARD:6408"
"DOID:0050425"	"restless legs syndrome"@en	"GARD:11926"
"DOID:0050426"	"Stevens-Johnson syndrome"@en	"GARD:7700"
"DOID:0050427"	"xeroderma pigmentosum"@en	"GARD:7910"
"DOID:0050429"	"Hailey-Hailey disease"@en	"GARD:6559"
"DOID:0050432"	"Asperger syndrome"@en	"GARD:5855"
"DOID:0050433"	"fatal familial insomnia"@en	"GARD:6429"
"DOID:0050434"	"Andersen-Tawil syndrome"@en	"GARD:9453"
"DOID:0050436"	"mulibrey nanism"@en	"GARD:95"
"DOID:0050437"	"Danon disease"@en	"GARD:9730"
"DOID:0050438"	"Frasier syndrome"@en	"GARD:2375"
"DOID:0050439"	"Usher syndrome"@en	"GARD:7843"
"DOID:0050440"	"familial partial lipodystrophy"@en	"GARD:11962"
"DOID:0050448"	"white sponge nevus"@en	"GARD:8501"
"DOID:0050449"	"pachyonychia congenita"@en	"GARD:10753"
"DOID:0050450"	"Gitelman syndrome"@en	"GARD:8547"
"DOID:0050451"	"Brugada syndrome"@en	"GARD:1030"
"DOID:0050452"	"mevalonic aciduria"@en	"GARD:3588"
"DOID:0050453"	"lissencephaly"@en	"GARD:12291"
"DOID:0050456"	"Buruli ulcer disease"@en	"GARD:9520"
"DOID:0050457"	"Sertoli cell-only syndrome"@en	"GARD:8406"
"DOID:0050458"	"juvenile myelomonocytic leukemia"@en	"GARD:9884"
"DOID:0050460"	"Wolf-Hirschhorn syndrome"@en	"GARD:7896"
