id	label	subClassOf
"DOID:0040058"	"1,4-phenylenediamine allergic contact dermatitis"	"allergic contact dermatitis"
"DOID:0040069"	"1-chloro-2,4-dinitrobenzene allergic contact dermatitis"	"allergic contact dermatitis"
"DOID:0112248"	"17-beta hydroxysteroid dehydrogenase 3 deficiency"	"pseudohermaphroditism"
"DOID:0040079"	"2,4-dinitrophenyl allergic contact dermatitis"	"allergic contact dermatitis"
"DOID:0111453"	"2-aminoadipic 2-oxoadipic aciduria"	"amino acid metabolic disorder"
"DOID:0050573"	"2-hydroxyglutaric aciduria"	"amino acid metabolic disorder"
"DOID:0060241"	"3-M syndrome"	"syndrome"
"DOID:0070541"	"3-hydroxy-3-methylglutaryl-CoA lyase deficiency"	"amino acid metabolic disorder"
"DOID:0060949"	"3-hydroxyisobutryl-CoA hydrolase deficiency"	"amino acid metabolic disorder"
"DOID:0080579"	"3-methylcrotonyl-CoA carboxylase 1 deficiency"	"3-methylcrotonyl-CoA carboxylase deficiency"
"DOID:0080580"	"3-methylcrotonyl-CoA carboxylase 2 deficiency"	"3-methylcrotonyl-CoA carboxylase deficiency"
"DOID:0050710"	"3-methylcrotonyl-CoA carboxylase deficiency"	"amino acid metabolic disorder"
"DOID:0060336"	"3-methylglutaconic aciduria"	"organic acidemia"
"DOID:0110002"	"3-methylglutaconic aciduria type 1"	"3-methylglutaconic aciduria"
"DOID:0110004"	"3-methylglutaconic aciduria type 3"	"3-methylglutaconic aciduria"
"DOID:0110006"	"3-methylglutaconic aciduria type 4"	"3-methylglutaconic aciduria"
"DOID:0110000"	"3-methylglutaconic aciduria type 5"	"3-methylglutaconic aciduria"
"DOID:0081133"	"3-methylglutaconic aciduria type 7a"	"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia"
"DOID:0081134"	"3-methylglutaconic aciduria type 7b"	"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia"
"DOID:0070000"	"3-methylglutaconic aciduria type 8"	"3-methylglutaconic aciduria"
"DOID:0070002"	"3-methylglutaconic aciduria type 9"	"3-methylglutaconic aciduria"
"DOID:0110003"	"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia"	"3-methylglutaconic aciduria"
"DOID:0110001"	"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome"	"3-methylglutaconic aciduria"
"DOID:0060225"	"3MC syndrome"	"syndrome"
"DOID:0060575"	"3MC syndrome 1"	"3MC syndrome"
"DOID:0060576"	"3MC syndrome 2"	"3MC syndrome"
"DOID:0060577"	"3MC syndrome 3"	"3MC syndrome"
"DOID:0060417"	"3p deletion syndrome"	"chromosomal deletion syndrome"
