id	label	xrefs
"DOID:0014667"	"disease of metabolism"@en	"ICD10CM:E88.9"
"DOID:0040008"	"isoniazide allergy"@en	"ICD10CM:Z88.1"
"DOID:0040010"	"mepivacaine allergy"@en	"ICD10CM:Z88.4"
"DOID:0040046"	"nickel allergic contact dermatitis"@en	"ICD10CM:L23.0"
"DOID:0040056"	"chromium allergic contact dermatitis"@en	"ICD10CM:L23.0"
"DOID:0040083"	"Chlamydia pneumonia"@en	"ICD10CM:J16.0"
"DOID:0040084"	"Streptococcus pneumonia"@en	"ICD10CM:J13"
"DOID:0040092"	"juvenile ankylosing spondylitis"@en	"ICD10CM:M08.1"
"DOID:0040093"	"drug-induced lupus erythematosus"@en	"ICD10CM:M32.0"
"DOID:0040098"	"pemphigus gestationis"@en	"ICD10CM:O26.4"
"DOID:0040099"	"livedoid vasculitis"@en	"ICD10CM:L95.0"
"DOID:0050118"	"La Crosse encephalitis"@en	"ICD10CM:A83.5"
"DOID:0050120"	"hemophagocytic lymphohistiocytosis"@en	"ICD10CM:D76.1"
"DOID:0050127"	"sinusitis"@en	"ICD10CM:J01"
"DOID:0050133"	"superficial mycosis"@en	"ICD10CM:B36.9"
"DOID:0050145"	"adenoiditis"@en	"ICD10CM:J35.02"
"DOID:0050148"	"laryngotracheitis"@en	"ICD10CM:J04, ICD10CM:J37.1"
"DOID:0050152"	"aspiration pneumonia"@en	"ICD10CM:J69.0"
"DOID:0050156"	"interstitial lung disease 2"@en	"ICD10CM:J84.112"
"DOID:0050157"	"cryptogenic organizing pneumonia"@en	"ICD10CM:J84.116"
"DOID:0050158"	"desquamative interstitial pneumonia"@en	"ICD10CM:J84.117"
"DOID:0050166"	"tuberculous salpingitis"@en	"ICD10CM:A18.17"
"DOID:0050175"	"tick-borne encephalitis"@en	"ICD10CM:A84.1"
"DOID:0050214"	"Lambert-Eaton myasthenic syndrome"@en	"ICD10CM:G70.80"
"DOID:0050269"	"Trichomonas vaginalis trichomoniasis"@en	"ICD10CM:A59.00"
"DOID:0050328"	"congenital hypothyroidism"@en	"ICD10CM:E00.1, ICD10CM:E03.1"
"DOID:0050425"	"restless legs syndrome"@en	"ICD10CM:G25.81"
"DOID:0050426"	"Stevens-Johnson syndrome"@en	"ICD10CM:L51.1"
"DOID:0050427"	"xeroderma pigmentosum"@en	"ICD10CM:Q82.1"
"DOID:0050429"	"Hailey-Hailey disease"@en	"ICD10CM:Q82.8"
"DOID:0050430"	"multiple endocrine neoplasia type 2A"@en	"ICD10CM:E31.22"
"DOID:0050432"	"Asperger syndrome"@en	"ICD10CM:F84.5"
"DOID:0050433"	"fatal familial insomnia"@en	"ICD10CM:A81.83"
"DOID:0050441"	"mucosulfatidosis"@en	"ICD10CM:E75.26"
"DOID:0050444"	"infantile Refsum disease"@en	"ICD10CM:G60.1"
"DOID:0050451"	"Brugada syndrome"@en	"ICD10CM:I49.8"
"DOID:0050452"	"mevalonic aciduria"@en	"ICD10CM:M04.1"
"DOID:0050453"	"lissencephaly"@en	"ICD10CM:Q04.3"
"DOID:0050456"	"Buruli ulcer disease"@en	"ICD10CM:A31.1"
"DOID:0050458"	"juvenile myelomonocytic leukemia"@en	"ICD10CM:C93.3"
"DOID:0050460"	"Wolf-Hirschhorn syndrome"@en	"ICD10CM:Q93.3"
"DOID:0050461"	"aspartylglucosaminuria"@en	"ICD10CM:E77.1"
"DOID:0050468"	"yellow nail syndrome"@en	"ICD10CM:L60.5"
"DOID:0050472"	"monilethrix"@en	"ICD10CM:Q84.1"
"DOID:0050476"	"Barth syndrome"@en	"ICD10CM:E78.71"
"DOID:0050486"	"exanthem"@en	"ICD10CM:R21"
"DOID:0050495"	"exanthema subitum"@en	"ICD10CM:B08.2"
"DOID:0050523"	"adult T-cell leukemia/lymphoma"@en	"ICD10CM:C91.5"
"DOID:0050524"	"maturity-onset diabetes of the young"@en	"ICD10CM:E11.8"
"DOID:0050529"	"adult spinal muscular atrophy"@en	"ICD10CM:G12.1"
"DOID:0050534"	"congenital stationary night blindness"@en	"ICD10CM:H53.63"
"DOID:0050535"	"exudative vitreoretinopathy"@en	"ICD10CM:H35.00"
"DOID:0050564"	"autosomal dominant nonsyndromic deafness"@en	"ICD10CM:H90.3"
"DOID:0050565"	"autosomal recessive nonsyndromic deafness"@en	"ICD10CM:H90.3"
"DOID:0050566"	"X-linked nonsyndromic deafness"@en	"ICD10CM:H90.3"
"DOID:0050569"	"Seckel syndrome"@en	"ICD10CM:Q87.1"
"DOID:0050572"	"cone-rod dystrophy"@en	"ICD10CM:H35.5"
"DOID:0050576"	"Senior-Loken syndrome"@en	"ICD10CM:Q61.5"
"DOID:0050590"	"severe congenital neutropenia"@en	"ICD10CM:D70"
"DOID:0050591"	"tooth agenesis"@en	"ICD10CM:K00.0"
"DOID:0050592"	"asphyxiating thoracic dystrophy"@en	"ICD10CM:Q77.2"
"DOID:0050596"	"taeniasis"@en	"ICD10CM:B68.1"
"DOID:0050597"	"intestinal schistosomiasis"@en	"ICD10CM:B65.1, ICD10CM:B65.2"
"DOID:0050629"	"Aicardi-Goutieres syndrome"@en	"ICD10CM:G31.8"
"DOID:0050632"	"oculocutaneous albinism"@en	"ICD10CM:E70.3"
"DOID:0050635"	"alternating hemiplegia of childhood"@en	"ICD10CM:G98"
"DOID:0050638"	"transthyretin amyloidosis"@en	"ICD10CM:E85.82"
"DOID:0050651"	"atrioventricular septal defect"@en	"ICD10CM:Q21.2"
"DOID:0050657"	"Bannayan-Riley-Ruvalcaba syndrome"@en	"ICD10CM:Q87.89"
"DOID:0050661"	"vitelliform macular dystrophy"@en	"ICD10CM:H35.5"
"DOID:0050665"	"fetal alcohol syndrome"@en	"ICD10CM:Q86.0"
"DOID:0050674"	"congenital bile acid synthesis defect"@en	"ICD10CM:K76.8"
"DOID:0050700"	"cardiomyopathy"@en	"ICD10CM:I42"
"DOID:0050742"	"nicotine dependence"@en	"ICD10CM:F17"
"DOID:0050759"	"myotonic dystrophy type 2"@en	"ICD10CM:G71.1"
"DOID:0050764"	"Armfield syndrome"@en	"ICD10CM:Q87.8"
"DOID:0050777"	"Joubert syndrome"@en	"ICD10CM:Q04.3"
"DOID:0050779"	"hydrolethalus syndrome"@en	"ICD10CM:Q87.8"
"DOID:0050782"	"Zollinger-Ellison syndrome"@en	"ICD10CM:E16.4"
"DOID:0050811"	"congenital adrenal hyperplasia"@en	"ICD10CM:E25"
"DOID:0050820"	"atrioventricular block"@en	"ICD10CM:I44.3"
"DOID:0050826"	"tricuspid valve disease"@en	"ICD10CM:I07"
"DOID:0050835"	"generalized dystonia"@en	"ICD10CM:G24.2, ICD10CM:G24.1"
"DOID:0050847"	"sleep apnea"@en	"ICD10CM:G47.3"
"DOID:0050848"	"obstructive sleep apnea"@en	"ICD10CM:G47.33"
"DOID:0050854"	"Muckle-Wells syndrome"@en	"ICD10CM:M04.2"
"DOID:0050886"	"Troyer syndrome"@en	"ICD10CM:G11.4"
"DOID:0060010"	"Omenn syndrome"@en	"ICD10CM:D81.8"
"DOID:0060058"	"lymphoma"@en	"ICD10CM:C85.9"
"DOID:0060060"	"non-Hodgkin lymphoma"@en	"ICD10CM:C85.9"
"DOID:0060125"	"heavy chain disease"@en	"ICD10CM:C88.2"
"DOID:0060135"	"apraxia"@en	"ICD10CM:R48.2"
"DOID:0060170"	"generalized epilepsy with febrile seizures plus"@en	"ICD10CM:G40.3"
"DOID:0060173"	"Timothy syndrome"@en	"ICD10CM:G72.3"
"DOID:0060178"	"familial hemiplegic migraine"@en	"ICD10CM:G43.8"
"DOID:0060179"	"Renpenning syndrome"@en	"ICD10CM:Q87.5"
"DOID:0060180"	"colitis"@en	"ICD10CM:K52.9"
"DOID:0060181"	"ischemic colitis"@en	"ICD10CM:K55.9"
"DOID:0060182"	"microscopic colitis"@en	"ICD10CM:K52.83"
"DOID:0060183"	"collagenous colitis"@en	"ICD10CM:K52.831"
"DOID:0060184"	"lymphocytic colitis"@en	"ICD10CM:K52.832"
"DOID:0060185"	"Clostridium difficile colitis"@en	"ICD10CM:A04.7"
"DOID:0060186"	"chemical colitis"@en	"ICD10CM:K52"
"DOID:0060187"	"diversion colitis"@en	"ICD10CM:K52"
"DOID:0060188"	"jejunoileitis"@en	"ICD10CM:K50.0"
"DOID:0060189"	"ileitis"@en	"ICD10CM:K52.9"
"DOID:0060190"	"ileocolitis"@en	"ICD10CM:K52.9"
"DOID:0060191"	"gastroduodenal Crohn's disease"@en	"ICD10CM:K50.0"
"DOID:0060192"	"Crohn's colitis"@en	"ICD10CM:K50.1"
"DOID:0060193"	"amyotrophic lateral sclerosis type 1"@en	"ICD10CM:G12.2"
"DOID:0060194"	"amyotrophic lateral sclerosis type 2"@en	"ICD10CM:G12.2"
"DOID:0060196"	"amyotrophic lateral sclerosis type 4"@en	"ICD10CM:G12.2"
"DOID:0060215"	"Balo concentric sclerosis"@en	"ICD10CM:G37.0"
"DOID:0060216"	"Cogan syndrome"@en	"ICD10CM:H16.32"
"DOID:0060218"	"CREST syndrome"@en	"ICD10CM:M34.1"
"DOID:0060221"	"Maffucci syndrome"@en	"ICD10CM:Q78.4"
"DOID:0060222"	"Scheie syndrome"@en	"ICD10CM:E76.0"
"DOID:0060223"	"agraphia"@en	"ICD10CM:R48.8"
"DOID:0060225"	"3MC syndrome"@en	"ICD10CM:Q87.8"
"DOID:0060231"	"Bruck syndrome"@en	"ICD10CM:M21.8"
"DOID:0060232"	"branchiootic syndrome"@en	"ICD10CM:Q87.0"
"DOID:0060233"	"cardiofaciocutaneous syndrome"@en	"ICD10CM:Q87.8"
"DOID:0060236"	"xanthinuria"@en	"ICD10CM:E79.8"
"DOID:0060239"	"Van der Woude syndrome"@en	"ICD10CM:Q38.0"
"DOID:0060243"	"stuttering"@en	"ICD10CM:F80.81"
"DOID:0060245"	"Mast syndrome"@en	"ICD10CM:G11.4"
"DOID:0060249"	"scoliosis"@en	"ICD10CM:M41.9"
"DOID:0060254"	"Robinow syndrome"@en	"ICD10CM:Q87.19"
"DOID:0060260"	"ptosis"@en	"ICD10CM:H02.4"
"DOID:0060261"	"congenital ptosis"@en	"ICD10CM:Q10.0"
"DOID:0060262"	"gallbladder disease"@en	"ICD10CM:K82.9"
"DOID:0060263"	"porencephaly"@en	"ICD10CM:Q04.6"
"DOID:0060270"	"pontocerebellar hypoplasia type 2D"@en	"ICD10CM:Q04.3"
"DOID:0060276"	"pontocerebellar hypoplasia type 7"@en	"ICD10CM:Q04.3"
"DOID:0060277"	"pontocerebellar hypoplasia type 8"@en	"ICD10CM:Q04.3"
"DOID:0060278"	"pontocerebellar hypoplasia type 9"@en	"ICD10CM:Q04.3"
"DOID:0060281"	"photosensitive epilepsy"@en	"ICD10CM:G40.8"
"DOID:0060284"	"paroxysmal nocturnal hemoglobinuria"@en	"ICD10CM:D59.5, ICD10CM:D59.6"
"DOID:0060287"	"cornea plana"@en	"ICD10CM:Q13.4"
"DOID:0060292"	"X-linked chondrodysplasia punctata 1"@en	"ICD10CM:Q77.3"
"DOID:0060293"	"autosomal dominant chondrodysplasia punctata"@en	"ICD10CM:Q77.3"
"DOID:0060295"	"complement component 2 deficiency"@en	"ICD10CM:D84.1"
"DOID:0060297"	"complement component 4a deficiency"@en	"ICD10CM:D84.1"
"DOID:0060298"	"complement component 4b deficiency"@en	"ICD10CM:D84.1"
"DOID:0060299"	"complement component 6 deficiency"@en	"ICD10CM:D84.1"
"DOID:0060300"	"complement component 7 deficiency"@en	"ICD10CM:D84.1"
"DOID:0060301"	"type I complement component 8 deficiency"@en	"ICD10CM:D84.1"
"DOID:0060302"	"type II complement component 8 deficiency"@en	"ICD10CM:D84.1"
"DOID:0060303"	"complement component 9 deficiency"@en	"ICD10CM:D84.1"
"DOID:0060310"	"uvulitis"@en	"ICD10CM:K12.2"
"DOID:0060311"	"adenoid hypertrophy"@en	"ICD10CM:J35.2"
"DOID:0060312"	"angular cheilitis"@en	"ICD10CM:K13.0"
"DOID:0060313"	"tracheomalacia"@en	"ICD10CM:Q32.0"
"DOID:0060315"	"oral hairy leukoplakia"@en	"ICD10CM:K13.3"
"DOID:0060316"	"orofaciodigital syndrome I"@en	"ICD10CM:Q87.0"
"DOID:0060317"	"lung abscess"@en	"ICD10CM:J85.2"
"DOID:0060318"	"acute promyelocytic leukemia"@en	"ICD10CM:C92.4"
"DOID:0060319"	"cardiac arrest"@en	"ICD10CM:I46"
"DOID:0060320"	"inguinal hernia"@en	"ICD10CM:K40"
"DOID:0060321"	"umbilical hernia"@en	"ICD10CM:Q79.2"
"DOID:0060322"	"mastoiditis"@en	"ICD10CM:H70.9"
"DOID:0060324"	"dental abscess"@en	"ICD10CM:K04.6"
"DOID:0060325"	"cervical polyp"@en	"ICD10CM:D26.9"
"DOID:0060326"	"myelomeningocele"@en	"ICD10CM:Q05"
"DOID:0060327"	"omphalocele"@en	"ICD10CM:Q79.2"
"DOID:0060328"	"anal fistula"@en	"ICD10CM:K60.3"
"DOID:0060329"	"ectopic pregnancy"@en	"ICD10CM:O00"
"DOID:0060334"	"transient neonatal diabetes mellitus"@en	"ICD10CM:P70.2"
"DOID:0060336"	"3-methylglutaconic aciduria"@en	"ICD10CM:E71.111"
"DOID:0060341"	"agnathia-otocephaly complex"@en	"ICD10CM:Q18.2"
"DOID:0060357"	"chylomicron retention disease"@en	"ICD10CM:E78.3"
"DOID:0060358"	"multiple acyl-CoA dehydrogenase deficiency"@en	"ICD10CM:E71.313"
"DOID:0060359"	"Sakati-Nyhan syndrome"@en	"ICD10CM:Q87.0"
"DOID:0060380"	"orofaciodigital syndrome X"@en	"ICD10CM:Q87.0"
"DOID:0060390"	"distal 10q deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060391"	"chromosome 13q14 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060394"	"chromosome 15q13.3 microdeletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060395"	"chromosome 15q24 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060397"	"chromosome 15q26-qter deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060400"	"chromosome 16p12.2-p11.2 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060403"	"chromosome 17q11.2 deletion syndrome"@en	"ICD10CM:Q85.0"
"DOID:0060404"	"chromosome 17q12 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060405"	"chromosome 17q23.1-q23.2 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060407"	"chromosome 18q deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060409"	"NFIA-related disorder"@en	"ICD10CM:Q93.5"
"DOID:0060411"	"chromosome 1q21.1 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060412"	"chromosome 1q41-q42 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060415"	"chromosome 2p16.1-p15 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060417"	"3p deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060422"	"chromosome 6pter-p24 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060425"	"chromosome 8q21.11 deletion syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060427"	"chromosome Xp21 deletion syndrome"@en	"ICD10CM:Q99.8"
"DOID:0060428"	"SATB2-associated syndrome"@en	"ICD10CM:Q93.5"
"DOID:0060430"	"chromosome 16p11.2 duplication syndrome"@en	"ICD10CM:Q92.3"
"DOID:0060431"	"chromosome 16p13.3 duplication syndrome"@en	"ICD10CM:Q92.3"
"DOID:0060432"	"chromosome 17p13.3 duplication syndrome"@en	"ICD10CM:Q92.3"
"DOID:0060433"	"chromosome 17q12 duplication syndrome"@en	"ICD10CM:Q92.3"
