id	label	xrefs
"DOID:0001816"	"angiosarcoma"	"MESH:D006394"
"DOID:0014667"	"disease of metabolism"	"MESH:D008659"
"DOID:0040091"	"autoimmune pancreatitis"	"MESH:D000081012"
"DOID:0050052"	"Rocky Mountain spotted fever"	"MESH:D012373"
"DOID:0050061"	"erysipeloid"	"MESH:D004887"
"DOID:0050072"	"adiaspiromycosis"	"MESH:C000656784"
"DOID:0050083"	"Keshan disease"	"MESH:C536166"
"DOID:0050096"	"tinea barbae"	"MESH:C000656825"
"DOID:0050118"	"La Crosse encephalitis"	"MESH:D004670"
"DOID:0050120"	"hemophagocytic lymphohistiocytosis"	"MESH:D051359"
"DOID:0050133"	"superficial mycosis"	"MESH:D010854"
"DOID:0050138"	"podoconiosis"	"MESH:D004604"
"DOID:0050144"	"Kartagener syndrome"	"MESH:D007619"
"DOID:0050147"	"otomycosis"	"MESH:D059249"
"DOID:0050152"	"aspiration pneumonia"	"MESH:D011015"
"DOID:0050156"	"idiopathic pulmonary fibrosis"	"MESH:D054990"
"DOID:0050157"	"cryptogenic organizing pneumonia"	"MESH:D018549"
"DOID:0050158"	"desquamative interstitial pneumonia"	"MESH:C562470"
"DOID:0050159"	"lymphoid interstitial pneumonia"	"MESH:C562489"
"DOID:0050160"	"inhalation anthrax"	"MESH:C571912"
"DOID:0050175"	"tick-borne encephalitis"	"MESH:D004675"
"DOID:0050185"	"erythema multiforme"	"MESH:D004892"
"DOID:0050214"	"Lambert-Eaton myasthenic syndrome"	"MESH:D015624"
"DOID:0050256"	"angiostrongyliasis"	"MESH:C536369"
"DOID:0050266"	"tungiasis"	"MESH:D058285"
"DOID:0050269"	"Trichomonas vaginalis trichomoniasis"	"MESH:D014247"
"DOID:0050289"	"fusariosis"	"MESH:D060585"
"DOID:0050290"	"trichosporonosis"	"MESH:D060586"
"DOID:0050304"	"aniseikonia"	"MESH:D000839"
"DOID:0050328"	"congenital hypothyroidism"	"MESH:D003409"
"DOID:0050335"	"bradyopsia"	"MESH:C564243"
"DOID:0050336"	"hypophosphatemia"	"MESH:D017674"
"DOID:0050419"	"complement factor I deficiency"	"MESH:C572568"
"DOID:0050424"	"familial adenomatous polyposis"	"MESH:D011125"
"DOID:0050425"	"restless legs syndrome"	"MESH:D012148"
"DOID:0050426"	"Stevens-Johnson syndrome"	"MESH:D013262"
"DOID:0050427"	"xeroderma pigmentosum"	"MESH:D014983"
"DOID:0050428"	"nonepidermolytic palmoplantar keratoderma"	"MESH:C563422"
"DOID:0050429"	"Hailey-Hailey disease"	"MESH:D016506"
"DOID:0050430"	"multiple endocrine neoplasia type 2A"	"MESH:D018813"
"DOID:0050431"	"arrhythmogenic right ventricular cardiomyopathy"	"MESH:D019571"
"DOID:0050432"	"Asperger syndrome"	"MESH:D020817"
"DOID:0050433"	"fatal familial insomnia"	"MESH:D034062"
"DOID:0050434"	"Andersen-Tawil syndrome"	"MESH:D050030"
"DOID:0050436"	"mulibrey nanism"	"MESH:D050336"
"DOID:0050437"	"Danon disease"	"MESH:D052120"
"DOID:0050438"	"Frasier syndrome"	"MESH:D052159"
"DOID:0050439"	"Usher syndrome"	"MESH:D052245"
"DOID:0050440"	"familial partial lipodystrophy"	"MESH:D052496"
"DOID:0050441"	"mucosulfatidosis"	"MESH:D052517"
"DOID:0050444"	"infantile Refsum disease"	"MESH:D052919"
"DOID:0050445"	"X-linked hypophosphatemic rickets"	"MESH:D053098"
"DOID:0050448"	"white sponge nevus"	"MESH:D053529"
"DOID:0050449"	"pachyonychia congenita"	"MESH:D053549"
"DOID:0050450"	"Gitelman syndrome"	"MESH:D053579"
"DOID:0050451"	"Brugada syndrome"	"MESH:D053840"
"DOID:0050452"	"mevalonic aciduria"	"MESH:D054078"
"DOID:0050453"	"lissencephaly"	"MESH:D054082"
"DOID:0050454"	"periventricular nodular heterotopia"	"MESH:D054091"
"DOID:0050456"	"Buruli ulcer disease"	"MESH:D054312"
"DOID:0050457"	"Sertoli cell-only syndrome"	"MESH:D054331"
"DOID:0050458"	"juvenile myelomonocytic leukemia"	"MESH:D054429"
"DOID:0050459"	"hyperphosphatemia"	"MESH:D054559"
"DOID:0050460"	"Wolf-Hirschhorn syndrome"	"MESH:D054877"
"DOID:0050461"	"aspartylglucosaminuria"	"MESH:D054880"
"DOID:0050463"	"campomelic dysplasia"	"MESH:D055036"
"DOID:0050464"	"Farber lipogranulomatosis"	"MESH:D055577"
"DOID:0050465"	"Muir-Torre syndrome"	"MESH:D055653"
"DOID:0050466"	"Loeys-Dietz syndrome"	"MESH:D055947"
"DOID:0050467"	"erythrokeratodermia variabilis"	"MESH:D056266"
"DOID:0050468"	"yellow nail syndrome"	"MESH:D056684"
"DOID:0050469"	"Costello syndrome"	"MESH:D056685"
"DOID:0050470"	"Donohue syndrome"	"MESH:D056731"
"DOID:0050471"	"Carney complex"	"MESH:D056733"
"DOID:0050472"	"monilethrix"	"MESH:D056734"
"DOID:0050473"	"Alstrom syndrome"	"MESH:D056769"
"DOID:0050475"	"Weill-Marchesani syndrome"	"MESH:D056846"
"DOID:0050476"	"Barth syndrome"	"MESH:D056889"
"DOID:0050477"	"Liddle syndrome"	"MESH:D056929"
"DOID:0050485"	"sennetsu fever"	"MESH:C537582"
"DOID:0050486"	"exanthem"	"MESH:D005076"
"DOID:0050495"	"exanthema subitum"	"MESH:D005077"
"DOID:0050523"	"adult T-cell leukemia/lymphoma"	"MESH:D015459"
"DOID:0050529"	"adult spinal muscular atrophy"	"MESH:C563948"
"DOID:0050530"	"intermediate spinal muscular atrophy"	"MESH:D014897"
"DOID:0050534"	"congenital stationary night blindness"	"MESH:C537743"
"DOID:0050544"	"hypermethioninemia"	"MESH:C564683"
"DOID:0050547"	"familial medullary thyroid carcinoma"	"MESH:C536911"
"DOID:0050548"	"hereditary sensory neuropathy"	"MESH:D009477"
"DOID:0050560"	"Walker-Warburg syndrome"	"MESH:D058494"
"DOID:0050561"	"Lennox-Gastaut syndrome"	"MESH:D065768"
