id	label	xrefs
"DOID:0001816"	"angiosarcoma"	"NCI:C3088, NCI:C9275"
"DOID:0014667"	"disease of metabolism"	"NCI:C3235"
"DOID:0040093"	"drug-induced lupus erythematosus"	"NCI:C114354"
"DOID:0050120"	"hemophagocytic lymphohistiocytosis"	"NCI:C34792"
"DOID:0050127"	"sinusitis"	"NCI:C128411"
"DOID:0050144"	"Kartagener syndrome"	"NCI:C84797"
"DOID:0050156"	"idiopathic pulmonary fibrosis"	"NCI:C35716"
"DOID:0050157"	"cryptogenic organizing pneumonia"	"NCI:C62586"
"DOID:0050158"	"desquamative interstitial pneumonia"	"NCI:C35288"
"DOID:0050214"	"Lambert-Eaton myasthenic syndrome"	"NCI:C3155"
"DOID:0050269"	"Trichomonas vaginalis trichomoniasis"	"NCI:C35083"
"DOID:0050328"	"congenital hypothyroidism"	"NCI:C98921, NCI:C26734"
"DOID:0050424"	"familial adenomatous polyposis"	"NCI:C3339"
"DOID:0050425"	"restless legs syndrome"	"NCI:C84501"
"DOID:0050426"	"Stevens-Johnson syndrome"	"NCI:C79484"
"DOID:0050427"	"xeroderma pigmentosum"	"NCI:C3452"
"DOID:0050429"	"Hailey-Hailey disease"	"NCI:C82865"
"DOID:0050430"	"multiple endocrine neoplasia type 2A"	"NCI:C3226"
"DOID:0050431"	"arrhythmogenic right ventricular cardiomyopathy"	"NCI:C84571"
"DOID:0050432"	"Asperger syndrome"	"NCI:C97159"
"DOID:0050433"	"fatal familial insomnia"	"NCI:C84711"
"DOID:0050434"	"Andersen-Tawil syndrome"	"NCI:C84559"
"DOID:0050436"	"mulibrey nanism"	"NCI:C84906"
"DOID:0050437"	"Danon disease"	"NCI:C84735"
"DOID:0050438"	"Frasier syndrome"	"NCI:C122805"
"DOID:0050439"	"Usher syndrome"	"NCI:C85217"
"DOID:0050440"	"familial partial lipodystrophy"	"NCI:C84708, NCI:C165527"
"DOID:0050441"	"mucosulfatidosis"	"NCI:C84908"
"DOID:0050444"	"infantile Refsum disease"	"NCI:C84789"
"DOID:0050445"	"X-linked hypophosphatemic rickets"	"NCI:C85234"
"DOID:0050448"	"white sponge nevus"	"NCI:C84760"
"DOID:0050449"	"pachyonychia congenita"	"NCI:C84986"
"DOID:0050450"	"Gitelman syndrome"	"NCI:C84730"
"DOID:0050451"	"Brugada syndrome"	"NCI:C142891"
"DOID:0050452"	"mevalonic aciduria"	"NCI:C84890"
"DOID:0050453"	"lissencephaly"	"NCI:C103921"
"DOID:0050456"	"Buruli ulcer disease"	"NCI:C84604"
"DOID:0050457"	"Sertoli cell-only syndrome"	"NCI:C168988"
"DOID:0050458"	"juvenile myelomonocytic leukemia"	"NCI:C9233"
"DOID:0050459"	"hyperphosphatemia"	"NCI:C113750"
"DOID:0050460"	"Wolf-Hirschhorn syndrome"	"NCI:C35528"
"DOID:0050461"	"aspartylglucosaminuria"	"NCI:C61273"
"DOID:0050463"	"campomelic dysplasia"	"NCI:C120205, NCI:C84609"
"DOID:0050464"	"Farber lipogranulomatosis"	"NCI:C84710"
"DOID:0050465"	"Muir-Torre syndrome"	"NCI:C84905"
"DOID:0050466"	"Loeys-Dietz syndrome"	"NCI:C75006"
"DOID:0050467"	"erythrokeratodermia variabilis"	"NCI:C84696"
"DOID:0050468"	"yellow nail syndrome"	"NCI:C85238"
"DOID:0050469"	"Costello syndrome"	"NCI:C84652"
"DOID:0050470"	"Donohue syndrome"	"NCI:C84676, NCI:C131000"
"DOID:0050471"	"Carney complex"	"NCI:C4705"
"DOID:0050472"	"monilethrix"	"NCI:C84894"
"DOID:0050473"	"Alstrom syndrome"	"NCI:C84549"
"DOID:0050475"	"Weill-Marchesani syndrome"	"NCI:C85226"
"DOID:0050476"	"Barth syndrome"	"NCI:C84585"
"DOID:0050477"	"Liddle syndrome"	"NCI:C84827"
"DOID:0050486"	"exanthem"	"NCI:C111884"
"DOID:0050523"	"adult T-cell leukemia/lymphoma"	"NCI:C3184"
"DOID:0050530"	"intermediate spinal muscular atrophy"	"NCI:C156310"
"DOID:0050562"	"West syndrome"	"NCI:C84788"
"DOID:0050589"	"inflammatory bowel disease"	"NCI:C3138"
"DOID:0050591"	"tooth agenesis"	"NCI:C172328"
"DOID:0050597"	"intestinal schistosomiasis"	"NCI:C35002, NCI:C35364, NCI:C35001"
"DOID:0050619"	"paranasal sinus cancer"	"NCI:C6018, NCI:C6017, NCI:C6014, NCI:C6019, NCI:C8193"
"DOID:0050625"	"biliary tract benign neoplasm"	"NCI:C4441"
"DOID:0050649"	"atransferrinemia"	"NCI:C125693"
"DOID:0050657"	"Bannayan-Riley-Ruvalcaba syndrome"	"NCI:C3939"
"DOID:0050678"	"Blau syndrome"	"NCI:C116794"
"DOID:0050681"	"Borjeson-Forssman-Lehmann syndrome"	"NCI:C157122"
"DOID:0050685"	"small cell carcinoma"	"NCI:C4099"
"DOID:0050699"	"Dent disease"	"NCI:C123260"
"DOID:0050700"	"cardiomyopathy"	"NCI:C53654, NCI:C34830"
"DOID:0050742"	"nicotine dependence"	"NCI:C54203"
"DOID:0050744"	"anaplastic large cell lymphoma"	"NCI:C3720"
"DOID:0050745"	"diffuse large B-cell lymphoma"	"NCI:C80280"
"DOID:0050750"	"splenic marginal zone lymphoma"	"NCI:C4663"
"DOID:0050751"	"T-cell large granular lymphocyte leukemia"	"NCI:C4664"
"DOID:0050759"	"myotonic dystrophy type 2"	"NCI:C84913"
"DOID:0050766"	"choreaacanthocytosis"	"NCI:C84926"
"DOID:0050773"	"paraganglioma"	"NCI:C3308"
"DOID:0050782"	"Zollinger-Ellison syndrome"	"NCI:C3453"
"DOID:0050791"	"persistent Mullerian duct syndrome"	"NCI:C120188"
"DOID:0050797"	"peroxisomal acyl-CoA oxidase deficiency"	"NCI:C170437"
"DOID:0050820"	"atrioventricular block"	"NCI:C26703"
"DOID:0050834"	"CHARGE syndrome"	"NCI:C75100"
"DOID:0050835"	"generalized dystonia"	"NCI:C34564, NCI:C35438, NCI:C35527, NCI:C35437"
"DOID:0050847"	"sleep apnea"	"NCI:C26884"
"DOID:0050848"	"obstructive sleep apnea"	"NCI:C116337"
"DOID:0050854"	"Muckle-Wells syndrome"	"NCI:C119054"
