id	label	xrefs
"DOID:0050120"	"hemophagocytic lymphohistiocytosis"	"MIM:PS267700"
"DOID:0050158"	"desquamative interstitial pneumonia"	"MIM:263000"
"DOID:0050167"	"autoimmune polyendocrine syndrome type 1"	"MIM:240300"
"DOID:0050168"	"autoimmune polyendocrine syndrome type 2"	"MIM:269200"
"DOID:0050328"	"congenital hypothyroidism"	"MIM:PS275200"
"DOID:0050331"	"lacrimoauriculodentodigital syndrome 1"	"MIM:149730"
"DOID:0050335"	"bradyopsia"	"MIM:PS608415"
"DOID:0050387"	"nonpapillary renal cell carcinoma"	"MIM:144700"
"DOID:0050419"	"complement factor I deficiency"	"MIM:610984"
"DOID:0050424"	"familial adenomatous polyposis"	"MIM:PS175100"
"DOID:0050425"	"restless legs syndrome"	"MIM:PS102300"
"DOID:0050429"	"Hailey-Hailey disease"	"MIM:169600"
"DOID:0050430"	"multiple endocrine neoplasia type 2A"	"MIM:171400"
"DOID:0050431"	"arrhythmogenic right ventricular cardiomyopathy"	"MIM:PS107970"
"DOID:0050432"	"Asperger syndrome"	"MIM:608638, MIM:608781, MIM:608631, MIM:PS608638, MIM:609954"
"DOID:0050433"	"fatal familial insomnia"	"MIM:600072"
"DOID:0050434"	"Andersen-Tawil syndrome"	"MIM:170390"
"DOID:0050436"	"mulibrey nanism"	"MIM:253250"
"DOID:0050437"	"Danon disease"	"MIM:300257"
"DOID:0050438"	"Frasier syndrome"	"MIM:136680"
"DOID:0050439"	"Usher syndrome"	"MIM:PS276900"
"DOID:0050440"	"familial partial lipodystrophy"	"MIM:PS151660"
"DOID:0050441"	"mucosulfatidosis"	"MIM:272200"
"DOID:0050445"	"X-linked hypophosphatemic rickets"	"MIM:307800"
"DOID:0050448"	"white sponge nevus"	"MIM:PS193900"
"DOID:0050449"	"pachyonychia congenita"	"MIM:PS167200"
"DOID:0050450"	"Gitelman syndrome"	"MIM:263800"
"DOID:0050451"	"Brugada syndrome"	"MIM:PS601144"
"DOID:0050452"	"mevalonic aciduria"	"MIM:610377"
"DOID:0050453"	"lissencephaly"	"MIM:PS607432"
"DOID:0050454"	"periventricular nodular heterotopia"	"MIM:300049, MIM:612881, MIM:608097, MIM:608098, MIM:615544"
"DOID:0050458"	"juvenile myelomonocytic leukemia"	"MIM:607785"
"DOID:0050460"	"Wolf-Hirschhorn syndrome"	"MIM:194190"
"DOID:0050461"	"aspartylglucosaminuria"	"MIM:208400"
"DOID:0050462"	"Antley-Bixler syndrome with disordered steroidogenesis"	"MIM:201750"
"DOID:0050463"	"campomelic dysplasia"	"MIM:114290"
"DOID:0050464"	"Farber lipogranulomatosis"	"MIM:228000"
"DOID:0050465"	"Muir-Torre syndrome"	"MIM:158320"
"DOID:0050467"	"erythrokeratodermia variabilis"	"MIM:PS133200"
"DOID:0050468"	"yellow nail syndrome"	"MIM:153300"
"DOID:0050469"	"Costello syndrome"	"MIM:218040"
"DOID:0050470"	"Donohue syndrome"	"MIM:246200"
"DOID:0050471"	"Carney complex"	"MIM:608837, MIM:160980, MIM:605244"
"DOID:0050472"	"monilethrix"	"MIM:158000"
"DOID:0050473"	"Alstrom syndrome"	"MIM:203800"
"DOID:0050474"	"Netherton syndrome"	"MIM:256500"
"DOID:0050475"	"Weill-Marchesani syndrome"	"MIM:608328, MIM:277600, MIM:614819, MIM:613195, MIM:PS277600"
"DOID:0050476"	"Barth syndrome"	"MIM:302060"
"DOID:0050477"	"Liddle syndrome"	"MIM:177200"
"DOID:0050489"	"multinodular goiter"	"MIM:606082, MIM:138800, MIM:PS138800, MIM:300273"
"DOID:0050524"	"maturity-onset diabetes of the young"	"MIM:606391"
"DOID:0050526"	"Gamstorp-Wohlfart syndrome"	"MIM:137200"
"DOID:0050528"	"nonphotosensitive trichothiodystrophy 4"	"MIM:234050"
"DOID:0050529"	"adult spinal muscular atrophy"	"MIM:271150"
"DOID:0050530"	"intermediate spinal muscular atrophy"	"MIM:253550"
"DOID:0050534"	"congenital stationary night blindness"	"MIM:PS310500"
"DOID:0050535"	"exudative vitreoretinopathy"	"MIM:PS133780"
"DOID:0050539"	"Charcot-Marie-Tooth disease type 2"	"MIM:118230, MIM:604484"
"DOID:0050540"	"Charcot-Marie-Tooth disease type 3"	"MIM:145900"
"DOID:0050545"	"visceral heterotaxy"	"MIM:PS306955"
"DOID:0050546"	"congenital adrenal insufficiency"	"MIM:613743"
"DOID:0050547"	"familial medullary thyroid carcinoma"	"MIM:155240"
"DOID:0050548"	"hereditary sensory neuropathy"	"MIM:PS162400"
"DOID:0050553"	"proteasome-associated autoinflammatory syndrome 1"	"MIM:256040"
"DOID:0050554"	"X-linked sideroblastic anemia with ataxia"	"MIM:301310"
"DOID:0050557"	"congenital muscular dystrophy"	"MIM:254100"
"DOID:0050559"	"Fukuyama congenital muscular dystrophy"	"MIM:253800"
"DOID:0050561"	"Lennox-Gastaut syndrome"	"MIM:606369"
"DOID:0050564"	"autosomal dominant nonsyndromic deafness"	"MIM:PS124900"
"DOID:0050565"	"autosomal recessive nonsyndromic deafness"	"MIM:PS220290, MIM:607197"
"DOID:0050566"	"X-linked nonsyndromic deafness"	"MIM:PS304500"
"DOID:0050567"	"orofacial cleft"	"MIM:PS119530"
"DOID:0050568"	"spondylocostal dysostosis"	"MIM:PS277300"
"DOID:0050569"	"Seckel syndrome"	"MIM:PS210600"
"DOID:0050570"	"congenital disorder of glycosylation type I"	"MIM:PS212065"
"DOID:0050571"	"congenital disorder of glycosylation type II"	"MIM:PS212066"
"DOID:0050574"	"L-2-hydroxyglutaric aciduria"	"MIM:236792"
"DOID:0050575"	"D-2-hydroxyglutaric aciduria"	"MIM:PS600721"
"DOID:0050576"	"Senior-Loken syndrome"	"MIM:606995, MIM:606996, MIM:610189, MIM:266900, MIM:613615, MIM:PS266900, MIM:609254"
"DOID:0050577"	"cranioectodermal dysplasia"	"MIM:PS218330"
"DOID:0050578"	"occult macular dystrophy"	"MIM:613587"
