id	label	xrefs
"DOID:0040093"	"drug-induced lupus erythematosus"@en	"ORDO:231111"
"DOID:0050120"	"hemophagocytic lymphohistiocytosis"@en	"ORDO:540"
"DOID:0050144"	"Kartagener syndrome"@en	"ORDO:98861"
"DOID:0050335"	"bradyopsia"@en	"ORDO:75374"
"DOID:0050424"	"familial adenomatous polyposis"@en	"ORDO:733"
"DOID:0050427"	"xeroderma pigmentosum"@en	"ORDO:910"
"DOID:0050428"	"nonepidermolytic palmoplantar keratoderma"@en	"ORDO:2337"
"DOID:0050430"	"multiple endocrine neoplasia type 2A"@en	"ORDO:247698"
"DOID:0050431"	"arrhythmogenic right ventricular cardiomyopathy"@en	"ORDO:217656, ORDO:247"
"DOID:0050432"	"Asperger syndrome"@en	"ORDO:1162"
"DOID:0050434"	"Andersen-Tawil syndrome"@en	"ORDO:37553"
"DOID:0050436"	"mulibrey nanism"@en	"ORDO:2576"
"DOID:0050439"	"Usher syndrome"@en	"ORDO:886"
"DOID:0050440"	"familial partial lipodystrophy"@en	"ORDO:98306"
"DOID:0050448"	"white sponge nevus"@en	"ORDO:171723"
"DOID:0050449"	"pachyonychia congenita"@en	"ORDO:2309"
"DOID:0050451"	"Brugada syndrome"@en	"ORDO:130"
"DOID:0050452"	"mevalonic aciduria"@en	"ORDO:29"
"DOID:0050453"	"lissencephaly"@en	"ORDO:102009"
"DOID:0050454"	"periventricular nodular heterotopia"@en	"ORDO:98892"
"DOID:0050460"	"Wolf-Hirschhorn syndrome"@en	"ORDO:280"
"DOID:0050463"	"campomelic dysplasia"@en	"ORDO:140"
"DOID:0050466"	"Loeys-Dietz syndrome"@en	"ORDO:60030"
"DOID:0050467"	"erythrokeratodermia variabilis"@en	"ORDO:317"
"DOID:0050470"	"Donohue syndrome"@en	"ORDO:508"
"DOID:0050471"	"Carney complex"@en	"ORDO:1359"
"DOID:0050474"	"Netherton syndrome"@en	"ORDO:634"
"DOID:0050475"	"Weill-Marchesani syndrome"@en	"ORDO:3449"
"DOID:0050489"	"multinodular goiter"@en	"ORDO:276399"
"DOID:0050524"	"maturity-onset diabetes of the young"@en	"ORDO:552"
"DOID:0050529"	"adult spinal muscular atrophy"@en	"ORDO:83420"
"DOID:0050534"	"congenital stationary night blindness"@en	"ORDO:215"
"DOID:0050535"	"exudative vitreoretinopathy"@en	"ORDO:891"
"DOID:0050539"	"Charcot-Marie-Tooth disease type 2"@en	"ORDO:64746"
"DOID:0050541"	"Charcot-Marie-Tooth disease type 4"@en	"ORDO:64749"
"DOID:0050542"	"Charcot-Marie-Tooth disease type X"@en	"ORDO:64747"
"DOID:0050545"	"visceral heterotaxy"@en	"ORDO:450"
"DOID:0050553"	"proteasome-associated autoinflammatory syndrome 1"@en	"ORDO:324999"
"DOID:0050557"	"congenital muscular dystrophy"@en	"ORDO:97242"
"DOID:0050559"	"Fukuyama congenital muscular dystrophy"@en	"ORDO:272"
"DOID:0050561"	"Lennox-Gastaut syndrome"@en	"ORDO:2382"
"DOID:0050562"	"West syndrome"@en	"ORDO:3451"
"DOID:0050564"	"autosomal dominant nonsyndromic deafness"@en	"ORDO:90635"
"DOID:0050565"	"autosomal recessive nonsyndromic deafness"@en	"ORDO:90636"
"DOID:0050566"	"X-linked nonsyndromic deafness"@en	"ORDO:90625"
"DOID:0050568"	"spondylocostal dysostosis"@en	"ORDO:1797, ORDO:2311"
"DOID:0050569"	"Seckel syndrome"@en	"ORDO:808"
"DOID:0050572"	"cone-rod dystrophy"@en	"ORDO:1872"
"DOID:0050574"	"L-2-hydroxyglutaric aciduria"@en	"ORDO:79314"
"DOID:0050576"	"Senior-Loken syndrome"@en	"ORDO:3156"
"DOID:0050579"	"glycogen storage disease XV"@en	"ORDO:263297"
"DOID:0050580"	"hereditary lymphedema"@en	"ORDO:79452"
"DOID:0050581"	"brachydactyly"@en	"ORDO:294937"
"DOID:0050590"	"severe congenital neutropenia"@en	"ORDO:42738"
"DOID:0050591"	"tooth agenesis"@en	"ORDO:2227, ORDO:99798"
"DOID:0050592"	"asphyxiating thoracic dystrophy"@en	"ORDO:474"
"DOID:0050597"	"intestinal schistosomiasis"@en	"ORDO:1247"
"DOID:0050628"	"advanced sleep phase syndrome"@en	"ORDO:164736"
"DOID:0050629"	"Aicardi-Goutieres syndrome"@en	"ORDO:51"
"DOID:0050631"	"Allan-Herndon-Dudley syndrome"@en	"ORDO:59"
"DOID:0050632"	"oculocutaneous albinism"@en	"ORDO:55"
"DOID:0050635"	"alternating hemiplegia of childhood"@en	"ORDO:2131"
"DOID:0050636"	"familial visceral amyloidosis"@en	"ORDO:85450"
"DOID:0050637"	"Finnish type amyloidosis"@en	"ORDO:85448"
"DOID:0050638"	"transthyretin amyloidosis"@en	"ORDO:85447"
"DOID:0050639"	"primary cutaneous amyloidosis"@en	"ORDO:137807, ORDO:353220"
"DOID:0050644"	"arterial calcification of infancy"@en	"ORDO:51608"
"DOID:0050646"	"distal arthrogryposis"@en	"ORDO:97120, ORDO:1147"
"DOID:0050647"	"Arts syndrome"@en	"ORDO:1187"
"DOID:0050649"	"atransferrinemia"@en	"ORDO:1195"
"DOID:0050650"	"familial atrial fibrillation"@en	"ORDO:334"
"DOID:0050651"	"atrioventricular septal defect"@en	"ORDO:98722"
"DOID:0050654"	"Baller-Gerold syndrome"@en	"ORDO:1223"
"DOID:0050656"	"pseudo-TORCH syndrome 1"@en	"ORDO:1229"
"DOID:0050657"	"Bannayan-Riley-Ruvalcaba syndrome"@en	"ORDO:109"
"DOID:0050661"	"vitelliform macular dystrophy"@en	"ORDO:99000, ORDO:1243"
"DOID:0050674"	"congenital bile acid synthesis defect"@en	"ORDO:485631"
"DOID:0050677"	"Bjornstad syndrome"@en	"ORDO:123"
"DOID:0050681"	"Borjeson-Forssman-Lehmann syndrome"@en	"ORDO:127"
"DOID:0050682"	"Athabaskan brainstem dysgenesis syndrome"@en	"ORDO:69739"
"DOID:0050684"	"Bowen-Conradi syndrome"@en	"ORDO:1270"
"DOID:0050690"	"brachyolmia"@en	"ORDO:1293"
"DOID:0050693"	"Brooke-Spiegler syndrome"@en	"ORDO:79493"
"DOID:0050699"	"Dent disease"@en	"ORDO:1652"
"DOID:0050709"	"early infantile epileptic encephalopathy"@en	"ORDO:1934"
"DOID:0050710"	"3-methylcrotonyl-CoA carboxylase deficiency"@en	"ORDO:6"
"DOID:0050713"	"COX deficiency, infantile mitochondrial myopathy"@en	"ORDO:1561"
"DOID:0050729"	"Chanarin-Dorfman syndrome"@en	"ORDO:98907"
"DOID:0050755"	"spinocerebellar ataxia with axonal neuropathy 2"@en	"ORDO:64753"
