id	label	xref
"DOID:0112248"	"17-beta hydroxysteroid dehydrogenase 3 deficiency"	"GARD:5659"
"DOID:0112248"	"17-beta hydroxysteroid dehydrogenase 3 deficiency"	"MIM:264300"
"DOID:0112248"	"17-beta hydroxysteroid dehydrogenase 3 deficiency"	"ORDO:752"
"DOID:0111453"	"2-aminoadipic 2-oxoadipic aciduria"	"MIM:204750"
"DOID:0111453"	"2-aminoadipic 2-oxoadipic aciduria"	"ORDO:79154"
"DOID:0050573"	"2-hydroxyglutaric aciduria"	"GARD:10761"
"DOID:0050573"	"2-hydroxyglutaric aciduria"	"MESH:C535306"
"DOID:0060241"	"3-M syndrome"	"GARD:5667"
"DOID:0060241"	"3-M syndrome"	"MESH:C535314"
"DOID:0060241"	"3-M syndrome"	"MIM:273750"
"DOID:0060241"	"3-M syndrome"	"MIM:612921"
"DOID:0060241"	"3-M syndrome"	"MIM:614205"
"DOID:0060241"	"3-M syndrome"	"ORDO:2616"
"DOID:0060241"	"3-M syndrome"	"SNOMEDCT_US_2023_03_01:702342007"
"DOID:0060241"	"3-M syndrome"	"UMLS_CUI:C1848862"
"DOID:0060241"	"3-M syndrome"	"UMLS_CUI:C3280146"
"DOID:0070541"	"3-hydroxy-3-methylglutaryl-CoA lyase deficiency"	"GARD:8387"
"DOID:0070541"	"3-hydroxy-3-methylglutaryl-CoA lyase deficiency"	"MESH:C538324"
"DOID:0070541"	"3-hydroxy-3-methylglutaryl-CoA lyase deficiency"	"MIM:246450"
"DOID:0070541"	"3-hydroxy-3-methylglutaryl-CoA lyase deficiency"	"NCI:C84523"
"DOID:0070541"	"3-hydroxy-3-methylglutaryl-CoA lyase deficiency"	"ORDO:20"
"DOID:0070541"	"3-hydroxy-3-methylglutaryl-CoA lyase deficiency"	"UMLS_CUI:C0268601"
"DOID:0060949"	"3-hydroxyisobutryl-CoA hydrolase deficiency"	"GARD:13202"
"DOID:0060949"	"3-hydroxyisobutryl-CoA hydrolase deficiency"	"MIM:250620"
"DOID:0060949"	"3-hydroxyisobutryl-CoA hydrolase deficiency"	"ORDO:88639"
"DOID:0080579"	"3-methylcrotonyl-CoA carboxylase 1 deficiency"	"MESH:C535308"
"DOID:0080579"	"3-methylcrotonyl-CoA carboxylase 1 deficiency"	"MIM:210200"
"DOID:0080580"	"3-methylcrotonyl-CoA carboxylase 2 deficiency"	"MESH:C535309"
"DOID:0080580"	"3-methylcrotonyl-CoA carboxylase 2 deficiency"	"MIM:210210"
"DOID:0050710"	"3-methylcrotonyl-CoA carboxylase deficiency"	"GARD:10954"
"DOID:0050710"	"3-methylcrotonyl-CoA carboxylase deficiency"	"MIM:PS210200"
"DOID:0050710"	"3-methylcrotonyl-CoA carboxylase deficiency"	"ORDO:6"
"DOID:0060336"	"3-methylglutaconic aciduria"	"ICD10CM:E71.111"
"DOID:0060336"	"3-methylglutaconic aciduria"	"MESH:C579867"
"DOID:0060336"	"3-methylglutaconic aciduria"	"MIM:PS250950"
"DOID:0060336"	"3-methylglutaconic aciduria"	"ORDO:289902"
"DOID:0110002"	"3-methylglutaconic aciduria type 1"	"MESH:C562801"
"DOID:0110002"	"3-methylglutaconic aciduria type 1"	"MIM:250950"
"DOID:0110002"	"3-methylglutaconic aciduria type 1"	"ORDO:67046"
"DOID:0110004"	"3-methylglutaconic aciduria type 3"	"MIM:258501"
"DOID:0110004"	"3-methylglutaconic aciduria type 3"	"ORDO:67047"
"DOID:0110006"	"3-methylglutaconic aciduria type 4"	"MESH:C565393"
"DOID:0110006"	"3-methylglutaconic aciduria type 4"	"MIM:250951"
"DOID:0110006"	"3-methylglutaconic aciduria type 4"	"ORDO:67048"
