disease_id	disease_label	symptom_id	symptom_label
DOID:1205	allergic disease	SYMP:0000900	allergic reaction
DOID:820	myocarditis	SYMP:0000061	inflammation
DOID:8502	bullous skin disease	SYMP:0000009	blister
DOID:0050004	seminal vesicle acute gonorrhea	SYMP:0000006	backache
DOID:0050012	chikungunya	SYMP:0000064	joint pain
DOID:0050012	chikungunya	SYMP:0000613	fever
DOID:0050012	chikungunya	SYMP:0000636	maculopapular rash
DOID:0050025	human granulocytic anaplasmosis	SYMP:0000487	rash
DOID:0050025	human granulocytic anaplasmosis	SYMP:0000504	headache
DOID:0050025	human granulocytic anaplasmosis	SYMP:0000613	fever
DOID:0050025	human granulocytic anaplasmosis	SYMP:0019177	fatigue
DOID:0050026	human monocytic ehrlichiosis	SYMP:0000487	rash
DOID:0050026	human monocytic ehrlichiosis	SYMP:0000504	headache
DOID:0050026	human monocytic ehrlichiosis	SYMP:0000613	fever
DOID:0050026	human monocytic ehrlichiosis	SYMP:0019177	fatigue
DOID:0050035	African tick-bite fever	SYMP:0000613	fever
DOID:0050035	African tick-bite fever	SYMP:0000636	maculopapular rash
DOID:0050035	African tick-bite fever	SYMP:0019158	eschar
DOID:0050041	Astrakhan spotted fever	SYMP:0000613	fever
DOID:0050041	Astrakhan spotted fever	SYMP:0000636	maculopapular rash
DOID:0050041	Astrakhan spotted fever	SYMP:0019158	eschar
DOID:0050042	Indian tick typhus	SYMP:0000613	fever
DOID:0050042	Indian tick typhus	SYMP:0000636	maculopapular rash
DOID:0050042	Indian tick typhus	SYMP:0019158	eschar
DOID:0050043	Israeli tick typhus	SYMP:0000613	fever
DOID:0050043	Israeli tick typhus	SYMP:0000636	maculopapular rash
DOID:0050043	Israeli tick typhus	SYMP:0019158	eschar
DOID:0050046	Far Eastern spotted fever	SYMP:0000613	fever
DOID:0050046	Far Eastern spotted fever	SYMP:0000636	maculopapular rash
DOID:0050046	Far Eastern spotted fever	SYMP:0019158	eschar
DOID:0050047	Flinders Island spotted fever	SYMP:0019142	lymphadenopathy
DOID:0050047	Flinders Island spotted fever	SYMP:0019158	eschar
DOID:0050050	Japanese spotted fever	SYMP:0000613	fever
DOID:0050050	Japanese spotted fever	SYMP:0019158	eschar
DOID:0050051	Rickettsia parkeri spotted fever	SYMP:0000487	rash
DOID:0050051	Rickettsia parkeri spotted fever	SYMP:0000504	headache
DOID:0050051	Rickettsia parkeri spotted fever	SYMP:0000613	fever
DOID:0050051	Rickettsia parkeri spotted fever	SYMP:0019158	eschar
DOID:0050052	Rocky Mountain spotted fever	SYMP:0000457	abdominal pain
DOID:0050052	Rocky Mountain spotted fever	SYMP:0000504	headache
DOID:0050052	Rocky Mountain spotted fever	SYMP:0000613	fever
DOID:0050052	Rocky Mountain spotted fever	SYMP:0000636	maculopapular rash
DOID:0050052	Rocky Mountain spotted fever	SYMP:0000638	papular rash
DOID:0050059	oropharyngeal anthrax	SYMP:0000309	loss of appetite
DOID:0050059	oropharyngeal anthrax	SYMP:0000376	severe diarrhea
DOID:0050059	oropharyngeal anthrax	SYMP:0000570	diarrhea
DOID:0050059	oropharyngeal anthrax	SYMP:0019145	vomiting
DOID:0050059	oropharyngeal anthrax	SYMP:0019147	hematemesis
DOID:0050073	invasive aspergillosis	SYMP:0000041	hemorrhage
DOID:0050118	La Crosse encephalitis	SYMP:0000030	paralysis
DOID:0050118	La Crosse encephalitis	SYMP:0000124	seizure
DOID:0050118	La Crosse encephalitis	SYMP:0000504	headache
DOID:0050118	La Crosse encephalitis	SYMP:0000605	coma
DOID:0050118	La Crosse encephalitis	SYMP:0000613	fever
DOID:0050120	hemophagocytic lymphohistiocytosis	SYMP:0000047	hepatosplenomegaly
DOID:0050120	hemophagocytic lymphohistiocytosis	SYMP:0000521	enlargement of lymph nodes
DOID:0050120	hemophagocytic lymphohistiocytosis	SYMP:0019142	lymphadenopathy
DOID:0050125	dengue shock syndrome	SYMP:0000007	bleeding
DOID:0050125	dengue shock syndrome	SYMP:0000059	hypotension
DOID:0050125	dengue shock syndrome	SYMP:0000448	epistaxis
DOID:0050125	dengue shock syndrome	SYMP:0000450	shock
DOID:0050125	dengue shock syndrome	SYMP:0000741	nasal bleeding
DOID:0050125	dengue shock syndrome	SYMP:0000742	gum bleeding
DOID:0050127	sinusitis	SYMP:0000177	weakness
DOID:0050127	sinusitis	SYMP:0000237	congestion
DOID:0050127	sinusitis	SYMP:0000613	fever
DOID:0050127	sinusitis	SYMP:0000614	cough
DOID:0050127	sinusitis	SYMP:0019177	fatigue
DOID:0050129	secretory diarrhea	SYMP:0000570	diarrhea
DOID:0050130	osmotic diarrhea	SYMP:0000570	diarrhea
DOID:0050130	osmotic diarrhea	SYMP:0019180	constipation
DOID:0050131	motility-related diarrhea	SYMP:0000570	diarrhea
DOID:0050132	inflammatory diarrhea	SYMP:0000570	diarrhea
DOID:0050140	acute diarrhea	SYMP:0000570	diarrhea
DOID:0050145	adenoiditis	SYMP:0000099	pain
DOID:0050145	adenoiditis	SYMP:0000493	dysphagia
DOID:0050145	adenoiditis	SYMP:0000716	swelling symptom
