id	label
DOID:0060034	dropped head syndrome
DOID:0070336	arthrogryposis multiplex congenita-6
DOID:0070355	overactive bladder syndrome
DOID:0070358	primary biliary cholangitis 1
DOID:0070359	primary biliary cholangitis 2
DOID:0070360	primary biliary cholangitis 3
DOID:0070361	primary biliary cholangitis 4
DOID:0070362	primary biliary cholangitis 5
DOID:0070363	bradyopsia 1
DOID:0070364	bradyopsia 2
DOID:0070365	nevoid basal cell carcinoma syndrome 1
DOID:0070366	nevoid basal cell carcinoma syndrome 2
DOID:0070367	leukoencephalopathy with vanishing white matter 5
DOID:0070368	autosomal recessive chronic granulomatous disease 5
DOID:0070369	restrictive dermopathy 1
DOID:0070370	restrictive dermopathy 2
DOID:0070371	leukoencephalopathy with vanishing white matter 4
DOID:0070372	leukoencephalopathy with vanishing white matter 3
DOID:0070373	leukoencephalopathy with vanishing white matter 2
DOID:0070374	leukoencephalopathy with vanishing white matter 1
DOID:0070375	developmental and epileptic encephalopathy 64
DOID:0070376	developmental and epileptic encephalopathy 31B
DOID:0070377	developmental and epileptic encephalopathy 96
DOID:0070378	developmental and epileptic encephalopathy 109
DOID:0070379	developmental and epileptic encephalopathy 6B
DOID:0070380	developmental and epileptic encephalopathy 85
DOID:0070381	developmental and epileptic encephalopathy 90
DOID:0070382	developmental and epileptic encephalopathy 95
DOID:0070383	developmental and epileptic encephalopathy 97
DOID:0070384	developmental and epileptic encephalopathy 98
DOID:0070385	developmental and epileptic encephalopathy 99
DOID:0070386	developmental and epileptic encephalopathy 100
DOID:0070387	developmental and epileptic encephalopathy 101
DOID:0070388	developmental and epileptic encephalopathy 102
DOID:0070389	developmental and epileptic encephalopathy 103
DOID:0070390	developmental and epileptic encephalopathy 104
DOID:0070391	developmental and epileptic encephalopathy 105
DOID:0070392	developmental and epileptic encephalopathy 106
DOID:0070393	developmental and epileptic encephalopathy 107
DOID:0070394	developmental and epileptic encephalopathy 108
DOID:0070395	developmental and epileptic encephalopathy 110
DOID:0070396	progressive leukoencephalopathy with ovarian failure
DOID:0070397	hypomyelinating leukodystrophy 23
DOID:0070398	hypomyelinating leukodystrophy 15
DOID:0070399	hypomyelinating leukodystrophy 18
DOID:0070400	hypomyelinating leukodystrophy 19
DOID:0070401	hypomyelinating leukodystrophy 25
DOID:0070402	hypomyelinating leukodystrophy 22
DOID:0070403	hypomyelinating leukodystrophy 26
DOID:0070404	hypomyelinating leukodystrophy 17
DOID:0070405	hypomyelinating leukodystrophy 16
DOID:0070406	hypomyelinating leukodystrophy 24
DOID:0070407	hypomyelinating leukodystrophy 21
DOID:0070408	Hengel-Maroofian-Schols syndrome
DOID:0070409	autosomal recessive spinocerebellar ataxia 28
DOID:0070410	autosomal recessive spinocerebellar ataxia 29
DOID:0070411	autosomal recessive spinocerebellar ataxia 30
DOID:0070412	autosomal recessive spinocerebellar ataxia 31
DOID:0070413	autosomal recessive spinocerebellar ataxia 32
DOID:0070414	autosomal recessive spinocerebellar ataxia 33
DOID:0070415	brachycephaly, trichomegaly, and developmental delay
DOID:0070416	Luo-Schoch-Yamamoto syndrome
DOID:0070417	neurodevelopmental disorder with speech impairment and dysmorphic facies
DOID:0070418	vertebral hypersegmentation and orofacial anomalies
DOID:0070419	acrocardiofacial syndrome
DOID:0070420	developmental delay, hypotonia, and impaired language
DOID:0070421	neurodevelopmental disorder with spasticity and poor growth
DOID:0070422	syndromic X-linked intellectual disability Pilorge type
DOID:0070423	early onset progressive encephalopathy with brain atrophy and thin corpus callosum
DOID:0070424	combined oxidative phosphorylation deficiency 44
DOID:0070425	combined oxidative phosphorylation deficiency 52
DOID:0070426	combined oxidative phosphorylation deficiency 53
DOID:0070427	combined oxidative phosphorylation deficiency 54
DOID:0070428	combined oxidative phosphorylation deficiency 55
DOID:0070429	combined oxidative phosphorylation deficiency 56
DOID:0070430	combined oxidative phosphorylation deficiency 57
DOID:0070431	hyperphosphatasia with impaired intellectual development syndrome
DOID:0070432	hyperphosphatasia with impaired intellectual development syndrome 5
DOID:0070433	hyperphosphatasia with impaired intellectual development syndrome 1
DOID:0070434	hyperphosphatasia with impaired intellectual development syndrome 2
DOID:0070435	hyperphosphatasia with impaired intellectual development syndrome 3
DOID:0070436	hyperphosphatasia with impaired intellectual development syndrome 4
DOID:0070437	hyperphosphatasia with impaired intellectual development syndrome 6
DOID:0070438	retinal macular dystrophy
DOID:0070439	North Carolina macular dystrophy
DOID:0070440	retinal macular dystrophy 3
DOID:0070441	retinal macular dystrophy 4
DOID:0070442	paroxysmal nonkinesigenic dyskinesia 3
DOID:0070443	neurodevelopmental disorder with cerebellar atrophy and motor dysfunction
DOID:0070444	neurodevelopmental disorder with language delay and seizures
DOID:0070445	early-onset dystonia and/or spastic paraplegia
DOID:0070446	mitochondrial DNA depletion syndrome 16
DOID:0070447	mitochondrial DNA depletion syndrome 16B
DOID:0070448	mitochondrial DNA depletion syndrome 17
DOID:0070449	mitochondrial DNA depletion syndrome 18
DOID:0070450	mitochondrial DNA depletion syndrome 19
DOID:0070451	mitochondrial DNA depletion syndrome 20
DOID:0070452	xanthinuria type I
DOID:0070453	xanthinuria type II
DOID:0070454	hereditary spastic paraplegia 70
DOID:0070455	hereditary spastic paraplegia 79A
DOID:0070456	hereditary spastic paraplegia 87
DOID:0070457	hereditary spastic paraplegia 88
DOID:0070458	hereditary spastic paraplegia 89
DOID:0070459	hereditary spastic paraplegia 90A
DOID:0070460	hereditary spastic paraplegia 90B
DOID:0070461	mitochondrial complex V (ATP synthase) deficiency nuclear type 4A
DOID:0070462	mitochondrial complex V (ATP synthase) deficiency nuclear type 4B
DOID:0070463	mitochondrial complex V (ATP synthase) deficiency nuclear type 5
DOID:0070464	mitochondrial complex V (ATP synthase) deficiency nuclear type 7
DOID:0070466	carpal tunnel syndrome 1
DOID:0070467	carpal tunnel syndrome 2
DOID:0081012	critical COVID-19
DOID:0081013	severe COVID-19
DOID:0081014	non-severe COVID-19
DOID:0081015	congenital fibrosis of the extraocular muscles 1
DOID:0081016	congenital fibrosis of the extraocular muscles 2
DOID:0081017	congenital fibrosis of the extraocular muscles 3A
DOID:0081019	congenital fibrosis of the extraocular muscles 3C
DOID:0081020	congenital fibrosis of the extraocular muscles 5
DOID:0081021	Tukel syndrome
DOID:0081022	retinal cone dystrophy 3B
DOID:0081023	retinal cone dystrophy 4
DOID:0081024	retinal cone dystrophy 1
DOID:0081025	retinal cone dystrophy 3A
DOID:0081026	benign peritoneal solitary fibrous tumor
DOID:0081028	glycogen-rich carcinoma
DOID:0081030	central conducting lymphatic anomaly
DOID:0081031	generalized lymphatic anomaly
DOID:0081034	glutatione synthetase deficiency with 5-oxoprolinuria
DOID:0081036	mixed phenotype acute leukemia with BCR-ABL1
DOID:0081037	mixed phenotype acute leukemia with MLL rearranged
DOID:0081038	mixed phenotype acute leukemia, B/myeloid
DOID:0081039	mixed phenotype acute leukemia, T/myeloid
DOID:0081041	B-cell prolymphocytic leukemia
DOID:0081042	T-cell prolymphocytic leukemia
DOID:0081043	fetal akinesia deformation sequence syndrome X-linked
