title	pmid	doi	scopus_eid	pub_date
A guide for developing comprehensive systems biology maps of disease mechanisms: planning, construction and maintenance.	37426048	10.3389/fbinf.2023.1197310		2023-06-22
Bibliometric analysis of phosphoglycerate kinase 1 expression in breast cancer and its distinct upregulation in triple-negative breast cancer.	39071464	10.5306/wjco.v15.i7.867		2024-07-24
BioGateway: a semantic systems biology tool for the life sciences.	19796395	10.1186/1471-2105-10-S10-S11		2009-10-01
Evolutionary learning-derived lncRNA signature with biomarker discovery for predicting stage of colon adenocarcinoma.	40039814	10.1109/EMBC53108.2024.10781761		2024-07-01
Expanding automated gene summaries for Caenorhabditis and parasitic nematode species in WormBase.	39087205	10.17912/micropub.biology.001267		2024-07-16
Identification of GJC1 as a novel diagnostic marker for papillary thyroid carcinoma using weighted gene co-expression network analysis and machine learning algorithm.	40095160	10.1007/s12672-025-02137-7		2025-03-17
Identification of TFRC as a biomarker for pulmonary arterial hypertension based on bioinformatics and experimental verification.	39097701	10.1186/s12931-024-02928-6		2024-08-03
Identification of diagnostic biomarkers of rheumatoid arthritis based on machine learning-assisted comprehensive bioinformatics and its correlation with immune cells.	39170142	10.1016/j.heliyon.2024.e35511		2024-08-05
Identification of effective diagnostic genes and immune cell infiltration characteristics in small cell lung cancer by integrating bioinformatics analysis and machine learning algorithms.	39074893	10.15537/smj.2024.45.8.20240170		2024-08-01
Identification of key biomarkers and therapeutic targets in sepsis through coagulation-related gene expression and immune pathway analysis.	39430765	10.3389/fimmu.2024.1470842		2024-10-04
Integrated network pharmacology and RNA sequencing analysis to reveal the mechanisms of Qici Sanling decoction in the treatment of gemcitabine resistant bladder cancer.	40233549	10.1016/j.jpba.2025.116885		2025-04-10
Modulating vascular smooth muscle cell phenotype via Wnt-Independent FRZB pathways.	39778670	10.1016/j.abb.2025.110290		2025-02-01
Predicting gene signature in breast cancer patients with multiple machine learning models.	39352418	10.1007/s12672-024-01386-2		2024-10-01
Research on the Therapeutic Effect of Qizhu Anti Cancer Recipe on Colorectal Cancer Based on RNA Sequencing Analysis.	39501961	10.2174/0113862073322752241016110001		2024-11-04
TarKG: a comprehensive biomedical knowledge graph for target discovery.	39392404	10.1093/bioinformatics/btae598		2024-10-01
The 2024 Nucleic Acids Research database issue and the online molecular biology database collection.	38035367	10.1093/nar/gkad1173		2024-01-05
The G Protein-Coupled Receptor-Related Gene Signatures for Diagnosis and Prognosis in Glioblastoma: A Deep Learning Model Using RNA-Seq Data.	39733410	10.31557/APJCP.2024.25.12.4201		2024-12-01
The expression of exosomal and cellular miRNAs in predicting oxaliplatin resistance in colorectal cancer cells: an in silico and in vitro study.	39789474	10.1186/s12885-024-13392-2		2025-01-09
p27 Cell Cycle Inhibitor and Survival in Luminal-Type Breast Cancer: Gene Ontology, Machine Learning, and Drug Screening Analysis.	39344410	10.4048/jbc.2024.0107		2024-10-01
Fatty acid synthase inhibitor cerulenin hinders liver cancer stem cell properties through FASN/APP axis as novel therapeutic strategies.	39332525	10.1016/j.jlr.2024.100660		2024-11-01
Graph databases in systems biology: a systematic review.	39565895	10.1093/bib/bbae561		2024-09-23
Network-based hub biomarker discovery for glaucoma.	39537208	10.1136/bmjophth-2024-001915		2024-11-12
Tracking the Spread of Pollen on Social Media Using Pollen-Related Messages From Twitter: Retrospective Analysis.	39432897	10.2196/58309		2024-10-21
ANTICANCER ACTIVITY OF MELATONIN AND METFORMIN ALONE AND IN COMBINATION AGAINST MELANOMA AND BREAST CANCER CELLS		10.32383/appdr/197350	2-s2.0-85219476491	2024-01-01
A Multi-Omics-Based Exploration of the Predictive Role of MSMB in Prostate Cancer Recurrence: A Study Using Bayesian Inverse Convolution and 10 Machine Learning Combinations		10.3390/biomedicines13020487	2-s2.0-85218865395	2025-02-01
A genome-wide association study of high-sensitivity C-reactive protein in a large Korean population highlights its genetic relationship with cholesterol metabolism	39747571	10.1038/s41598-024-84466-1	2-s2.0-85213871947	2025-12-01
A semantic ontology of acupoints in Traditional Chinese Medicine aligning with the Basic Formal Ontology		10.1109/IIKI65561.2024.00039	2-s2.0-105001425620	2024-01-01
Background knowledge in ontology matching: A survey		10.3233/SW-223085	2-s2.0-85217958043	2025-01-23
Bridging the Gap: Generating a Comprehensive Biomedical Knowledge Graph Question Answering Dataset		10.3233/FAIA240615	2-s2.0-85213378742	2024-10-16
Comprehensive Metapath-based Heterogeneous Graph Transformer for Gene-Disease Association Prediction		10.1109/BIBM62325.2024.10821892	2-s2.0-85217276857	2024-01-01
Comprehensive evaluation of pure and hybrid collaborative filtering in drug repurposing	39837888	10.1038/s41598-025-85927-x	2-s2.0-85216550346	2025-12-01
CroMatcher 2.0: A Comprehensive Analysis of the Improved Ontology Matching System		10.1109/ACCESS.2025.3538655	2-s2.0-85217466415	2025-01-01
Data Hazards: An open-source vocabulary of ethical hazards for data-intensive projects		10.1016/j.jrt.2025.100110	2-s2.0-85218871754	2025-03-01
G0S2 modulates normal vitreous-induced proliferation in endothelial cells	40185884	10.1038/s42003-025-07955-7	2-s2.0-105002654474	2025-12-01
IDog: A multi-omics resource for canids study	39526388	10.1093/nar/gkae1031	2-s2.0-85214461054	2025-01-06
Knowledge Graphs in AI-Driven Biomedical and Chemical Engineering: A Survey of Construction, Applications, and Future Directions		10.1109/AIxSET62544.2024.00050	2-s2.0-85215095823	2024-01-01
Language Models as Hierarchy Encoders			2-s2.0-105000558096	2024-01-01
PDMMDA: Prediction of MiRNA and Disease Association Based on Parallel Dimension Reduction Structure		10.1145/3718677.3718695	2-s2.0-105002392033	2025-03-22
Predicting circRNA-Drug Resistance Associations Based on a Multimodal Graph Representation Learning Framework	37498762	10.1109/JBHI.2023.3299423	2-s2.0-85166278467	2025-01-01
Prediction of miRNA-Disease Associations Based on Hybrid Gated GNN and Multi-Data Integration		10.1109/BIBM62325.2024.10822161	2-s2.0-85217279824	2024-01-01
Prediction of miRNA-disease associations based on PCA and cascade forest	39701957	10.1186/s12859-024-05999-w	2-s2.0-85212584214	2024-12-01
Transcriptome Analysis of Peiminine-mediated Inhibitory Functions on Hepatocellular Carcinoma Huh-7 Cell Growth		10.13748/j.cnki.issn1007-7693.20230653	2-s2.0-85209211619	2024-09-01
VICatMix: Variational Bayesian clustering and variable selection for discrete biomedical data		10.1093/bioadv/vbaf055	2-s2.0-105003032962	2025-01-01
A Review of Link Prediction Applications in Network Biology		10.1109/ACCESS.2025.3553732	2-s2.0-105002264430	2025-01-01
Drug repurposing through molecular docking		10.4018/979-8-3693-5598-5.ch009	2-s2.0-85218142783	2025-02-05
Genetic associations of plasma proteins and breast cancer identify potential therapeutic drug candidates		10.1038/s42003-025-08046-3	2-s2.0-105002969904	2025-12-01
Identifying Associations between Small Nucleolar RNAs and Diseases via Graph Convolutional Network and Attention Mechanism	38980776	10.1109/JBHI.2024.3424848	2-s2.0-85198313789	2024-01-01
Integrative analysis of the fermentation mechanisms, antioxidant properties, and potential health benefits of mulberry wine using multiple bioinformatics approaches		10.1016/j.fbio.2025.106185	2-s2.0-85218885399	2025-04-01
MFF-nDA: A Computational Model for ncRNA-Disease Association Prediction Based on Multimodule Fusion		10.1021/acs.jcim.5c00174	2-s2.0-105003047111	2025-04-14
Navigating the Explainable Molecular Graph: Best Practices for Representation Learning in Bioinformatics		10.1109/BIBE63649.2024.10820484	2-s2.0-85217172555	2024-01-01
PPDAMEGCN: Predicting piRNA-Disease Associations Based on Multi-Edge Type Graph Convolutional Network	40120103	10.1049/syb2.70011	2-s2.0-105000668455	2025-01-01
Predicting circRNA-disease associations with shared units and multi-channel attention mechanisms	40045181	10.1093/bioinformatics/btaf088	2-s2.0-105000551934	2025-03-01
Predicting potential microbe-disease associations based on heterogeneous graph attention network and deep sparse autoencoder		10.1016/j.engappai.2025.110301	2-s2.0-85218466305	2025-05-01
Therapeutic gene target prediction using novel deep hypergraph representation learning	39841592	10.1093/bib/bbaf019	2-s2.0-85216608285	2025-01-01
metaCDA: A Novel Framework for CircRNA-Driven Drug Discovery Utilizing Adaptive Aggregation and Meta-Knowledge Learning	39937612	10.1021/acs.jcim.4c02193	2-s2.0-85217524666	2025-02-24
The role of ontologies in machine learning: a case study of gene ontology		10.47989/ir30iConf47575	2-s2.0-105000135729	2025-01-01
A cell atlas foundation model for scalable search of similar human cells	39566551	10.1038/s41586-024-08411-y	2-s2.0-85217270680	2025-02-27
A mode of action protein based approach that characterizes the relationships among most major diseases	40113859	10.1038/s41598-025-93377-8	2-s2.0-105000486582	2025-12-01
A survey on computational methods used for drug repositioning		10.1007/s13721-025-00502-8	2-s2.0-85217505216	2025-12-01
Advances in Bioinformatics, Biostatistics and Omic Sciences		10.2174/97898114818021200101	2-s2.0-85208012383	2020-01-01
Analyzing the relationship between gene expression and phenotype in space-flown mice using a causal inference machine learning ensemble	39824847	10.1038/s41598-024-81394-y	2-s2.0-85216237077	2025-12-01
BioSTransMatch Results @ OAEI 2024			2-s2.0-85216422049	2024-01-01
Data2Concept2Text: An Explainable Multilingual Framework for Data Analysis Narration		10.4204/EPTCS.416.13	2-s2.0-85218622044	2025-02-13
Differential Protein-Coding Gene Expression Profile in Patients with Prostate Cancer		10.3390/biomedicines12112509	2-s2.0-85210421918	2024-11-01
DisGeNet: a disease-centric interaction database among diseases and various associated genes	39797570	10.1093/database/baae122	2-s2.0-85215077040	2025-01-01
EHDChat: A Knowledge-Grounded, Empathy-Enhanced Language Model for Healthcare Interactions			2-s2.0-85216934377	2024-01-01
Ferroptosis-related genes in preeclampsia: integrative bioinformatics analysis, experimental validation and drug prediction	39984919	10.1186/s12884-025-07325-5	2-s2.0-85218493059	2025-12-01
Human Phenotype Ontology Annotations for Rare Congenital Conditions: Application to Arthrogryposis Multiplex Congenita		10.1002/ajmg.a.64067	2-s2.0-105002144293	2025-01-01
Identifying Disease-Gene Associations by Topological and Biological Feature-based Data Augmentation and Graph Neural Networks		10.1109/JBHI.2025.3549509	2-s2.0-105000052318	2025-01-01
Integrating large language models with human expertise for disease detection in electronic health records		10.1016/j.compbiomed.2025.110161	2-s2.0-105001855770	2025-06-01
LSD600: The first corpus of biomedical abstracts annotated with lifestyle-disease relations	39824652	10.1093/database/baae129	2-s2.0-85215369394	2025-01-01
Multiple disease diagnoses using heterogeneous EHR curated knowledge graph and machine learning models		10.1007/s10489-024-05952-7	2-s2.0-105002961613	2025-05-01
Ontology Matching Method Based on Gated Graph Attention Model		10.32604/cmc.2024.060993	2-s2.0-86000367016	2025-01-01
Potentially causal associations between placental DNA methylation and schizophrenia and other neuropsychiatric disorders	40087310	10.1038/s41467-025-57760-3	2-s2.0-105000172148	2025-12-01
SPHN strategy to unravel the semantic drift between versions of standard terminologies			2-s2.0-85214925030	2024-01-01
ZFIN updates to support zebrafish environmental exposure data	39903545	10.1093/genetics/iyaf021	2-s2.0-105000314154	2025-03-01
A Systemic Pipeline of Identifying lncRNA-Disease Associations to the Prognosis and Treatment of Hepatocellular Carcinoma		10.1109/TBDATA.2024.3433380	2-s2.0-105001062265	2025-01-01
A survey on multi-view fusion for predicting links in biomedical bipartite networks: Methods and applications		10.1016/j.inffus.2024.102894	2-s2.0-85213230332	2025-05-01
Advancing Liver Cancer Research: A Graph-Based Approach for Ontology Enrichment and Link Prediction		10.1016/j.procs.2024.09.313	2-s2.0-85213391567	2024-01-01
An investigation into the mechanism for Kaempferol improving melanocyte death based on network Pharmacology and experimental verification	40074768	10.1038/s41598-025-91905-0	2-s2.0-105000160823	2025-12-01
Automatic Pathology Detection in Spanish Clinical Notes Combining Language Models and Medical Ontologies			2-s2.0-85211928611	2024-01-01
Best practices for developing microbiome-based disease diagnostic classifiers through machine learning	40186338	10.1080/19490976.2025.2489074	2-s2.0-105002210667	2025-01-01
Causal relationships between diseases mined from the literature improve the use of polygenic risk scores	39460944	10.1093/bioinformatics/btae639	2-s2.0-85209168749	2024-11-01
Computational tools and data integration to accelerate vaccine development: challenges, opportunities, and future directions	40124369	10.3389/fimmu.2025.1502484	2-s2.0-105000469104	2025-01-01
Computer analysis shows differences between mitochondrial miRNAs and other miRNAs		10.18699/vjgb-24-91	2-s2.0-85217534712	2024-01-01
Core reference ontology for individualized exercise prescription	39695140	10.1038/s41597-024-04217-9	2-s2.0-85212448635	2024-12-01
Curcumin Analog J7 Attenuates Liver Fibrosis and Metabolic Dysregulation in a Rat Model of Type 2 Diabetes via Modulation of TGF-β/Smad and NF-κB/BCL-2/BAX Pathways	40190815	10.2147/DDDT.S511372	2-s2.0-105002446905	2025-01-01
Data Harmonization through use of community standards in the Common Fund Data Ecosystem			2-s2.0-85209948083	2022-01-01
Disease Clustering with Process Annotations from Gene Ontology		10.29007/sfh2	2-s2.0-85207844118	2024-01-01
Domain specific semantic categories in biomedical applications		10.1016/B978-0-443-15452-2.00029-7	2-s2.0-85213163553	2024-01-01
Editome Disease Knowledgebase v2.0: an updated resource of editome–disease associations through literature curation and integrative analysis		10.1093/bioadv/vbaf012	2-s2.0-85218712580	2025-01-01
EnrichDO: A global weighted model for Disease Ontology enrichment analysis	40139908	10.1093/gigascience/giaf021	2-s2.0-105001425999	2025-01-01
