id	label	xrefs	anatomy_id	anatomy_label
DOID:14566	disease of cellular proliferation			
DOID:0060071	pre-malignant neoplasm			
DOID:5465	conjunctival intraepithelial neoplasm		UBERON:0001811	conjunctiva
DOID:6198	corneal intraepithelial neoplasm		UBERON:0000964	cornea
DOID:8719	in situ carcinoma			
DOID:0050610	oral cavity carcinoma in situ		UBERON:0000167	oral cavity
DOID:8661	lip carcinoma in situ		UBERON:0001833	lip
DOID:0050611	pharynx carcinoma in situ		UBERON:0006562	pharynx
DOID:0050612	gallbladder carcinoma in situ		UBERON:0002110	gallbladder
DOID:0050613	bile duct carcinoma in situ		UBERON:0002394	bile duct
DOID:0050614	bronchus carcinoma in situ		UBERON:0002185	bronchus
DOID:0050614	bronchus carcinoma in situ		UBERON:0002186	bronchiole
DOID:4943	adenocarcinoma in situ	ICDO:8140/2		
DOID:5172	endometrium carcinoma in situ		UBERON:0001295	endometrium
DOID:6148	nasal cavity carcinoma in situ		UBERON:0001707	nasal cavity
DOID:8634	prostate carcinoma in situ		UBERON:0002367	prostate gland
DOID:8687	skin carcinoma in situ		UBERON:0000014	zone of skin
DOID:8791	breast carcinoma in situ		UBERON:0000310	breast
DOID:0060074	ductal carcinoma in situ			
DOID:5670	comedo carcinoma			
DOID:3010	lobular neoplasia			
DOID:8428	breast apocrine carcinoma in situ			
DOID:8792	eye carcinoma in situ		UBERON:0000970	eye
DOID:8800	lung carcinoma in situ			
DOID:0050870	pulmonary adenocarcinoma in situ			
DOID:8802	trachea carcinoma in situ		UBERON:0003126	trachea
DOID:8872	penis carcinoma in situ		UBERON:0000989	penis
DOID:9011	larynx carcinoma in situ		UBERON:0001737	larynx
DOID:9024	intestine carcinoma in situ		UBERON:0000160	intestine
DOID:8826	colon carcinoma in situ		UBERON:0001155	colon
DOID:9053	bladder carcinoma in situ		UBERON:0001255	urinary bladder
DOID:9087	anal carcinoma in situ		UBERON:0000159	anal canal
DOID:9095	esophagus carcinoma in situ		UBERON:0001043	esophagus
DOID:9108	uterus carcinoma in situ		UBERON:0000995	uterus
DOID:8991	cervix uteri carcinoma in situ		UBERON:0000002	uterine cervix
DOID:9132	liver carcinoma in situ		UBERON:0002107	liver
DOID:9138	stomach carcinoma in situ		UBERON:0000945	stomach
DOID:9174	rectum carcinoma in situ		UBERON:0001052	rectum
DOID:9234	kidney carcinoma in situ		UBERON:0002113	kidney
DOID:8866	actinic keratosis	ICDO:8070/0		
DOID:0060072	benign neoplasm			
DOID:0060084	cell type benign neoplasm			
DOID:0050894	ameloblastoma	ICDO:9310/0	UBERON:0003843	dental epithelium
DOID:0080601	germ cell benign neoplasm			
DOID:0080602	benign teratoma	ICDO:9080/1		
DOID:2660	cystic teratoma			
DOID:2658	dermoid cyst	ICDO:9084/0		
DOID:13691	dermoid cyst of skin		UBERON:0000014	zone of skin
DOID:5117	dermoid cyst of ovary		UBERON:0000992	ovary
DOID:7071	spinal cord dermoid cyst		UBERON:0002240	spinal cord
DOID:7079	adult cystic teratoma			
DOID:5565	adult teratoma			
DOID:0080829	low grade glioma		UBERON:0000955	brain
DOID:0080829	low grade glioma		UBERON:0002240	spinal cord
DOID:0080829	low grade glioma		UBERON:0001017	central nervous system
DOID:0080830	childhood low-grade glioma			
DOID:4851	pilocytic astrocytoma	ICDO:9421/1	UBERON:0000955	brain
DOID:4845	pilomyxoid astrocytoma	ICDO:9425/3		
DOID:6811	juvenile pilocytic astrocytoma			
DOID:6812	childhood pilocytic astrocytoma			
DOID:0081260	diffuse low-grade glioma, MAPK pathway–altered	ICDO:9421/1		
DOID:0081261	angiocentric glioma	ICDO:9431/1		
DOID:4844	benign ependymoma		UBERON:0004670	ependyma
DOID:4843	subependymal glioma	ICDO:9383/1		
DOID:5077	subependymal giant cell astrocytoma	ICDO:9384/1		
DOID:5075	myxopapillary ependymoma	ICDO:9394/1		
DOID:5500	cellular ependymoma			
DOID:5504	tanycytic ependymoma			
DOID:5505	papillary ependymoma	ICDO:9393/3		
DOID:5507	clear cell ependymoma			
DOID:4852	pleomorphic xanthoastrocytoma	ICDO:9424/3		
DOID:4857	diffuse astrocytoma			
DOID:0081279	diffuse astrocytoma, MYB- or MYBL1-altered	ICDO:9421/1		
DOID:127	leiomyoma	ICDO:8890/0		
DOID:10070	larynx leiomyoma			
DOID:11887	ureter leiomyoma			
DOID:125	vagina leiomyoma		UBERON:0000996	vagina
DOID:13109	bladder leiomyoma		UBERON:0001255	urinary bladder
DOID:13958	uterine corpus bizarre leiomyoma		UBERON:0009853	body of uterus
DOID:1738	small intestine leiomyoma			
DOID:2142	urethra leiomyoma			
DOID:248	trachea leiomyoma		UBERON:0003126	trachea
DOID:2887	prostate leiomyoma		UBERON:0002367	prostate gland
DOID:5123	mediastinum leiomyoma		UBERON:0003728	mediastinum
DOID:5124	fallopian tube leiomyoma			
DOID:5125	extrahepatic bile duct leiomyoma		UBERON:0003703	extrahepatic bile duct
DOID:5126	central nervous system leiomyoma		UBERON:0001017	central nervous system
DOID:5127	bizarre leiomyoma	ICDO:8893/0		
DOID:5128	deep leiomyoma			
DOID:5134	anus leiomyoma		UBERON:0001245	anus
DOID:5136	lung leiomyoma			
DOID:6608	endobronchial leiomyoma			
DOID:5137	pericardium leiomyoma		UBERON:0002407	pericardium
DOID:5138	leiomyomatosis	ICDO:8890/1		
DOID:5139	cellular leiomyoma	ICDO:8892/0		
DOID:5140	gallbladder leiomyoma			
DOID:5143	large bowel leiomyoma		UBERON:0000059	large intestine
DOID:5146	appendix leiomyoma		UBERON:0001154	vermiform appendix
DOID:5728	diffuse peritoneal leiomyomatosis			
