name	url	type
a GO tool	https://agotool.org/	resource
AAgAtlas: Human AutoAntigen Db	http://biokb.ncpsb.org.cn/aagatlas/index.php	resource
ABCkb	https://github.com/atrautm1/ABCkb	resource
ADEPTUS	http://acgt.cs.tau.ac.il/adeptus/	resource
African Human Microbiome Portal	https://microbiome.h3abionet.org/	resource
AllEnricher	https://github.com/zd105/AllEnricher	resource
AllerGAtlas 	https://pubmed.ncbi.nlm.nih.gov/29688358/	resource
Alliance of Genome Resources	https://www.alliancegenome.org/	resource
Allotrope Foundation Ont (AFO)	https://www.allotrope.org/	ontology
Alzheimer Gene Assoc Classifier	https://www.doi.org/10.1016/j.humgen.2024.201309	methodology
AlzKB: Alzheimer’s KB	https://alzkb.ai/	resource
ANDES	https://github.com/ylaboratory/ANDES	methodology
Annot	https://annot.readthedocs.io/en/latest/index.html	resource
Antibiotic Resistance Ont (ARO)	https://obofoundry.org/ontology/aro.html	ontology
Apollo Structured Vocabulary	https://obofoundry.org/ontology/apollo_sv.html	ontology
ARAX	https://arax.rtx.ai/	resource
Arena-Idb	http://ncrnadb.scienze.univr.it/sites/arenaidb/	resource
Argo	http://argo.nactem.ac.uk/	resource
ASDmiR	https://github.com/chenchenxiong/ASDmiR	resource
ATD: Autophagy To Disease	http://auto2disease.nwsuaflmz.com/	resource
AuDis	https://pubmed.ncbi.nlm.nih.gov/27278815/	resource
AutismKB	http://autismkb.cbi.pku.edu.cn/	resource
BALDR	https://baldr.cpr.ku.dk	resource
BEAVR	https://github.com/developerpiru/BEAVR	resource
Bio-SimLex	https://www.repository.cam.ac.uk/handle/1810/276631	resource
Bio-SimVerb	https://www.repository.cam.ac.uk/handle/1810/276631	resource
Bio2RDF	http://bio2rdf.org/	resource
BioASQ	http://bioasq.org/	resource
BioASQ-QA	https://doi.org/10.5281%2Fzenodo.7655130	resource
BioAssay Ontology (BAO)	http://bioassayontology.org/	ontology
BioCreative V	http://www.biocreative.org/news/biocreative-v/	resource
BioDataome	http://dataome.mensxmachina.org/	resource
BioGrid	https://thebiogrid.org/	resource
biomappings	https://github.com/biopragmatics/biomappings	resource
BiomarkerKB	https://biomarkerkb.org/	resource
Biomodels	https://www.ebi.ac.uk/biomodels-main/	resource
BioMuta	https://hive.biochemistry.gwu.edu/biomuta	resource
BIONDA	http://bionda.mpc.ruhr-uni-bochum.de/	resource
BioNELL	https://www.semanticscholar.org/paper/Bootstrapping-Biomedical-Ontologies-for-Scientific-Movshovitz-Attias-Cohen/415d4231cab5ddee73e2ed536d033d5c31f24b4a	methodology
BioPortal	https://bioportal.bioontology.org/ontologies/DOID	resource
BioTAGME	https://biotagme.eu/	resource
BioThings API ecosystem	https://biothings.io	resource
BioWES	http://www.biowes.org/	resource
BioXpress	https://hive.biochemistry.gwu.edu/bioxpress	resource
BLAT2DOLite	https://pubmed.ncbi.nlm.nih.gov/27315278/	resource
BO-LSTM	https://bio.tools/BO-LSTM	resource
BPLLDA	https://pubmed.ncbi.nlm.nih.gov/30459803	methodology
BrainBase	https://ngdc.cncb.ac.cn/brainbase/index	resource
brainMI	https://pubmed.ncbi.nlm.nih.gov/34727570	methodology
BRD: Biosurveillance Resource Dir	https://brd.bsvgateway.org/	resource
Breast Cancer Fuzzy Ont (BCFO)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8500271/#Sec12	ontology
BRWLDA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5601150/	methodology
Cancer Genome Interpreter	https://www.cancergenomeinterpreter.org/mutations	resource
CancerMIRNome	http://bioinfo.jialab-ucr.org/CancerMIRNome/	resource
Cardiovasc Dis Ontology (CVDO)	https://obofoundry.org/ontology/cvdo.html	ontology
CBGDA	http://cbgda.zhounan.org/main	resource
cBioportal	https://www.cbioportal.org/	resource
CCAS	https://ngdc.cncb.ac.cn/ccas/	resource
CDA-SKAG	https://www.doi.org/10.3934/mbe.2023345	methodology
CEDAR	https://cedar.iedb.org/	resource
CEDAR OnDemand	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-018-2247-6	resource
Cell Culture Ontology (CCONT)	https://obofoundry.org/ontology/clo.html	ontology
Cell Line Ontology (CLO)	https://obofoundry.org/ontology/clo.html	ontology
Cell Taxonomy	https://ngdc.cncb.ac.cn/celltaxonomy	resource
CFDE: Common Fund Data Ecosystem	https://data.cfde.cloud/	resource
CHEAR Ontology	https://www.niehs.nih.gov/research/supported/exposure/hhear/index.cfm	ontology
ChemDIS	https://cwtung.kmu.edu.tw/chemdis/	resource
ChemFOnt	https://www.chemfont.ca/	ontology
ChIPseeker	https://bioconductor.org/packages/release/bioc/html/ChIPseeker.html	resource
Circ2Disease	http://bioinformatics.zju.edu.cn/Circ2Disease/disease.html	resource
CircR2Cancer	https://pmc.ncbi.nlm.nih.gov/articles/articles/PMC7661096	resource
circRNADisease	http://cgga.org.cn/circRNADisease/	resource
CIViC	https://civicdb.org/home	resource
CIViCMine	http://bionlp.bcgsc.ca/civicmine/	resource
ClinGen	https://www.clinicalgenome.org/	resource
clusterProfiler	http://bioconductor.org/packages/release/bioc/html/clusterProfiler.html	resource
COEXPEDIA	https://www.coexpedia.org/	resource
Cognitive DDx Asst in Rare Dis	https://ieeexplore.ieee.org/document/8513041	methodology
COGR: Canadian Open Genet Repo	http://opengenetics.ca/	resource
CoMentG	https://csbg.cnb.csic.es/CoMentG/	resource
comoRbidity	https://bitbucket.org/ibi_group/comorbidity	resource
CoNVaQ	https://convaq.compbio.sdu.dk/	resource
Coronavirus Infect Dis Ont (CIDO)	https://github.com/CIDO-ontology/cido	ontology
COSMONET	http://bioinfo.na.iac.cnr.it/cosmonet/	resource
COVID-19Base	https://covidbase-v3.vercel.app/	resource
CryptoGene DB	https://pubmed.ncbi.nlm.nih.gov/27370962/	resource
CSgator: Compound Set Navigator	http://csgator.ewha.ac.kr/	resource
CSGene: Cell Senesc Gene Db	http://csgene.bioinfo-minzhao.org/	resource
CTD: Compar Toxicogenomic Db	http://ctdbase.org/	resource
CTD2: Cancer Target Discov & Dev	https://ocg.cancer.gov/programs/ctd2	resource
CTR-DB	http://ctrdb.ncpsb.org.cn/	resource
CVSARRP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10041818/	methodology
D2H2	https://d2h2.maayanlab.cloud/	resource
DAISY: Data Information System	https://github.com/elixir-luxembourg/daisy	resource
DanioNet	https://www.inetbio.org/danionet/search.php	resource
Darling	http://bib.fleming.gr:8084/app/darling	resource
Data Use Ontology (DUO)	https://obofoundry.org/ontology/duo.html	ontology
dbBact Kb	http://dbbact.org	resource
dbEMT	http://dbemt.bioinfo-minzhao.org/	resource
dbGaP	https://www.ncbi.nlm.nih.gov/gap	resource
DcGO	http://supfam.org/SUPERFAMILY/dcGO/	resource
dcGOR	https://cran.r-project.org/web/packages/dcGOR/index.html	resource
DDCM: Disease-Drug Corr Method	https://pubmed.ncbi.nlm.nih.gov/38791306	methodology
DDKG: Data Distillery KG	https://dd-kg-ui.cfde.cloud/	resource
DeCoaD	https://www.ncbi.nlm.nih.gov/CBBresearch/Yu/mn/DeCoaD/	resource
DeepciRGO	http://denglab.org/DeepciRGO/	resource
DeepGO	https://deepgo.cbrc.kaust.edu.sa/deepgo/	resource
DEEPScreen	https://github.com/cansyl/DEEPScreen	resource
Dermatological Dis Ont (DermO)	http://aber-owl.net/ontology/DERMO/#/	ontology
DES-Amyloidosis	https://www.cbrc.kaust.edu.sa/des-amyloidosis/home/	resource
DES-Mutation	https://www.nature.com/articles/s41598-018-31439-w	resource
DES-ROD: RNA Oxid & Dis	https://www.cbrc.kaust.edu.sa/des-rod/home/	resource
DES-Tcell	https://pmc.ncbi.nlm.nih.gov/articles/PMC8275784/	resource
DEXTER	http://biotm.cis.udel.edu/DEXTER	resource
DGA: Disease and Gene Annot	https://labworm.com/tool/dga	resource
DHOSGR	https://www.doi.org/10.2174/1574893618666221118092849	methodology
Diabetes Mellit Treat Ont (DMTO)	https://bioportal.bioontology.org/ontologies/DMTO	ontology
dictyBase	http://dictybase.org/	resource
Digital Phenotype Explorer	https://phenotype.digital/	resource
DincRNA	https://academic.oup.com/bioinformatics/article/34/11/1953/4820333	resource
Disease Maps	https://disease-maps.io/	resource
DISEASES	https://diseases.jensenlab.org	resource
Diseasomics knowledge system	https://triage.cyberneticcare.com/diseasePrediction	resource
DisGeNET	http://www.disgenet.org/	resource
DiSignAtlas	http://www.inbirg.com/disignatlas/	resource
DISNET	http://disnet.ctb.upm.es/	resource
DISNOR	https://disnor.uniroma2.it/	resource
DisPhaseDB	http://disphasedb.leloir.org.ar/	resource
DisSetSim	https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-017-0140-2	resource
DisSim	https://www.nature.com/articles/srep30024	resource
DLMPM	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8985251	methodology
DoCM: Db of Curated Mutations	http://docm.info/	resource
DODO: Dict of Dis Ontologies	https://github.com/Elysheba/DODO	resource
Dog Disease Trait Ont (DDTO)	https://pmc.ncbi.nlm.nih.gov/articles/PMC11701671/#SEC5	ontology
DOSE: DO Semant Enrich analysis	https://bioconductor.org/packages/release/bioc/html/DOSE.html	resource
DOSim	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-12-266	resource
Drug Interact & Evid Ont (DIDEO)	http://www.ontobee.org/ontology/DIDEO	ontology
