extClass,label
OMIM:300519,"Mental Retardation, X-Linked, Syndromic, Martin-Probst Type"
OMIM:609070,"Hemoglobin, High Oxygen Saturation Of"
OMIM:102900,"Adenosine Triphosphate, Elevated, Of Erythrocytes"
OMIM:300834,"Macular Degeneration, X-Linked Atrophic"
OMIM:606658,Spinocerebellar Ataxia 15
OMIM:107250,Anterior Segment Mesenchymal Dysgenesis
OMIM:255140,Myopathy With Giant Abnormal Mitochondria
OMIM:615031,"Spastic Paraplegia 49, Autosomal Recessive"
OMIM:231680,Multiple Acyl-Coa Dehydrogenase Deficiency
OMIM:304120,"Otopalatodigital Syndrome, Type Ii"
OMIM:605899,Glycine Encephalopathy
OMIM:609597,Parietal Foramina 2
OMIM:168550,Parietal Foramina With Cleidocranial Dysplasia
OMIM:308500,Iris Hypoplasia With Glaucoma
OMIM:187350,Telecanthus
OMIM:615721,Renal Hypodysplasia/Aplasia 2
OMIM:125460,Deoxyribose-5-Phosphate Aldolase Deficiency
OMIM:223900,"Neuropathy, Hereditary Sensory And Autonomic, Type Iii"
OMIM:132300,"Epilepsy, Reading"
OMIM:208000,"Arterial Calcification, Generalized, Of Infancy, 1"
OMIM:178300,"Ptosis, Hereditary Congenital 1"
OMIM:232300,Glycogen Storage Disease Ii
OMIM:278100,Wolman Disease With Hypolipoproteinemia And Acanthocytosis
OMIM:145290,Hyperreflexia
OMIM:602668,Myotonic Dystrophy 2
OMIM:141750,"Alpha-Thalassemia/Mental Retardation Syndrome, Chromosome 16-Related"
OMIM:168400,Parastremmatic Dwarfism
OMIM:311900,Tarp Syndrome
OMIM:600886,Hyperferritinemia With Or Without Cataract
OMIM:271109,Spinal Muscular Atrophy With Mental Retardation
OMIM:613608,"Epilepsy, Familial Adult Myoclonic, 3"
OMIM:614077,Hermansky-Pudlak Syndrome 8
OMIM:273390,Tetraamelia With Ectodermal Dysplasia And Lacrimal Duct Abnormalities
OMIM:614944,"Deafness, Autosomal Recessive 84b"
OMIM:614298,Neurodegeneration With Brain Iron Accumulation 4
OMIM:120100,Familial Cold Autoinflammatory Syndrome 1
OMIM:114900,"Carcinoid Tumors, Intestinal"
OMIM:260650,Pellagra-Like Syndrome
OMIM:251000,Methylmalonic Aciduria Due To Methylmalonyl-Coa Mutase Deficiency
OMIM:175780,Porencephaly 1
OMIM:275595,"Trigonobrachycephaly, Bulbous Bifid Nose, Micrognathia, And Abnormalities Of The Hands And Feet"
OMIM:194300,"Woolly Hair, Autosomal Dominant"
OMIM:106250,Ankyloblepharon Filiforme Adnatum And Cleft Palate
OMIM:114620,Craniofaciofrontodigital Syndrome
OMIM:203500,Alkaptonuria
OMIM:609439,"Deafness, Autosomal Recessive 48"
OMIM:159900,Myoclonic Dystonia
OMIM:614337,"Colorectal Cancer, Hereditary Nonpolyposis, Type 4"
OMIM:183020,"Spinal Muscular Atrophy, Segmental"
OMIM:309545,"Mental Retardation, X-Linked, Syndromic 12"
OMIM:219070,Curved Nail Of Fourth Toe
OMIM:217080,Jalili Syndrome
OMIM:601152,"Neuropathy, Hereditary Motor And Sensory, Type Vi"
OMIM:226350,Eosinophilic Fasciitis
OMIM:260910,"Perifolliculitis Capitis Abscedens Et Suffodiens, Familial"
OMIM:611881,Glycogen Storage Disease Xii
OMIM:225000,Rosselli-Gulienetti Syndrome
OMIM:615030,"Spastic Paraplegia 56, Autosomal Recessive"
OMIM:134000,Facial Hypertrichosis
OMIM:142000,Hemoglobin--Delta Locus
OMIM:190351,"Trichorhinophalangeal Syndrome, Type Iii"
OMIM:145260,"Pseudohypoaldosteronism, Type Iia"
OMIM:262500,Laron Syndrome
OMIM:234050,"Trichothiodystrophy, Nonphotosensitive 1"
OMIM:137200,"Neuromyotonia And Axonal Neuropathy, Autosomal Recessive"
OMIM:602196,Pierre Robin Sequence With Pectus Excavatum And Rib And Scapular Anomalies
OMIM:227150,Ethanolaminosis
OMIM:215550,Circumvallate Placenta Syndrome
OMIM:601360,"Amelia, Autosomal Recessive"
OMIM:614860,Dystonia 23
OMIM:300835,"Anemia, X-Linked, With Or Without Neutropenia And/Or Platelet Abnormalities"
OMIM:613925,Megalencephalic Leukoencephalopathy With Subcortical Cysts 2a
OMIM:314600,Wildervanck Syndrome
OMIM:137370,"Genu Valgum, St. Helena Familial"
OMIM:231095,Ghosal Hematodiaphyseal Dysplasia
OMIM:130950,"Encephalopathy, Recurrent, Of Childhood"
OMIM:613105,"Choroidal Dystrophy, Central Areolar 2"
OMIM:608415,Prolonged Electroretinal Response Suppression
OMIM:192950,"Vertical Talus, Congenital"
OMIM:274200,"Thumb, Distal Hyperextensibility Of"
OMIM:266200,Pyruvate Kinase Deficiency Of Red Cells
OMIM:612736,Cerebral Creatine Deficiency Syndrome 2
OMIM:615722,Bosch-Boonstra Optic Atrophy Syndrome
OMIM:300614,"Deafness, X-Linked 5"
OMIM:615338,"Epileptic Encephalopathy, Early Infantile, 16"
OMIM:600193,"Waardenburg Syndrome, Type 2b"
OMIM:249710,Mesomelic Limb Shortening And Bowing
OMIM:602398,Desmosterolosis
OMIM:116800,"Cataract 5, Multiple Types"
OMIM:192800,"Vertebral Fusion, Posterior Lumbosacral, With Blepharoptosis"
OMIM:604393,Leber Congenital Amaurosis 4
OMIM:139393,"Guillain-Barre Syndrome, Familial"
OMIM:615058,"Night Blindness, Congenital Stationary, Type 1f"
OMIM:614945,"Deafness, Autosomal Recessive 18b"
OMIM:614299,Multiple Mitochondrial Dysfunctions Syndrome 2
OMIM:614420,Systemic Lupus Erythematosus 16
OMIM:262710,Pituitary Dwarfism With Large Sella Turcica
OMIM:613672,"Spastic Ataxia 4, Autosomal Recessive"
OMIM:137700,Glaucoma With Elevated Episcleral Venous Pressure
OMIM:304950,"Dyggve-Melchior-Clausen Syndrome, X-Linked"
OMIM:611890,Lethal Arthrogryposis With Anterior Horn Cell Disease
OMIM:614149,"Nail Disorder, Nonsyndromic Congenital, 9"
OMIM:250850,Methionine Adenosyltransferase Deficiency
OMIM:615527,"Candidiasis, Familial, 8"
OMIM:265150,Pulmonary Atresia With Intact Ventricular Septum
OMIM:191540,"Urate Oxidase, Pseudogene"
OMIM:166750,Otodental Dysplasia
OMIM:608154,"Lipodystrophy, Generalized, With Mental Retardation, Deafness, Short Stature, And Slender Bones"
OMIM:215520,Ciliary Dyskinesia With Transposition Of Ciliary Microtubules
OMIM:614338,Pancreatic Lipase Deficiency
OMIM:173000,Pilonidal Sinus
OMIM:608203,Neutrophil Immunodeficiency Syndrome
OMIM:180000,"Retinal Arteries, Tortuosity Of"
OMIM:128600,Ear Malformation
OMIM:192605,"Ventricular Tachycardia, Familial"
OMIM:167755,"Pancreas, Dorsal, Agenesis Of"
OMIM:191800,"Urinary Bladder, Atony Of"
OMIM:612674,"Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract"
OMIM:187360,Temporal Arteritis
OMIM:615181,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 11"
OMIM:108700,Ataxia With Fasciculations
OMIM:150260,Laryngeal Abductor Paralysis
OMIM:612932,Glycogen Storage Disease Xiii
OMIM:614861,"Deafness, Autosomal Recessive 98"
OMIM:214110,Peroxisome Biogenesis Disorder 2a (Zellweger)
OMIM:602197,Cerebellar Degeneration-Related Autoantigen 3
OMIM:615033,"Spastic Paraplegia 54, Autosomal Recessive"
