id,label,xrefs
DOID:0050120,hemophagocytic lymphohistiocytosis,OMIM:PS267700
DOID:0050156,idiopathic pulmonary fibrosis,OMIM:178500
DOID:0050158,desquamative interstitial pneumonia,OMIM:263000
DOID:0050167,autoimmune polyendocrine syndrome type 1,OMIM:240300
DOID:0050168,autoimmune polyendocrine syndrome type 2,OMIM:269200
DOID:0050328,congenital hypothyroidism,OMIM:PS275200
DOID:0050331,LADD syndrome,OMIM:149730
DOID:0050335,bradyopsia,OMIM:608415
DOID:0050387,nonpapillary renal cell carcinoma,OMIM:144700
DOID:0050419,complement factor I deficiency,OMIM:610984
DOID:0050424,familial adenomatous polyposis,OMIM:PS175100
DOID:0050425,restless legs syndrome,OMIM:PS102300
DOID:0050428,nonepidermolytic palmoplantar keratoderma,"OMIM:613000, OMIM:600962, OMIM:615735"
DOID:0050429,Hailey-Hailey disease,OMIM:169600
DOID:0050430,multiple endocrine neoplasia type 2A,OMIM:171400
DOID:0050431,arrhythmogenic right ventricular cardiomyopathy,OMIM:PS107970
DOID:0050432,Asperger syndrome,"OMIM:609954, OMIM:608781, OMIM:608638, OMIM:608631"
DOID:0050433,fatal familial insomnia,OMIM:600072
DOID:0050434,Andersen-Tawil syndrome,OMIM:170390
DOID:0050436,mulibrey nanism,OMIM:253250
DOID:0050437,Danon disease,OMIM:300257
DOID:0050438,Frasier syndrome,OMIM:136680
DOID:0050439,Usher syndrome,OMIM:PS276900
DOID:0050440,familial partial lipodystrophy,OMIM:PS151660
DOID:0050441,mucosulfatidosis,OMIM:272200
DOID:0050444,infantile Refsum disease,OMIM:266510
DOID:0050445,X-linked dominant hypophosphatemic rickets,OMIM:307800
DOID:0050448,hereditary mucosal leukokeratosis,"OMIM:615785, OMIM:193900"
DOID:0050449,pachyonychia congenita,OMIM:PS167200
DOID:0050450,Gitelman syndrome,OMIM:263800
DOID:0050451,Brugada syndrome,OMIM:PS601144
DOID:0050452,mevalonic aciduria,OMIM:610377
DOID:0050453,lissencephaly,OMIM:PS607432
DOID:0050454,periventricular nodular heterotopia,"OMIM:615544, OMIM:612881, OMIM:608098, OMIM:608097, OMIM:300049"
DOID:0050458,juvenile myelomonocytic leukemia,OMIM:607785
DOID:0050460,Wolf-Hirschhorn syndrome,OMIM:194190
DOID:0050461,aspartylglucosaminuria,OMIM:208400
