cls,def,xrefs
UBERON:3000111,,
UBERON:0005196,,
HP:0002900,,
UBERON:2001696,,
DOID:327,,SNOMEDCT_2010_1_31:267695005 SNOMEDCT_2010_1_31:111496009 UMLS_CUI:C0039144 SNOMEDCT_2010_1_31:155020007 NCI:C85179 MSH:D013595
UBERON:0007125,,
DOID:9667,A placenta disease that is characterized by separation of the placental lining from the uterus of the mother.,MSH:D000033 SNOMEDCT_2010_1_31:198882006 SNOMEDCT_2010_1_31:54048003 UMLS_CUI:C0000821 SNOMEDCT_2010_1_31:198885008 ICD9CM:640.0 SNOMEDCT_2010_1_31:156098004
DOID:10651,,UMLS_CUI:C0155627 SNOMEDCT_2010_1_31:70211005 ICD9CM:410.0
UBERON:0013773,,
DOID:2586,,UMLS_CUI:C0866112 NCI:C35536
UBERON:0006353,,
HP:0000930,,
HP:0003168,,
UBERON:0014720,,
HP:0006859,,
HP:0006645,,
DOID:6017,,UMLS_CUI:C1332886 NCI:C7013
DOID:3357,,NCI:C8810 UMLS_CUI:C0855052 SNOMEDCT_2010_1_31:404077005
UBERON:0009579,,
DOID:11902,An amebiasis that involves infection of the brain caused by the parasite Entamoeba histolytica resulting in brain abscesses.,ICD9CM:006.5 SNOMEDCT_2010_1_31:27908001 UMLS_CUI:C0152503
DOID:13468,,ICD9CM:091.0 UMLS_CUI:C0017418 SNOMEDCT_2010_1_31:186847001 SNOMEDCT_2010_1_31:58433006
CL:1000147,,
HP:0011514,,
UBERON:0005195,,
UBERON:0007126,,
HP:0011513,,
UBERON:2001697,,
UBERON:3000110,,
UBERON:0013772,,
UBERON:2000504,,
DOID:2585,,UMLS_CUI:C0866110 NCI:C35534
DOID:9461,,SNOMEDCT_2010_1_31:14366000 UMLS_CUI:C0339295 ICD9CM:370.34
HP:0000931,,
HP:0006646,,
DOID:4029,A stomach disease that is an inflammation of the lining of the stomach.,UMLS_CUI:C0017152 SNOMEDCT_2010_1_31:196743006 NCI:C26780 SNOMEDCT_2010_1_31:266503008 SNOMEDCT_2010_1_31:155711008 SNOMEDCT_2010_1_31:235653009 MSH:D005756 SNOMEDCT_2010_1_31:4556007
DOID:9722,,UMLS_CUI:C0154775 SNOMEDCT_2010_1_31:12371008 ICD9CM:360.14
HP:0002901,,
DOID:6016,,UMLS_CUI:C1332194 NCI:C27400
UBERON:0013771,,
NCBITaxon:121739,,
DOID:2584,,UMLS_CUI:C0866111 NCI:C35535
UBERON:2001698,,
HP:0011512,,
UBERON:0005194,,
UBERON:0007127,,
UBERON:2005044,,
UBERON:2000507,,
UBERON:0006351,,
DOID:9723,,UMLS_CUI:C0042904 SNOMEDCT_2010_1_31:48142003 ICD9CM:360.04
UBERON:0009577,,
HP:0006647,,
DOID:12221,,ICD9CM:727.9 SNOMEDCT_2010_1_31:203006006 UMLS_CUI:C0158351
UBERON:0002850,,
DOID:3359,,UMLS_CUI:C1334583 NCI:C6572
DOID:9828,A withdrawal disorder that is characterized by a group of problems that occur in a newborn who was exposed to addictive illegal or prescription drugs while in the mother's womb or postnatally following the discontinuance of drug treatment.,ICD9CM:779.5 SNOMEDCT_2010_1_31:414819007 UMLS_CUI:C1332133 UMLS_CUI:C0027609 MSH:D009357 NCI:C87101 SNOMEDCT_2010_1_31:61628006
DOID:6015,,UMLS_CUI:C1370506 NCI:C5794
UBERON:2001699,,
HP:0002902,,
DOID:5526,A middle ear carcinoma that has_material_basis_in squamous cells.,UMLS_CUI:C1334762 NCI:C6086
HP:0011511,,
DOID:540,,ICD9CM:378.7 UMLS_CUI:C0029831 SNOMEDCT_2010_1_31:194651002 SNOMEDCT_2010_1_31:194125000 SNOMEDCT_2010_1_31:194128003
UBERON:0007128,,
UBERON:0013770,,
DOID:9678,,UMLS_CUI:C0157033 ICD9CM:654.5
UBERON:0009578,,
UBERON:0002851,,
DOID:6014,,NCI:C6446 UMLS_CUI:C1334597 UMLS_CUI:C1334655
UBERON:0005193,,
DOID:9724,,SNOMEDCT_2010_1_31:193267009 UMLS_CUI:C0259800 ICD9CM:360.00 ICD9CM:360.0 SNOMEDCT_2010_1_31:41720003 SNOMEDCT_2010_1_31:193271007
DOID:3951,,NCI:C35206 UMLS_CUI:C0155686 ICD9CM:422.90 SNOMEDCT_2010_1_31:155336004 ICD9CM:422 SNOMEDCT_2010_1_31:194961006 SNOMEDCT_2010_1_31:195569005 SNOMEDCT_2010_1_31:194953001 SNOMEDCT_2010_1_31:46701001
DOID:1467,A labyrinthitits in which bacterial toxins invade the inner ear. It is the most common complication of acute or chronic middle ear infections.,UMLS_CUI:C0155504 SNOMEDCT_2010_1_31:41674001 ICD9CM:386.31
DOID:997,,SNOMEDCT_2010_1_31:267347009 SNOMEDCT_2010_1_31:27215002 MSH:D019687 SNOMEDCT_2010_1_31:156232008 ICD9CM:665.2 SNOMEDCT_2010_1_31:156233003 UMLS_CUI:C0162482
UBERON:0014725,,
DOID:11717,,UMLS_CUI:C0158981 SNOMEDCT_2010_1_31:49817004 ICD9CM:775.1
DOID:6990,,UMLS_CUI:C1514133 NCI:C40183
HP:0011510,,
HP:0000138,,
UBERON:0007121,,
UBERON:3011120,,
UBERON:2001692,,
UBERON:0007728,,
UBERON:0007729,,
UBERON:0005192,,
HP:0002904,,
CL:1000143,,
HP:0006641,,
DOID:9673,,UMLS_CUI:C0038367 SNOMEDCT_2010_1_31:450005 NCI:C35039 MSH:D005892
HP:0000934,,
DOID:10520,"A otitis externa which involves bacterial infections often related to underlying comorbidities as well as trauma. Common sources of trauma include ear piercing, boxing, blunt trauma, burns, bite wounds and iatrogenic insults. The common bacterial pathogens are staphylococcal and streptococcal species.",UMLS_CUI:C0155392 ICD9CM:380.11 SNOMEDCT_2010_1_31:56663002
DOID:11503,,MSH:D003929 NCI:C27068 SNOMEDCT_2010_1_31:50620007 UMLS_CUI:C0271686
UBERON:0002852,,
HP:0006855,,
UBERON:0014726,,
DOID:3952,,UMLS_CUI:C0001614 SNOMEDCT_2010_1_31:129636003 MSH:D000303
DOID:998,,ICD9CM:710.5 SNOMEDCT_2010_1_31:95416007 MSH:D016603 UMLS_CUI:C0085179
UBERON:2000500,,
DOID:11716,,MSH:D011236 SNOMEDCT_2010_1_31:9414007 SNOMEDCT_2010_1_31:15777000 UMLS_CUI:C0362046
DOID:2589,,UMLS_CUI:C0156228 NCI:C35215 ICD9CM:581.1
HP:0000139,,
UBERON:0008622,,
UBERON:0007727,,
UBERON:0007122,,
UBERON:2001693,,
HP:0002905,,
_:b0,,
UBERON:3000115,,
HP:0006642,,
DOID:9672,,MSH:D009625 SNOMEDCT_2010_1_31:399050001 NCI:C34852 UMLS_CUI:C0028271 SNOMEDCT_2010_1_31:196528007 ICD9CM:528.1 SNOMEDCT_2010_1_31:266427007 SNOMEDCT_2010_1_31:18116006
HP:0000935,,
DOID:11502,,UMLS_CUI:C0026266 NCI:C50852 SNOMEDCT_2010_1_31:29928006 SNOMEDCT_2010_1_31:233857005 UMLS_CUI:C0158619 SNOMEDCT_2010_1_31:48724000 SNOMEDCT_2010_1_31:194977007 ICD9CM:746.6 SNOMEDCT_2010_1_31:59464004 SNOMEDCT_2010_1_31:194736003 NCI:C50888 UMLS_CUI:C0264774 MSH:D008944
UBERON:0002853,,
UBERON:3010786,,
UBERON:2000503,,
NCBITaxon:138,,
UBERON:0006799,,
DOID:11719,,OMIM:164300 SNOMEDCT_2010_1_31:77097004 NCI:C84942 UMLS_CUI:C0270952 MSH:D039141
DOID:999,,MSH:D004802 UMLS_CUI:C0014457 SNOMEDCT_2010_1_31:191363000 SNOMEDCT_2010_1_31:418928000 SNOMEDCT_2010_1_31:165524009 ICD9CM:288.3 SNOMEDCT_2010_1_31:27955006
DOID:2588,,UMLS_CUI:C0866113 NCI:C35537
UBERON:2001694,,
DOID:1195,,UMLS_CUI:C0238309 SNOMEDCT_2010_1_31:230599000 NCI:C27025 SNOMEDCT_2010_1_31:129611009
UBERON:0007123,,
UBERON:2005048,,
HP:0000136,,
DOID:799,"A vein disease that is characterized by swollen, twisted veins visible just under the surface of the skin.",SNOMEDCT_2010_1_31:399989005 OMIM:192200 SNOMEDCT_2010_1_31:234053000 UMLS_CUI:C0042345 SNOMEDCT_2010_1_31:128060009 SNOMEDCT_2010_1_31:12856003 SNOMEDCT_2010_1_31:266331000 NCI:C35114 SNOMEDCT_2010_1_31:155468006 MSH:D014648 SNOMEDCT_2010_1_31:276504003 SNOMEDCT_2010_1_31:155482006
UBERON:3000113,,
HP:0006643,,
UBERON:0002854,,
DOID:6019,,UMLS_CUI:C1332883 NCI:C7014
DOID:9675,,ICD9CM:492.8 SNOMEDCT_2010_1_31:195965009 SNOMEDCT_2010_1_31:196230005 SNOMEDCT_2010_1_31:195962007 SNOMEDCT_2010_1_31:266357002 MSH:D011656 UMLS_CUI:C0029607
HP:0000932,,
NCBITaxon:139,,
HP:0003850,,
UBERON:2000502,,
UBERON:3010787,,
DOID:2587,,UMLS_CUI:C0866115 NCI:C35539
DOID:10938,"A personality disorder that is characterized by paranoia and a pervasive, long-standing suspiciousness and generalized mistrust of others.",UMLS_CUI:C0030477 SNOMEDCT_2010_1_31:270529002 ICD9CM:301.0 MSH:D010260 SNOMEDCT_2010_1_31:13601005 SNOMEDCT_2010_1_31:154896003 SNOMEDCT_2010_1_31:192485008 SNOMEDCT_2010_1_31:191750009
UBERON:0002856,,
UBERON:2001695,,
UBERON:3000112,,
UBERON:0007124,,
UBERON:3011121,,
UBERON:2005049,,
HP:0000137,,
HP:0002907,,
UBERON:0002855,,
DOID:9720,,UMLS_CUI:C0029872 SNOMEDCT_2010_1_31:194636006 SNOMEDCT_2010_1_31:194154006 ICD9CM:379.24
