OMIM:100050 ! Aarskog Syndrome, Autosomal Dominant		Orphanet:915 ! Aarskog-Scott syndrome		DOID:6683 ! Aarskog-Scott syndrome	
OMIM:100070 ! AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1	DC:0000635 ! Aortic Aneurysm, Familial Abdominal	Orphanet:86 ! Familial abdominal aortic aneurysm	OMIM:PS100070 ! Aortic aneurysm, familial abdominal	DOID:0050306 ! familial abdominal aortic aneurysm,DOID:7693 ! abdominal aortic aneurysm	
OMIM:100100 ! Abdominal Muscles, Absence of, with Urinary Tract Abnormality and Cryptorchidism		Orphanet:2970 ! Prune belly syndrome			
OMIM:100200 ! Abducens Palsy					
OMIM:100300 ! Adams Oliver syndrome; AOS1	DC:0000466 ! Adams Oliver Syndrome	Orphanet:974 ! Adams-Oliver syndrome	OMIM:PS100300 ! Adams-Oliver syndrome	DOID:0060227 ! Adams-Oliver syndrome	
OMIM:100600 ! Acanthosis Nigricans		Orphanet:924 ! Acanthosis nigricans		DOID:3138 ! acanthosis nigricans	
OMIM:100640					
OMIM:100650 ! Aldehyde Dehydrogenase 2 Family; ALDH2					
OMIM:100675 ! Acetaminophen Metabolism					
OMIM:100700 ! Achard Syndrome				DOID:6686 ! Achard syndrome	
OMIM:100800 ! Achondroplasia; ACH		Orphanet:15 ! Achondroplasia		DOID:4480 ! achondroplasia	
OMIM:100820 ! ACHOO Syndrome					
OMIM:101000 ! Neurofibromatosis 2	DC:0000321 ! Neurofibromatosis	Orphanet:637 ! Neurofibromatosis type 2		DOID:8712 ! neurofibromatosis	
OMIM:101120 ! Acrocephalopolysyndactyly Type III	DC:0000331 ! Acrocephalopolysyndactyly	Orphanet:3128 ! Sakati-Nyhan syndrome			
OMIM:101200 ! APERT SYNDROME		Orphanet:87 ! Apert syndrome		DOID:12960 ! acrocephalosyndactylia	
OMIM:101400 ! SAETHRE-CHOTZEN SYNDROME		Orphanet:794 ! Saethre-Chotzen syndrome		DOID:14768 ! Saethre-Chotzen syndrome	
OMIM:101600 ! Pfeiffer type acrocephalosyndactyly		Orphanet:710 ! Pfeiffer syndrome		DOID:14705 ! Pfeiffer syndrome	
OMIM:101800 ! Acrodysostosis 1, with or without Hormone Resistance; ACRDYS1	DC:0000352 ! Acrodysostosis	Orphanet:280651 ! Acrodysostosis with multiple hormone resistance,Orphanet:950 ! Acrodysostosis	OMIM:PS101800 ! Acrodysostosis	DOID:14669 ! acrodysostosis	
OMIM:101840 ! Acrokeratoderma, Hereditary Papulotranslucent					
OMIM:101850 ! Keratoderma, Palmoplantar, Punctate Type III; PPKP3	DC:0000653 ! Keratoderma, Palmoplantar Punctate	Orphanet:38 ! Acrokeratoelastoidosis of Costa			
OMIM:101900 ! ACROKERATOSIS VERRUCIFORMIS		Orphanet:79151 ! Acrokeratosis verruciformis of Hopf		DOID:0050606 ! acrokeratosis verruciformis	
OMIM:102000 ! Acroleukopathy, Symmetric					
OMIM:102100 ! Acromegaloid Changes, Cutis Verticis Gyrata, and Corneal Leukoma					
OMIM:102150 ! Acromegaloid Facial Appearance Syndrome		Orphanet:965 ! Acromegaloid facial appearance syndrome			
OMIM:102200 ! Pituitary Adenoma, Growth Hormone-Secreting 1		Orphanet:314777 ! Familial isolated pituitary adenoma,Orphanet:96256 ! Somatotroph adenoma,Orphanet:963 ! Acromegaly,Orphanet:99725 ! Pituitary gigantism		DOID:6255 ! growth hormone secreting pituitary adenoma	
OMIM:102300 ! RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1	DC:0000385 ! Restless Legs Syndrome		OMIM:PS102300 ! Restless legs syndrome	DOID:0050425 ! restless legs syndrome	
OMIM:102350 ! Acromial Dimples					
OMIM:102370 ! Acromicric Dysplasia; ACMICD		Orphanet:969 ! Acromicric dysplasia			
OMIM:102400 ! Acroosteolysis		Orphanet:955 ! Acroosteolysis dominant type		DOID:0050525 ! acroosteolysis	
OMIM:102500 ! Hajdu-Cheney Syndrome; HJCYS		Orphanet:955 ! Acroosteolysis dominant type		DOID:2736 ! Hajdu-Cheney syndrome	
OMIM:102510 ! ACROPECTOROVERTEBRAL DYSPLASIA		Orphanet:957 ! Acropectorovertebral dysplasia			
OMIM:102520 ! ACRORENAL SYNDROME	DC:0000465 ! Acrorenal Syndrome	Orphanet:971 ! Acrorenal syndrome			
OMIM:102530 ! SPERMATOGENIC FAILURE 6	DC:0000404 ! Spermatogenic Failure	Orphanet:171709 ! Male infertility due to globozoospermia	OMIM:PS258150 ! Spermatogenic failure	DOID:14227 ! azoospermia	
OMIM:102650 ! Adactylia, Unilateral		Orphanet:294990 ! Congenital absence/hypoplasia of fingers excluding thumb,Orphanet:973 ! Congenital absence/hypoplasia of fingers excluding thumb, unilateral			
OMIM:102660 ! Adamantinoma of Long Bones		Orphanet:55881 ! Adamantinoma		DOID:2775 ! long bone adamantinoma	
OMIM:102700 ! Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Negative, Due to Adenosine Deaminase Deficiency	DC:0000405 ! Severe Combined Immunodeficiency	Orphanet:277 ! Severe combined immunodeficiency due to adenosine deaminase deficiency		DOID:5810 ! adenosine deaminase deficiency	
OMIM:102730 ! Adenosine Deaminase, Elevated, Hemolytic Anemia Due to					
OMIM:102770		Orphanet:121344 ! adenosine monophosphate deaminase 1			
OMIM:102800 ! Adenosine Triphosphatase Deficiency, Anemia Due to		Orphanet:1044 ! Anemia due to adenosine triphosphatase deficiency			
OMIM:102900 ! Adenosine Triphosphate, Elevated, Of Erythrocytes					
OMIM:103050 ! ADENYLOSUCCINASE DEFICIENCY		Orphanet:46 ! Adenylosuccinate lyase deficiency			
OMIM:103100 ! Adie Pupil				DOID:11549 ! Adie syndrome	
OMIM:103200 ! Adiposis Dolorosa		Orphanet:36397 ! Adiposis dolorosa		DOID:3928 ! adiposis dolorosa	
OMIM:103230 ! Adrenocortical Hypofunction, Chronic Primary Congenital		Orphanet:85138 ! Addison disease		DOID:13774 ! Addison's disease	
OMIM:103285 ! ADULT SYNDROME		Orphanet:978 ! ADULT syndrome		DOID:0050601 ! ADULT syndrome	
OMIM:103300 ! Hypoglossia-Hypodactylia		Orphanet:989 ! Hypoglossia - hypodactyly			
OMIM:103400 ! Ainhum				DOID:11329 ! ainhum	
OMIM:103420 ! Alacrima, Congenital		Orphanet:91416 ! Isolated congenital alacrima			
OMIM:103470 ! ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS		Orphanet:352740 ! Ocular albinism with congenital sensorineural deafness	OMIM:PS193500 ! Waardenburg syndrome		
OMIM:103500 ! Tietz syndrome		Orphanet:42665 ! Tietz syndrome			
