cls,xref
DOID:6759,UMLS_CUI:C1332582
DOID:6759,NCI:C6620
DOID:2424,MSH:D018330
DOID:2424,UMLS_CUI:C0206737
DOID:2424,SNOMEDCT_2010_1_31:112681002
DOID:2424,SNOMEDCT_2010_1_31:302838006
DOID:2424,NCI:C3804
DOID:77,MSH:D004066
DOID:77,SNOMEDCT_2010_1_31:53619000
DOID:77,SNOMEDCT_2010_1_31:197575000
DOID:77,ICD9CM:520-579.99
DOID:77,SNOMEDCT_2010_1_31:155629009
DOID:77,SNOMEDCT_2010_1_31:266483008
DOID:77,NCI:C2990
DOID:77,SNOMEDCT_2010_1_31:155847001
DOID:77,UMLS_CUI:C0012242
DOID:289,MSH:D004715
DOID:289,SNOMEDCT_2010_1_31:198259004
DOID:289,NCI:C3014
DOID:289,ICD9CM:617
DOID:289,ICD9CM:617.9
DOID:289,EFO:0001065
DOID:289,SNOMEDCT_2010_1_31:266588002
DOID:289,SNOMEDCT_2010_1_31:155988000
DOID:289,SNOMEDCT_2010_1_31:396224008
DOID:289,SNOMEDCT_2010_1_31:11871002
DOID:289,UMLS_CUI:C0014175
DOID:289,SNOMEDCT_2010_1_31:129103003
DOID:289,SNOMEDCT_2010_1_31:103677003
DOID:289,SNOMEDCT_2010_1_31:198246007
DOID:289,ICD10CM:N80
DOID:2512,SNOMEDCT_2010_1_31:188145001
DOID:2512,MSH:C538649
DOID:2512,UMLS_CUI:C0004779
DOID:2512,MSH:D001478
DOID:2512,SNOMEDCT_2010_1_31:69408002
DOID:2512,SNOMEDCT_2010_1_31:254704004
DOID:2512,NCI:C2892
DOID:2512,OMIM:109400
DOID:8628,SNOMEDCT_2010_1_31:188584004
DOID:8628,NCI:C9283
DOID:8628,SNOMEDCT_2010_1_31:118610003
DOID:8628,UMLS_CUI:C0152267
DOID:8628,SNOMEDCT_2010_1_31:188594009
DOID:8628,ICD9CM:201.7
DOID:8628,MSH:D006689
DOID:8628,SNOMEDCT_2010_1_31:112687003
DOID:8628,SNOMEDCT_2010_1_31:134177009
DOID:5872,UMLS_CUI:C0392180
DOID:5872,SNOMEDCT_2010_1_31:95608006
DOID:5872,NCI:C27136
DOID:1982,UMLS_CUI:C0206751
DOID:1982,SNOMEDCT_2010_1_31:29839008
DOID:1982,MSH:D018353
DOID:7230,UMLS_CUI:C1333037
DOID:7230,NCI:C37201
DOID:11177,UMLS_CUI:C0152197
DOID:11177,SNOMEDCT_2010_1_31:86266009
DOID:11177,SNOMEDCT_2010_1_31:193630009
DOID:11177,ICD9CM:367.52
DOID:12604,UMLS_CUI:C0153691
DOID:12604,SNOMEDCT_2010_1_31:94161006
DOID:12604,ICD9CM:198.7
DOID:1098,SNOMEDCT_2010_1_31:206430005
DOID:1098,SNOMEDCT_2010_1_31:206431009
DOID:1098,SNOMEDCT_2010_1_31:157130001
DOID:1098,ICD9CM:773.2
DOID:1098,SNOMEDCT_2010_1_31:268878003
DOID:1098,ICD9CM:773
DOID:1098,NCI:C87115
DOID:1098,UMLS_CUI:C0014761
DOID:1098,SNOMEDCT_2010_1_31:123307003
DOID:1098,SNOMEDCT_2010_1_31:206429000
DOID:1098,MSH:D004899
DOID:1098,SNOMEDCT_2010_1_31:276577009
DOID:1098,SNOMEDCT_2010_1_31:33130007
DOID:1098,SNOMEDCT_2010_1_31:111468003
DOID:1098,SNOMEDCT_2010_1_31:387705004
DOID:1098,SNOMEDCT_2010_1_31:206436004
DOID:12328,MSH:D011502
DOID:12328,SNOMEDCT_2010_1_31:29740003
DOID:12328,SNOMEDCT_2010_1_31:267495004
DOID:12328,ICD9CM:261
DOID:12328,SNOMEDCT_2010_1_31:190599003
DOID:12328,SNOMEDCT_2010_1_31:154730001
DOID:12328,UMLS_CUI:C0086588
DOID:6870,UMLS_CUI:C0346091
DOID:6870,SNOMEDCT_2010_1_31:254804007
DOID:6870,NCI:C4495
DOID:12257,UMLS_CUI:C0154206
DOID:12257,SNOMEDCT_2010_1_31:111565003
DOID:12257,ICD9CM:255.6
DOID:2980,UMLS_CUI:C1332432
DOID:2980,NCI:C5110
DOID:4440,NCI:C9309
DOID:4440,SNOMEDCT_2010_1_31:36741007
DOID:4440,MSH:D018239
DOID:4440,OMIM:273300
DOID:4440,SNOMEDCT_2010_1_31:443675005
DOID:4440,UMLS_CUI:C0036631
DOID:4440,SNOMEDCT_2010_1_31:189840000
DOID:4440,SNOMEDCT_2010_1_31:189841001
DOID:5766,UMLS_CUI:C1334455
DOID:5766,MSH:D047868
DOID:5766,NCI:C5656
DOID:1876,SNOMEDCT_2010_1_31:39894007
DOID:1876,SNOMEDCT_2010_1_31:231532002
DOID:1876,SNOMEDCT_2010_1_31:65655009
DOID:1876,SNOMEDCT_2010_1_31:56925008
DOID:1876,UMLS_CUI:C0549622
DOID:1876,NCI:C3347
DOID:5695,UMLS_CUI:C0279984
DOID:5695,NCI:C8091
DOID:4768,UMLS_CUI:C1333420
DOID:4768,NCI:C36053
DOID:13520,UMLS_CUI:C0158948
DOID:13520,SNOMEDCT_2010_1_31:3468005
DOID:13520,ICD9CM:771.5
DOID:4418,SNOMEDCT_2010_1_31:403997008
DOID:4418,MSH:D018219
DOID:4418,SNOMEDCT_2010_1_31:134302009
DOID:4418,UMLS_CUI:C0346049
DOID:4418,SNOMEDCT_2010_1_31:302843004
DOID:4418,UMLS_CUI:C0002991
DOID:4418,SNOMEDCT_2010_1_31:403999006
DOID:4418,NCI:C6801
DOID:4418,SNOMEDCT_2010_1_31:254753004
DOID:4418,SNOMEDCT_2010_1_31:72079004
DOID:4418,SNOMEDCT_2010_1_31:427186000
DOID:4418,SNOMEDCT_2010_1_31:254750001
DOID:4418,SNOMEDCT_2010_1_31:254749001
DOID:4418,SNOMEDCT_2010_1_31:189051001
DOID:7812,UMLS_CUI:C0374937
DOID:7812,ICD9CM:008.67
DOID:4914,SNOMEDCT_2010_1_31:276803003
DOID:4914,UMLS_CUI:C0279628
DOID:4914,NCI:C4025
DOID:0050419,OMIM:610984
DOID:8640,UMLS_CUI:C0153703
