HP:0000023	# Inguinal hernia
HP:0000037	# Male pseudohermaphroditism
HP:0000083	# Renal insufficiency
HP:0000090	# Nephronophthisis
HP:0000219	# Thin upper lip vermilion
HP:0000252	# Microcephaly
HP:0000265	# Mastoiditis
HP:0000272	# Malar flattening
HP:0000275	# Narrow face
HP:0000278	# Retrognathia
HP:0000347	# Micrognathia
HP:0000365	# Hearing impairment
HP:0000405	# Conductive hearing impairment
HP:0000407	# Sensorineural hearing impairment
HP:0000518	# Cataract
HP:0000526	# Aniridia
HP:0000554	# Uveitis
HP:0000556	# Retinal dystrophy
HP:0000572	# Visual loss
HP:0000608	# Macular degeneration
HP:0000622	# Blurred vision
HP:0000648	# Optic atrophy
HP:0000668	# Hypodontia
HP:0000707	# Abnormality of the nervous system
HP:0000726	# Dementia
HP:0000741	# Apathy
HP:0000750	# Delayed speech and language development
HP:0000768	# Pectus carinatum
HP:0000774	# Narrow chest
HP:0000777	# Abnormality of the thymus
HP:0000819	# Diabetes mellitus
HP:0000843	# Hyperparathyroidism
HP:0000853	# Goiter
HP:0000924	# Abnormality of the skeletal system
HP:0000926	# Platyspondyly
HP:0000962	# Hyperkeratosis
HP:0000972	# Palmoplantar hyperkeratosis
HP:0000975	# Hyperhidrosis
HP:0000978	# Bruising susceptibility
HP:0000992	# Cutaneous photosensitivity
HP:0000999	# Pyoderma
HP:0001000	# Abnormality of skin pigmentation
HP:0001022	# Albinism
HP:0001051	# Seborrheic dermatitis
HP:0001159	# Syndactyly
HP:0001249	# Intellectual disability
HP:0001250	# Seizure
HP:0001252	# Muscular hypotonia
HP:0001262	# Excessive daytime somnolence
HP:0001274	# Agenesis of corpus callosum
HP:0001276	# Hypertonia
HP:0001336	# Myoclonus
HP:0001363	# Craniosynostosis
HP:0001373	# Joint dislocation
HP:0001394	# Cirrhosis
HP:0001396	# Cholestasis
HP:0001480	# Freckling
HP:0001482	# Subcutaneous nodule
HP:0001510	# Growth delay
HP:0001513	# Obesity
HP:0001548	# Overgrowth
HP:0001596	# Alopecia
HP:0001650	# Aortic valve stenosis
HP:0001664	# Torsade de pointes
HP:0001718	# Mitral stenosis
HP:0001762	# Talipes equinovarus
HP:0001789	# Hydrops fetalis
HP:0001880	# Eosinophilia
HP:0001894	# Thrombocytosis
HP:0001942	# Metabolic acidosis
HP:0001943	# Hypoglycemia
HP:0001962	# Palpitations
HP:0001967	# Diffuse mesangial sclerosis
HP:0001977	# Abnormal thrombosis
HP:0001997	# Gout
HP:0002063	# Rigidity
