NCBITaxon:10090		# Mus musculus
NCBITaxon:10116		# Rattus norvegicus
NCBITaxon:10239		# Viruses
NCBITaxon:10243		# Cowpox virus
NCBITaxon:10244 	# Monkeypox virus
NCBITaxon:10245  	# Vaccinia virus
NCBITaxon:10255  	# Variola virus
NCBITaxon:10258  	# Orf virus
NCBITaxon:10279  	# Molluscum contagiosum virus
NCBITaxon:10298  	# Human herpesvirus 1
NCBITaxon:10310  	# Human herpesvirus 2
NCBITaxon:10335  	# Human herpesvirus 3
NCBITaxon:10368  	# Human herpesvirus 6
NCBITaxon:10372  	# Human herpesvirus 7
NCBITaxon:10376 	# Human herpesvirus 4
NCBITaxon:10407  	# Hepatitis B virus
NCBITaxon:10519  	# Human adenovirus 7
NCBITaxon:10632		# JC polyomavirus
NCBITaxon:10798		# Human parvovirus B19
NCBITaxon:11020  	# Barmah Forest virus
NCBITaxon:11021  	# Eastern equine encephalitis virus
NCBITaxon:11029  	# Ross River virus
NCBITaxon:11036  	# Venezuelan equine encephalitis virus
NCBITaxon:11039  	# Western equine encephalomyelitis virus
NCBITaxon:11041  	# Rubella virus
NCBITaxon:11053  	# Dengue virus 1
NCBITaxon:11072  	# Japanese encephalitis virus
NCBITaxon:11077  	# Kunjin virus
NCBITaxon:11079  	# Murray Valley encephalitis virus
NCBITaxon:11080  	# St. Louis encephalitis virus
NCBITaxon:11082  	# West Nile virus
NCBITaxon:11083  	# Powassan virus
NCBITaxon:11084  	# Tick-borne encephalitis virus
NCBITaxon:11086  	# Louping ill virus
NCBITaxon:11089  	# Yellow fever virus
NCBITaxon:11103  	# Hepatitis C virus
NCBITaxon:11234  	# Measles virus
NCBITaxon:11250  	# Human respiratory syncytial virus
NCBITaxon:11269		# Marburg marburgvirus
NCBITaxon:11292  	# Rabies virus
NCBITaxon:11320  	# Influenza A virus
NCBITaxon:11552  	# Influenza C virus
NCBITaxon:11577  	# La Crosse virus
NCBITaxon:11588  	# Rift Valley fever virus
NCBITaxon:11620  	# Lassa virus
NCBITaxon:11623  	# Lymphocytic choriomeningitis virus
NCBITaxon:11628  	# Machupo virus
NCBITaxon:11676  	# Human immunodeficiency virus 1
NCBITaxon:11709  	# Human immunodeficiency virus 2
NCBITaxon:1173061	# Galactomyces candidum
NCBITaxon:118655 	# Oropouche virus
NCBITaxon:11908  	# Human T-lymphotropic virus 1
NCBITaxon:119095	# Capillaria
NCBITaxon:12066  	# Coxsackievirus
NCBITaxon:12080  	# Human poliovirus 1
NCBITaxon:12083  	# Human poliovirus 2
NCBITaxon:12086  	# Human poliovirus 3
NCBITaxon:12089  	# Human coxsackievirus A24
NCBITaxon:12090  	# Human enterovirus 70
NCBITaxon:12092  	# Hepatitis A virus
NCBITaxon:121224 	# Pediculus humanus corporis
NCBITaxon:121225 	# Pediculus humanus
NCBITaxon:121752 	# Lacazia loboi
NCBITaxon:121759 	# Paracoccidioides brasiliensis
NCBITaxon:12455  	# Borna disease virus
NCBITaxon:12461  	# Hepatitis E virus
NCBITaxon:12475  	# Hepatitis delta virus
NCBITaxon:1980467  	# Dobrava-Belgrade orthohantavirus
NCBITaxon:12542  	# Omsk hemorrhagic fever virus
NCBITaxon:12637  	# Dengue virus
NCBITaxon:127007 	# Rhipicephalus pumilio
NCBITaxon:12721		# Human immunodeficiency virus
NCBITaxon:1280  	# Staphylococcus aureus
NCBITaxon:12939  	# Anemia
NCBITaxon:129726 	# Pseudocowpox virus
NCBITaxon:1313		# Streptococcus pneumoniae
NCBITaxon:1314  	# Streptococcus pyogenes
NCBITaxon:13373  	# Burkholderia mallei
NCBITaxon:134742 	# Sigmodon alstoni
NCBITaxon:137207 	# Oligoryzomys longicaudatus
