baseClass,baseLabel,superClass,superLabel
HP:0003887,Abnormality of the humeral heads,HP:0003063,Abnormality of the humerus
NCBITaxon:147537,Saccharomycotina,NCBITaxon:716545,saccharomyceta
DOID:3047,Wissler's syndrome,DOID:225,syndrome
DOID:11189,pulp degeneration,DOID:5330,dental pulp disease
UBERON:0001287,proximal convoluted tubule,UBERON:0012275,meso-epithelium
HP:0010851,EEG with burst suppression,HP:0011198,EEG with generalized epileptiform discharges
HP:0007545,Congenital palmoplantar keratosis,HP:0000972,Palmoplantar hyperkeratosis
HP:0005103,Cartilaginous ossification of pinnae,HP:0010766,Ectopic calcification
UBERON:0016398,lymph node of lower limb,UBERON:0000029,lymph node
UBERON:2000223,infraorbital 1,UBERON:2000376,infraorbital
UBERON:0002826,inferior part of vestibular ganglion,UBERON:0000064,organ part
HP:0002390,Spinal arteriovenous malformation,HP:0002143,Abnormality of the spinal cord
CL:0000500,follicular epithelial cell,CL:0002371,somatic cell
HP:0007486,Cavernous hemangioma of the face,HP:0001048,Cavernous hemangioma
UBERON:0011949,endometrium luminal epithelium,UBERON:0014404,female anatomical structure
HP:0009230,Osteolytic defects of the proximal phalanx of the 5th finger,HP:0004216,Osteolytic defects of the phalanges of the 5th finger
CL:0000487,oenocyte,CL:0000151,secretory cell
UBERON:0014851,chorda tendinea of left ventricle,UBERON:0005994,chordae tendineae
CL:0002093,secondary polar body,CL:0002090,polar body
UBERON:0001468,intervertebral joint,UBERON:0004120,mesoderm-derived structure
HP:0002211,White forelock,HP:0011365,Patchy hypopigmentation of hair
HP:0004405,Prominent nipples,HP:0004404,Abnormality of the nipple
HP:0003149,Hyperuricosuria,HP:0003110,Abnormality of urine homeostasis
HP:0003108,Hyperglycinuria,HP:0010895,Abnormality of glycine metabolism
UBERON:0003372,pectoral appendage bud ectoderm,UBERON:0010371,ecto-epithelium
DOID:8354,C3 deficiency,DOID:626,complement deficiency
UBERON:2001170,vertebral element 4,UBERON:0010913,vertebral element
HP:0004231,Carpal bone aplasia,HP:0006502,Aplasia/Hypoplasia involving the carpal bones
HP:0000863,Central diabetes insipidus,HP:0000873,Diabetes insipidus
DOID:2462,retinal vascular disease,DOID:5679,retinal disease
UBERON:0004590,sphincter muscle,UBERON:0001630,muscle organ
UBERON:0015224,interventricular foramen intermedium,UBERON:0004111,anatomical conduit
HP:0012681,Abnormality of pineal morphology,HP:0012680,Abnormality of the pineal gland
UBERON:0006305,tunica vasculosa lentis,UBERON:0002050,embryonic structure
UBERON:0001529,brachiocephalic artery,UBERON:0004573,systemic artery
HP:0100648,Neoplasm of the tongue,HP:0000157,Abnormality of the tongue
UBERON:3000451,posterior ramus of pterygoid,UBERON:0010313,neural crest-derived structure
DOID:0050896,bone squamous cell carcinoma,DOID:2762,bone carcinoma
DOID:14773,cartilage-hair hypoplasia,DOID:0050737,autosomal recessive disease
UBERON:0005644,midgut duodenum epithelium,UBERON:0008346,duodenal epithelium
DOID:11203,Angelucci's syndrome,DOID:11204,allergic conjunctivitis
HP:0100492,Joint contractures involving the joints of the feet,HP:0100491,Abnormality of the joints of the lower limbs
UBERON:0010393,T cell domain,UBERON:0010394,lymphocyte domain
UBERON:0008907,dermal bone,UBERON:0007842,membrane bone
DOID:6278,ovarian mucinous malignant adenofibroma,DOID:6067,ovarian mucinous neoplasm
HP:0100630,Neoplasia of the nasopharynx,HP:0100606,Neoplasm of the respiratory system
HP:0009844,Broad middle phalanx of finger,HP:0009833,Abnormality of the middle phalanges of the hand
HP:0008598,Mild conductive hearing impairment,HP:0012712,Mild hearing impairment
UBERON:0013605,layer of lateral geniculate body,UBERON:0000064,organ part
HP:0006607,Precocious costochondral ossification,HP:0000919,Abnormality of the costochondral junction
UBERON:0013423,jugal point,UBERON:0006983,anatomical point
UBERON:2002267,epineural 5,UBERON:2000507,epineural
HP:0011673,Cardiac hemangioma,HP:0100544,Neoplasm of the heart
HP:0001377,Limited elbow extension,HP:0001376,Limitation of joint mobility
HP:0002624,Venous abnormality,HP:0002597,Abnormality of the vasculature
HP:0009948,Duplication of the distal phalanx of the 2nd finger,HP:0009542,Abnormality of the distal phalanx of the 2nd finger
UBERON:3010830,spicule,UBERON:0010314,structure with developmental contribution from neural crest
UBERON:0004534,right testis,UBERON:0015212,lateral structure
HP:0003860,Diaphyseal sclerosis of the upper limbs,HP:0009808,Anomaly of the upper limb diaphyses
HP:0009547,Broad phalanges of the 2nd finger,HP:0009541,Abnormality of the phalanges of the 2nd finger
DOID:625,transient hypogammaglobulinemia,DOID:2583,agammaglobulinemia
HP:0006921,Axial muscle stiffness,HP:0003552,Muscle stiffness
DOID:4717,extragonadal germ cell cancer,DOID:2994,germ cell cancer
UBERON:0004849,respiratory system venous endothelium,UBERON:0001919,endothelium of vein
HP:0011751,Abnormality of the posterior pituitary,HP:0012503,Abnormality of the pituitary gland
HP:0100182,Cone-shaped epiphysis of the middle phalanx of the 4th toe,HP:0100068,Cone-shaped epiphyses of the 4th toe
UBERON:0004915,sphincter of hepatopancreatic ampulla,UBERON:0011185,gastrointestinal sphincter
HP:0012632,Abnormal intraocular pressure,HP:0012373,Abnormal eye physiology
HP:0011909,Flattened metacarpal heads,HP:0005916,Abnormal metacarpal morphology
HP:0001371,Flexion contracture,HP:0011729,Abnormality of joint mobility
HP:0100746,Macrodactyly of finger,HP:0004099,Macrodactyly
HP:0010210,Triangular shaped proximal phalanges of the toes,HP:0010184,Abnormality of the proximal phalanges of the toes
HP:0000762,Decreased nerve conduction velocity,HP:0001311,Abnormal nervous system electrophysiology
HP:0100165,Small epiphysis of the proximal phalanx of the 3rd toe,HP:0100063,Small epiphyses of the 3rd toe
UBERON:0001538,posterior tibial artery,UBERON:0007610,tibial artery
HP:0100073,Pseudoepiphyses of the 4th toe,HP:0010335,Abnormality of the epiphyses of the 4th toe
HP:0100457,Osteolytic defects of the proximal phalanx of the 5th toe,HP:0010387,Osteolytic defects of the phalanges of the 5th toe
UBERON:0001224,renal pelvis,UBERON:0004120,mesoderm-derived structure
HP:0100934,Sclerosis of the proximal phalanx of the 5th toe,HP:0100929,Sclerosis of the phalanges of the 5th toe
HP:0005274,Prominent nasal tip,HP:0000436,Abnormality of the nasal tip
UBERON:4200019,preacetabular process,UBERON:0004530,bony projection
UBERON:2001364,hemal spine,UBERON:0004120,mesoderm-derived structure
CL:0000986,IgM plasma cell,CL:0000974,long lived plasma cell
DOID:270,liver sarcoma,DOID:3571,liver cancer
HP:0011318,Bicoronal synostosis,HP:0004440,Coronal craniosynostosis
UBERON:0001616,maxillary artery,UBERON:0001637,artery
UBERON:0005602,dorsal mesogastrium,UBERON:0002050,embryonic structure
HP:0010679,Elevated tissue non-specific alkaline phosphatase,HP:0003155,Elevated alkaline phosphatase
UBERON:0013707,iliac spine,UBERON:0013706,bone spine
HP:0009286,Curved distal phalanx of the 4th finger,HP:0009285,Curved phalanges of the 4th finger
UBERON:0004268,lower arm connective tissue,UBERON:0003573,arm connective tissue
HP:0007319,Morphological abnormality of the central nervous system,HP:0002011,Abnormality of the central nervous system
UBERON:2001193,supraneural 8 bone,UBERON:2000442,supraneural bone
UBERON:3000941,arciferal girdle,UBERON:0007831,pectoral girdle skeleton
UBERON:0002290,choroid plexus of fourth ventricle,UBERON:0001886,choroid plexus
HP:0009062,Infantile axial hypotonia,HP:0008936,Muscular hypotonia of the trunk
UBERON:3000581,sulcus dentalis of maxilla,UBERON:0000464,anatomical space
DOID:6201,pericardial mesothelioma,DOID:116,pericardium cancer
HP:0002088,Abnormality of the lung,HP:0012252,Abnormal respiratory system morphology
UBERON:0014481,sex skin,UBERON:0000014,zone of skin
HP:0002862,Bladder carcinoma,HP:0009725,Bladder neoplasm
UBERON:0014670,distal interphalangeal joint of manual digit 4,UBERON:0014679,distal interphalangeal joint of digit 4
UBERON:0004265,outflow tract myocardium,UBERON:0002349,myocardium
DOID:6970,acute inflammation of lacrimal passage,DOID:1400,lacrimal apparatus disease
UBERON:0002937,parvicellular part of ventral anterior nucleus,UBERON:0003528,brain grey matter
CL:0000148,melanocyte,CL:0000710,neurecto-epithelial cell
NCBITaxon:43787,Psychodomorpha,NCBITaxon:7148,Nematocera
HP:0012553,Hypoplastic thumbnail,HP:0001804,Hypoplastic fingernail
UBERON:0007687,kidney field,UBERON:0005423,developing anatomical structure
HP:0007924,Slow decrease in visual acuity,HP:0000529,Progressive visual loss
UBERON:0005426,lens vesicle,UBERON:0004121,ectoderm-derived structure
HP:0006060,Tombstone-shaped proximal phalanges,HP:0009834,Abnormality of the proximal phalanges of the hand
HP:0004338,Abnormality of aromatic amino acid family metabolism,HP:0004337,Abnormality of amino acid metabolism
HP:0010981,Hypolipoproteinemia,HP:0010979,Abnormality of the level of lipoprotein cholesterol
UBERON:0011377,femorothoracic muscle,UBERON:0008242,lower back muscle
CL:1000182,malpighian tubule tip cell,CL:0000423,tip cell
UBERON:0003535,vagus X nerve trunk,UBERON:0002464,nerve trunk
DOID:205,hyperostosis,DOID:0080005,bone remodeling disease
HP:0010199,Patchy sclerosis of the middle phalanges of the toes,HP:0100947,Sclerosis of the middle phalanges of the toes
UBERON:0011095,vertebra pre-cartilage condensation,UBERON:0015005,vertebra endochondral element
HP:0003400,Basal lamina 'onion bulb' formation,HP:0003383,Onion bulb formation
HP:0100402,Duplication of the middle phalanx of the 4th toe,HP:0010379,Duplication of phalanx of the 4th toe
UBERON:2201614,anal fin middle radial cartilage,UBERON:2201671,anal fin radial cartilage
DOID:13487,childhood disintegrative disease,DOID:0060040,pervasive developmental disorder
HP:0003138,Increased blood urea nitrogen (BUN),HP:0002157,Azotemia
UBERON:2000856,somite 28,UBERON:0002329,somite
UBERON:2001388,epithelial mesenchymal boundary of regenerating fin/limb,UBERON:0012437,epithelial-mesenchymal boundary
UBERON:0013592,presylvian sulcus,UBERON:0008334,subarachnoid sulcus
UBERON:0016403,thoracic wall,UBERON:0000060,anatomical wall
UBERON:0001587,subclavian vein,UBERON:0001638,vein
HP:0005638,Decreased anterioposterior diameter of lumbar vertebral bodies,HP:0008473,Narrow anterio-posterior vertebral body diameter
HP:0000559,Corneal scarring,HP:0007957,Corneal opacity
DOID:14026,folic acid deficiency anemia,DOID:5113,nutritional deficiency disease
DOID:649,prion disease,DOID:936,brain disease
DOID:11793,phthisical cornea,DOID:1237,corneal degeneration
HP:0006772,Renal angiomyolipoma,HP:0008696,Renal hamartoma
UBERON:2001280,branchiostegal ray 3,UBERON:2000476,branchiostegal ray
CL:0000498,inhibitory interneuron,CL:0000099,interneuron
DOID:0050840,cervical dystonia,DOID:0050836,focal dystonia
UBERON:0002044,ventral nucleus of posterior commissure,UBERON:0007414,nucleus of midbrain tegmentum
UBERON:0006448,first lumbar spinal cord segment,UBERON:0007716,lumbar subsegment of spinal cord
NCBITaxon:42862,Rickettsia felis,NCBITaxon:114277,spotted fever group
UBERON:0004355,podocyte foot process,UBERON:0006554,urinary system structure
UBERON:0013153,arachnoid villus,UBERON:0010314,structure with developmental contribution from neural crest
HP:0010154,Irregular epiphysis of the 1st metatarsal,HP:0010118,Irregular epiphyses of the hallux
UBERON:0001338,urethral gland,UBERON:0002365,exocrine gland
HP:0005466,Frontal bone hypoplasia,HP:0011218,Abnormal shape of the frontal region
UBERON:0014759,entopallium,UBERON:0002791,regional part of telencephalon
UBERON:0002622,preoptic periventricular nucleus,UBERON:0007251,preoptic nucleus
