baseClass,baseLabel,superClass,superLabel
OMIM:146450,"Hypospadias 3, Autosomal",DOID:10892,hypospadias
OMIM:605376,"Heterotaxy, Visceral, 2, Autosomal",DOID:0050545,visceral heterotaxy
OMIM:163800,"Sick Sinus Syndrome 2, Autosomal Dominant",DOID:13884,sick sinus syndrome
OMIM:608967,Moved To 609192,DOID:0050466,Loeys-Dietz syndrome
OMIM:613235,"Factor Xiii, B Subunit, Deficiency Of",DOID:2211,factor XIII deficiency
OMIM:614464,Joubert Syndrome 15,DOID:0050777,Joubert syndrome
OMIM:611022,"Deafness, Autosomal Recessive 24",DOID:0050565,autosomal recessive nonsyndromic deafness
OMIM:613501,"Agammaglobulinemia 3, Autosomal Recessive",DOID:2583,agammaglobulinemia
OMIM:608244,Otosclerosis 3,DOID:12185,otosclerosis
OMIM:609054,"Fanconi Anemia, Complementation Group J",DOID:13636,Fanconi's anemia
OMIM:601992,Friedreich Ataxia 2,DOID:12705,Friedreich ataxia
OMIM:300049,"Heterotopia, Periventricular, X-Linked Dominant",DOID:0050454,periventricular nodular heterotopia
OMIM:605192,"Deafness, Autosomal Dominant 23",DOID:0050564,autosomal dominant nonsyndromic deafness
DOID:1520,colon carcinoma,OMIM:114500,Colorectal Cancer
OMIM:300215,"Lissencephaly, X-Linked, 2",DOID:0050453,lissencephaly
OMIM:200170,Acanthosis Nigricans With Muscle Cramps And Acral Enlargement,DOID:3138,acanthosis nigricans
OMIM:607625,"Niemann-Pick Disease, Type C2",DOID:14504,Niemann-Pick disease
OMIM:612964,Premature Ovarian Failure 7,DOID:5426,premature ovarian failure
OMIM:148300,Keratoconus 1,DOID:10126,keratoconus
OMIM:130900,"Amelogenesis Imperfecta, Type Iii",DOID:2187,amelogenesis imperfecta
OMIM:611560,Joubert Syndrome 7,DOID:0050777,Joubert syndrome
OMIM:188000,Thrombocytopenia 2,DOID:1588,thrombocytopenia
OMIM:615490,"Charcot-Marie-Tooth Disease, Axonal, Type 2r",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:158300,"Arthrogryposis, Distal, Type 7",DOID:0050646,distal arthrogryposis
OMIM:254900,"Epilepsy, Progressive Myoclonic 4, With Or Without Renal Failure",DOID:891,progressive myoclonus epilepsy
OMIM:614845,Nephronophthisis 15,DOID:12712,nephronophthisis
OMIM:611363,Atrial Septal Defect 4,DOID:1882,atrial heart septal defect
OMIM:601780,"Ceroid Lipofuscinosis, Neuronal, 6",DOID:14503,neuronal ceroid lipofuscinosis
OMIM:252930,"Mucopolysaccharidosis, Type Iiic",DOID:12801,mucopolysaccharidosis III
OMIM:104510,"Amelogenesis Imperfecta, Type Iv",DOID:2187,amelogenesis imperfecta
OMIM:613224,Noonan Syndrome 6,DOID:3490,Noonan syndrome
OMIM:609006,"Deafness, Autosomal Recessive 36, With Or Without Vestibular Involvement",DOID:0050565,autosomal recessive nonsyndromic deafness
