?id	?label	?definition
"DOID:0110598"	"primary ciliary dyskinesia 14"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner dynein arm defect and axonemal disorganization, chronic upper and lower airway infections, and has_material_basis_in homozygous or compound heterozygous mutation in the CCDC39 gene on chromosome 3q26."
"DOID:0060560"	"lethal congenital contracture syndrome 2"@en	"A lethal congenital contracture syndrome that can be that has_material_basis_in homozygous mutation in the ERBB3 gene on chromosome 12q13."
"DOID:0080585"	"Van Maldergem syndrome 1"@en	"A Van Maldergem syndrome that has_material_basis_in homozygous mutation in the DCHS1 gene on chromosome 11p15."
"DOID:0060486"	"Perry syndrome"@en	"A syndrome characterized by parkinsonism, hypoventilation, depression, and weight loss and that has_material_basis_in heterozygous mutation in the DCTN1 gene on chromosome 2p13."
"DOID:0080513"	"Meier-Gorlin syndrome 2"@en	"A Meier-Gorlin syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the ORC4 gene on chromosome 2q23."
"DOID:5572"	"Beckwith-Wiedemann syndrome"	"A syndrome characterized by overgrowth (macrosomia), an increased risk of childhood cancer and congenital malformations."
"DOID:225"	"syndrome"	"A disease characterized by a group of signs and symptoms that occur together and characterize a particular abnormality."
"DOID:0060381"	"orofaciodigital syndrome XI"	"An orofaciodigital syndrome that is characterized by blepharophimosis, bulbous nasal tip, broad nasal bridge, downslanting palpebral fissures, low set ears, skeletal malformations, intellectual deficits, deafness and congenital heart defects."
"DOID:0080346"	"blepharocheilodontic syndrome 2"@en	"A blepharocheilodontic syndrome that has_material_basis_in heterozygous mutation in the CTNND1 gene on chromosome 11q12."
"DOID:0110613"	"primary ciliary dyskinesia 16"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with absence of ciliary outer dynein arms, early infantile onset of respiratory distress, and variable occurrence of situs inversus and has_material_basis_in homozygous mutation in the DNAL1 gene on chromosome 14q24.3."
"DOID:9562"	"primary ciliary dyskinesia"	"A ciliopathy that is characterized by impaired function of the cilia lining the respiratory tract (lower and upper, sinuses, Eustachian tube, middle ear) and fallopian tube."
"DOID:0111460"	"cardiofaciocutaneous syndrome 1"	"A cardiofaciocutaneous syndrome that has_material_basis_in heterozygous mutation in BRAF on chromosome 7q34."
