source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0040101	oboInOwl:hasRelatedSynonym	neoprene allergy	alergia al neopreno	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	1				
DOID:0040102	oboInOwl:hasRelatedSynonym	neoprene allergy	alergia al neopreno	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	1				
DOID:0050308	oboInOwl:hasExactSynonym	Alkhurma hemorrhagic fever	fiebre hemorrágica de Alkhurma	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.99				
DOID:0050445	oboInOwl:hasExactSynonym	X-linked dominant hypophosphatemic rickets	raquitismo hipofosfatémico dominante ligado a X	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.825				
DOID:0050516	oboInOwl:hasExactSynonym	O'nyong'nyong fever	Fiebre o'nyong'nyong	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.89				
DOID:0050523	oboInOwl:hasExactSynonym	ATLL	ATLL	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from DOID:5602	1			obo:OMO_0003012	
DOID:0050657	oboInOwl:hasExactSynonym	PTEN hamartoma tumor syndrome	Síndrome de tumor hamartoma PTEN	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from DOID:0080191-rdfs:label	1				
DOID:0050657	oboInOwl:hasNarrowSynonym	Bannayan-Riley-Ruvalcaba syndrome	síndrome de Bannayan-Riley-Ruvalcaba	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.99				
DOID:0050657	oboInOwl:hasNarrowSynonym	Bannayan-Zonana syndrome	síndrome de Bannayan-Zonana	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	0.99				
DOID:0050657	oboInOwl:hasNarrowSynonym	Lhermitte-Duclos disease	enfermedad de Lhermitte-Duclos	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from DOID:6457-oboInOwl:hasExactSynonym	0.99				
DOID:0050657	oboInOwl:hasNarrowSynonym	Riley-Smith syndrome	síndrome de Riley-Smith	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	0.99				
DOID:0050657	oboInOwl:hasNarrowSynonym	Ruvalcaba-Myhre-Smith syndrome	síndrome de Ruvalcaba-Myhre-Smith	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	0.99				
DOID:0050657	rdfs:label	Cowden syndrome 1	síndrome de Cowden 1	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	0.99				
DOID:0050976	oboInOwl:hasExactSynonym	spinocerebellar ataxia type 27	ataxia espinocerebelosa tipo 27	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	1				
DOID:0060062	oboInOwl:hasExactSynonym	familial juvenile hyperuricemic nephropathy	nefropatía hiperuricémica juvenil familiar	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.99				
DOID:0060195	oboInOwl:hasExactSynonym	ALS3	ELA3	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasRelatedSynonym	1			obo:OMO_0003012	
DOID:0060207	oboInOwl:hasExactSynonym	amyotrophic lateral sclerosis 16, juvenile	esclerosis lateral amiotrófica 16 juvenil	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasRelatedSynonym	0.905				
DOID:0060213	rdfs:label	frontotemporal dementia and/or amyotrophic lateral sclerosis 1	demencia frontotemporal y/o esclerosis lateral amiotrófica 1	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	1				
DOID:0060214	rdfs:label	frontotemporal dementia and/or amyotrophic lateral sclerosis 2	demencia frontotemporal y/o esclerosis lateral amiotrófica 2	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	1				
DOID:0060290	oboInOwl:hasExactSynonym	blepharophimosis-intellectual disability syndrome, SBBYS type	síndrome de blefarofimosis-discapacidad intelectual, tipo SBBYS	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.99				
DOID:0060346	oboInOwl:hasExactSynonym	Native American myopathy	miopatía de los nativos americanos	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.98				
DOID:0060346	rdfs:label	congenital myopathy 13	miopatía congénita 13	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from oboInOwl:hasExactSynonym	1				
DOID:0060685	oboInOwl:hasExactSynonym	benign familial infantile seizures 6	convulsiones infantiles familiares benignas 6	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from DOID:0081119-rdfs:label	0.495				
DOID:0060728	oboInOwl:hasExactSynonym	NGLY1-deficiency	deficiencia de NGLY1	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.97				
DOID:0060815	oboInOwl:hasExactSynonym	Miles-Carpenter syndrome	síndrome de Miles-Carpenter	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from rdfs:label	0.99				
DOID:0060991	rdfs:label	congenital disorder of deglycosylation	trastorno congénito de la desglicosilación	The Spanish Group (https://thespanishgroup.org/)	en	es	CANDIDATE: from DOID:0060728-oboInOwl:hasExactSynonym	0.9				
