source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0014667	IAO:0000115	A disease that involving errors in metabolic processes of building or degradation of molecules.	Trastorno que implica errores en los procesos metabólicos de construcción o degradación de moléculas.	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0.6317	JAB-quick			MANUALLY TRANSLATED
DOID:0040086	IAO:0000115	A viral infectious disease has_material_basis_in BK polyomavirus.	Una enfermedad infecciosa viral que tiene_como_base el poliomavirus BK.	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0.6857	JAB-quick			MANUALLY TRANSLATED
DOID:0040092	IAO:0000115	An autoimmune disease of musculoskeletal system that is an ankylosing spondylitis with onset during childhood.	Enfermedad autoinmune del sistema musculoesquelético que es una espondilitis anquilosante con inicio durante la infancia.	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0.73665	JAB-quick			MANUALLY TRANSLATED
DOID:0040101	oboInOwl:hasExactSynonym	neoprene allergy	alergia al neopreno	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-PREDICATE	1				PASSED AUTOMATED REVIEW
DOID:0040102	oboInOwl:hasExactSynonym	neoprene allergy	alergia al neopreno	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-PREDICATE	1				PASSED AUTOMATED REVIEW
DOID:0050012	IAO:0000115	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus, which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.	Enfermedad infecciosa vírica que resulta_en una infección que se_ubica_en las articulaciones, tiene_como_base el virus Chikungunya, que se_transmite_por picadura del mosquito Aedes. La infección tiene_como_síntoma fiebre, tiene_como_síntoma artralgia, y tiene_como_síntoma erupción maculopapular.	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0.44199999999999995	JAB-quick			MANUALLY TRANSLATED
DOID:0050052	oboInOwl:hasRelatedSynonym	Brazillian spotted	fiebre maculosa brasileña	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0.27495000000000003				MANUALLY TRANSLATED
DOID:0050118	IAO:0000115	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in La Crosse virus, which is transmitted_by treehole mosquito, Ochlerotatus triseriatus. The infection has_symptom seizures, has_symptom headache, has_symptom fever, has_symptom coma, and has_symptom paralysis.	Enfermedad infecciosa vírica que resulta_en una inflamación que se_ubica_en el cerebro, tiene_como_base el virus de La Crosse, se_transmite_por el mosquito del árbol, Ochlerotatus triseriatus. La infección tiene_como_síntoma convulsiones, tiene_como_síntoma dolor de cabeza, tiene_como_síntoma fiebre, tiene_como_síntoma coma y tiene_como_síntoma parálisis.	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0.4675	JAB-quick			MANUALLY TRANSLATED
DOID:0050125	IAO:0000115	A dengue disease that involves the most severe form of dengue fever, has_material_basis_in Dengue virus [NCBITaxon:12637] with four serotypes (Dengue virus 1, 2, 3 and 4), which are transmitted_by Aedes mosquito bite. The infection has_symptom easy bruising, has_symptom blood spots, has_symptom bleeding gums, and has_symptom nosebleeds. It is accompanied by circulatory collapse, involves hypotension, narrow pulse pressure (less than or equal to 20mm Hg), or frank shock. The shock occurs after two to six days of symptoms, followed by collapse, weak pulse, and blueness around the mouth.	Enfermedad que implica la forma más grave del dengue, tiene_como_base el virus del dengue [NCBITaxon:12637] con cuatro serotipos (virus del dengue 1, 2, 3 y 4), que se_transmite_por la picadura del mosquito Aedes. La infección tiene_como_síntoma hematomas fáciles, tiene_como_síntoma manchas de sangre, tiene_como_síntoma encías sangrantes y tiene_como_síntoma hemorragias nasales. Se acompaña de colapso circulatorio, involucra hipotensión, presión de pulso estrecha (menor o igual a 20 mm Hg) o shock franco. El shock se produce después de dos a seis días de síntomas, seguido de colapso, pulso débil y coloración azulada alrededor de la boca.	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0	JAB-quick			MANUALLY TRANSLATED
DOID:0050143	IAO:0000115	A dengue disease that results_in infection, has_material_basis_in Dengue virus [NCBITaxon:12637] with four serotypes (Dengue virus 1, 2, 3 and 4), which are transmitted_by Aedes mosquito bite. The infection has no manifestations of symptoms.	La enfermedad del dengue que resulta_en una infección, tiene_como_base el virus del dengue [NCBITaxon:12637] con cuatro serotipos (virus del dengue 1, 2, 3 y 4), que se_transmite_por la picadura del mosquito Aedes. La infección no presenta manifestaciones sintomáticas.	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0	JAB-quick			MANUALLY TRANSLATED
DOID:0050156	IAO:0000115	A pulmonary fibrosis that is characterized by scarring of the lung.	Fibrosis pulmonar que se caracteriza por la cicatrización del pulmón.	The Spanish Group (https://thespanishgroup.org/)	en	es	DEPRECATED-SOURCE TEXT	0.78				PASSED AUTOMATED REVIEW
