source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0040003	oboInOwl:hasExactSynonym	benzyl penicillin allergy	alergia a la bencilpenicilina	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.745				
DOID:0040005	oboInOwl:hasExactSynonym	rocephin allergy	alergia al Rocephin	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.69				
DOID:0040006	oboInOwl:hasExactSynonym	carbamazepen allergy	alergia a la carbamazepina	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.4125				
DOID:0040011	oboInOwl:hasExactSynonym	phenobarbitol allergy	alergia al fenobarbital	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.49585				
DOID:0040011	oboInOwl:hasExactSynonym	phenobarbitone allergy	alergia a la fenobarbitona	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.7				
DOID:0040016	oboInOwl:hasExactSynonym	sulphamethoxazole allergy	alergia al sulfametoxazol	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.7125				
DOID:0040017	oboInOwl:hasExactSynonym	Profenal allergy	alergia al Profenal	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.595				
DOID:0040023	oboInOwl:hasExactSynonym	cephaclor allergy	alergia al cefaclor	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.49585				
DOID:0040025	oboInOwl:hasExactSynonym	cephuroxime allergy	alergia a la cefuroxima	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6125				
DOID:0040028	oboInOwl:hasExactSynonym	sux allergy	alergia a la suxi	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.4125				
DOID:0040036	oboInOwl:hasExactSynonym	DTC allergy	alergia a la DTC	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.7				
DOID:0040040	oboInOwl:hasExactSynonym	allergic asthma to HDI	asma alérgica al HDI	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.71875				
DOID:0040047	oboInOwl:hasExactSynonym	allergic asthma to TMA	asma alérgica al TMA	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6667000000000001				
DOID:0040054	oboInOwl:hasExactSynonym	Co allergic asthma	asma alérgica al Co	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.61				
DOID:0040058	oboInOwl:hasExactSynonym	allergic contact dermatitis to p-phenylenediamine	dermatitis de contacto alérgica a la parafenilendiamina	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6482				
DOID:0040065	oboInOwl:hasExactSynonym	Kinidin allergy	alergia al Kinidín	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6950000000000001				
DOID:0040067	oboInOwl:hasExactSynonym	allergic contact dermatitis to neomycin sulphate	dermatitis de contacto alérgica al sulfato de neomicina	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.72				
DOID:0040068	oboInOwl:hasExactSynonym	allergic contact dermatitis to butylphen	dermatitis de contacto alérgica al butilfeno	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.72915				
DOID:0040071	oboInOwl:hasExactSynonym	gold sodium thiomalate allergy	alergia al tiomalato sódico de oro	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.7				
DOID:0040076	oboInOwl:hasExactSynonym	phthalyl allergy	alergia ftálica	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.4125				
DOID:0040082	oboInOwl:hasExactSynonym	ETO allergy	alergia al ETO	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6950000000000001				
DOID:0040086	oboInOwl:hasExactSynonym	PVAN	NAPV	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0			obo:OMO_0003012	
DOID:0040093	oboInOwl:hasExactSynonym	DIL	LIF	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0			obo:OMO_0003012	
DOID:0040093	oboInOwl:hasExactSynonym	DILE	LEIF	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0			obo:OMO_0003012	
DOID:0050012	oboInOwl:hasExactSynonym	Chikungunya fever	Fiebre de chikunguña	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.7				
DOID:0050025	oboInOwl:hasRelatedSynonym	HGE	EGH	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0			obo:OMO_0003012	
DOID:0050026	oboInOwl:hasRelatedSynonym	Ehrlichiosis chafeensis	erliquiosis chaffeensis	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.2075				
DOID:0050035	oboInOwl:hasExactSynonym	Rickettsia africae spotted fever	fiebre maculosa por Rickettsia africae	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.702				
DOID:0050046	oboInOwl:hasExactSynonym	Rickettsia heilongjiangensis spotted fever	fiebre maculosa por Rickettsia heilongjiangensis	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.712				
