source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0014667	IAO:0000115	A disease that involves errors in metabolic processes of building or degradation of molecules.			en	es	UNTRANSLATED					
DOID:0040086	IAO:0000115	A viral infectious disease has_material_basis_in BK polyomavirus (Betapolyomavirus hominis).			en	es	UNTRANSLATED					
DOID:0040092	IAO:0000115	An ankylosing spondylitis with onset during childhood.			en	es	UNTRANSLATED					
DOID:0050012	IAO:0000115	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus (Alphavirus chikungunya), which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.			en	es	UNTRANSLATED					
DOID:0050052	oboInOwl:hasRelatedSynonym	Brazilian spotted			en	es	UNTRANSLATED					
DOID:0050118	IAO:0000115	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in La Crosse virus (Orthobunyavirus lacrosseense), which is primarily transmitted_by treehole mosquito (Ochlerotatus triseriatus) but also Asian tiger mosquito (Aedes albopictus) and Asian bush mosquito (Aedes japonicus). The infection has_symptom seizures, has_symptom headache, has_symptom fever, has_symptom coma, and has_symptom paralysis.			en	es	UNTRANSLATED					
DOID:0050125	IAO:0000115	A dengue disease that involves the most severe form of dengue fever, has_material_basis_in Dengue virus (Orthoflavivirus denguei), which are transmitted_by Aedes mosquito bite. The infection has_symptom easy bruising, has_symptom blood spots, has_symptom bleeding gums, and has_symptom nosebleeds. It is accompanied by circulatory collapse, involves hypotension, narrow pulse pressure (less than or equal to 20mm Hg), or frank shock. The shock occurs after two to six days of symptoms, followed by collapse, weak pulse, and blueness around the mouth.			en	es	UNTRANSLATED					
DOID:0050143	IAO:0000115	A dengue disease that results_in infection, has_material_basis_in Dengue virus (Orthoflavivirus denguei), which are transmitted_by Aedes mosquito bite. The infection has no manifestations of symptoms.			en	es	UNTRANSLATED					
DOID:0050156	IAO:0000115	A pulmonary fibrosis that is characterized by scarring of the lung characterized by stiffness in the lungs and makes it difficult to breathe.			en	es	UNTRANSLATED					
DOID:0050174	IAO:0000115	A West Nile encephalitis that results_in infection located_in brain, has_material_basis_in Kunjin virus, a subtype of West Nile Virus (Orthoflavivirus nilense), which is transmitted_by Culex annulirostris mosquito bite. The infection has_symptom fever, has_symptom rigor, has_symptom headache, has_symptom confusion, and has_symptom lethargy.			en	es	UNTRANSLATED					
DOID:0050175	IAO:0000115	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in Tick-borne encephalitis virus (Orthoflavivirus encephalitidis), which is transmitted_by Ixodes ticks. The infection has_symptom drowsiness, has_symptom confusion, has_symptom sensory disturbances, and has_symptom paralysis.			en	es	UNTRANSLATED					
DOID:0050179	IAO:0000115	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in Powassan virus (Orthoflavivirus powassanense), which is transmitted_by Ixodes and transmitted_by Dermacentor species of ticks. The infection has_symptom headache, has_symptom fever, has_symptom vomiting, has_symptom stiff neck, has_symptom sleepiness, has_symptom breathing distress, has_symptom tremors, has_symptom confusion, has_symptom seizures, has_symptom paralysis, and has_symptom coma.			en	es	UNTRANSLATED					
DOID:0050192	IAO:0000115	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in Nipah virus (Henipavirus nipahense), which is transmitted_by direct contact with sick person or animals, or their contaminated tissues. The infection has_symptom dizziness, has_symptom drowsiness, has_symptom altered consciousness, has_symptom disorientation, and has_symptom coma.			en	es	UNTRANSLATED					
DOID:0050194	IAO:0000115	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Junin virus (Mammarenavirus juninense), which is transmitted_by rodent, Calomys musculinus. The infection has_symptom fever, has_symptom fatigue, has_symptom malaise, has_symptom leukopenia, has_symptom thrombocytopenia, and has_symptom hemorrhagic manifestations.			en	es	UNTRANSLATED					
DOID:0050195	IAO:0000115	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Machupo virus (Mammarenavirus machupoense), which is transmitted_by vesper mouse, Calomys callosus. The infection has_symptom fever, has_symptom headache, has_symptom fatigue, has_symptom myalgia, has_symptom arthralgia, has_symptom bleeding from the oral and nasal mucosa, and has_symptom bleeding from the bronchopulmonary, gastrointestinal and genitourinary tracts.			en	es	UNTRANSLATED					
DOID:0050196	IAO:0000115	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Guanarito virus (Mammarenavirus guanaritoense), which is transmitted_by cotton rat, Sigmodon alstoni or transmitted_by cane mouse, Zygodontomys brevicauda. The infection has_symptom fever, has_symptom headache, has_symptom myalgia, has_symptom sore throat, has_symptom weakness, has_symptom anorexia, has_symptom nausea, has_symptom vomiting, has_symptom convulsions, has_symptom epistaxis, has_symptom bleeding gums, has_symptom hematemesis, has_symptom melena, and has_symptom menorrhagia.			en	es	UNTRANSLATED					
DOID:0050197	IAO:0000115	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Sabia virus (Mammarenavirus brazilense), which is transmitted by rodents. The infection has symptom fever, has symptom eye redness, has symptom fatigue, has symptom dizziness, has symptom muscle aches, has symptom loss of strength, and has symptom bleeding under the skin, internal organs, or from body orifices like the mouth, eyes or ears.			en	es	UNTRANSLATED					
DOID:0050198	IAO:0000115	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Chapare virus (Mammarenavirus chapareense). The infection has symptom headache, has symptom joint pain, has symptom muscle pain, has symptom vomiting, has symptom shock, and has symptom bleeding.			en	es	UNTRANSLATED					
DOID:0050199	IAO:0000115	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Whitewater Arroyo virus (Mammarenavirus whitewaterense), which is transmitted_by white-throated woodrats (Neotoma albigula). The infection has_symptom fever, has_symptom headache, has_symptom myalgia, and has_symptom hemorrhagic manifestations.			en	es	UNTRANSLATED					
DOID:0050201	IAO:0000115	A hemorrhagic fever with renal syndrome that results_in infection located_in kidney, has_material_basis_in Orthohantavirus puumalaense, which is transmitted_by bank vole, Myodes glareolus. The infection has_symptom headache, has_symptom nausea, has_symptom back pain, has_symptom vomiting, has_symptom myalgia, has_symptom abdominal pain, has_symptom internal hemorrhage, and has_symptom renal failure.			en	es	UNTRANSLATED					
DOID:0050202	IAO:0000115	A viral infectious disease that results_in infection, has_material_basis_in Lujo virus (Mammarenavirus lujoense), which has_symptom fever, has_symptom headache, has_symptom myalgia, has_symptom thrombocytopenia, and has_symptom bleeding. Bleeding is minor and not a prominent symptom.			en	es	UNTRANSLATED					
DOID:0050204	IAO:0000115	A viral hepatitis that results_in inflammation, located_in liver, has_material_basis_in Human herpesvirus 4 (Lymphocryptovirus humangamma4) and has_symptom headache, has_symptom fatigue, has_symptom fever, has_symptom abdominal pain, has_symptom nausea, and has_symptom jaundice.			en	es	UNTRANSLATED					
DOID:0050211	IAO:0000115	An influenza that results_in infection located_in respiratory tract of pigs and humans, has_material_basis_in Influenza C virus (Gammainfluenzavirus influenzae), or has_material_basis_in Influenza A virus (Alphainfluenzavirus influenzae) including subtypes (H1N1, H1N2, H3N1, H3N2, and H2N3), which are transmitted_by direct contact with infected pigs. The infection in humans has_symptom fever, has_symptom lethargy, has_symptom lack of appetite, has_symptom coughing, has_symptom runny nose, has_symptom sore throat, has_symptom nausea, has_symptom vomiting, and has_symptom diarrhea.			en	es	UNTRANSLATED					
DOID:0050308	IAO:0000115	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Alkhurma hemorrhagic fever virus (Orthoflavivirus kyasanurense), which is transmitted by Ornithodoros savignyi tick bite, transmitted by ingestion of unpasteurized camel milk, or transmitted by entry via skin wound. The infection has symptom headache, has symptom joint pain, has symptom muscle pain, has symptom vomiting, has symptom thrombocytopenia, and has symptom hemorrhagic fever.			en	es	UNTRANSLATED					
DOID:0050424	IAO:0000115	An intestinal disease that is characterized by predisposition to colon cancer.			en	es	UNTRANSLATED					
DOID:0050428	oboInOwl:hasExactSynonym	NEPPK			en	es	UNTRANSLATED				obo:OMO_0003012	
DOID:0050429	IAO:0000115	A pemphigus that is characterized by recurring blistering most commonly occurring in the folds of the skin, particularly the groin and axillary regions, and has_material_basis_in mutations in the ATP2C1 gene that result in loss of adhesion within the skin. Other sites of the body, such as the neck, perianal, and submammary regions, may likewise be affected.			en	es	UNTRANSLATED					
DOID:0050445	IAO:0000115	A rickets that has_material_basis_in X-linked mutations in the PHEX gene that lead to increased circulating levels of FGF-23, a phosphate-regulating hormone (phosphatonin), that leads to reduced renal phosphate reabsorption and consequently abnormal bone mineralization.			en	es	UNTRANSLATED					
DOID:0050495	IAO:0000115	A viral infectious disease that results_in infection in infants and children, located_in skin, has_material_basis_in Human betaherpesvirus 6B (Roseolovirus humanbeta6b) or 7 (Roseolovirus humanbeta7) and has_symptom sudden high fever, and has_symptom red rash that occurs first on the trunk then spreading to legs and neck.			en	es	UNTRANSLATED					
DOID:0050495	oboInOwl:hasExactSynonym	exanthem subitum			en	es	UNTRANSLATED					
DOID:0050508	IAO:0000115	A smallpox that results_in severe infection, located_in skin, has_material_basis_in Variola virus (Orthopoxvirus variola). The infection results_in_formation_of lesions.			en	es	UNTRANSLATED					
DOID:0050508	oboInOwl:hasNarrowSynonym	ordinary smallpox			en	es	UNTRANSLATED					
DOID:0050516	IAO:0000115	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Onyong-nyong virus (Alphavirus onyong), which is transmitted_by Anopheles gambiae, and transmitted_by Anopheles funestus mosquitoes. The infection has_symptom fever, has_symptom arthralgia, has_symptom rash, and has_symptom lymphadenitis.			en	es	UNTRANSLATED					
DOID:0050516	oboInOwl:hasExactSynonym	O'nyong nyong fever			en	es	UNTRANSLATED					
DOID:0050517	IAO:0000115	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Barmah Forest virus (Alphavirus barmah), which is transmitted_by mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom rash.			en	es	UNTRANSLATED					
DOID:0050518	IAO:0000115	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Ross River virus (Alphavirus rossriver), which is transmitted_by Culex, and transmitted_by Aedes mosquitoes. The infection has_symptom fever, has_symptom arthralgia, and has_symptom rash.			en	es	UNTRANSLATED					
DOID:0050521	IAO:0000115	A viral infectious disease that results in infection, has_material_basis_in Oropouche virus (Orthobunyavirus oropoucheense), which is transmitted by biting midge, Culicoides paraensis. The infection has symptom fever, has symptom chills, has symptom headache, has symptom anorexia, has symptom muscle pain, has symptom joint pain, and has symptom vomiting.			en	es	UNTRANSLATED					
DOID:0050522	IAO:0000115	A hemorrhagic fever with renal syndrome that results in infection located in kidney, has_material_basis_in Dobrava-Belgrade virus (Orthohantavirus dobravaense), which is transmitted by yellow-necked field mouse, Apodemus flavicollis. The infection has symptom headache, has symptom fever, has symptom muscle pains, has symptom facial flush, has symptom petechiae, has symptom proteinuria, and has symptom renal failure.			en	es	UNTRANSLATED					
DOID:0050523	IAO:0000115	A T-cell acute leukemia that results_in abnormal increase of lymphocytes, derives_from T-cells, has_material_basis_in human T-cell leukemia virus type 1 (Deltaretrovirus priTlym1), which is transmitted_by sexual contact, transmitted_by contaminated needles used by intravenous-drug users, and transmitted_by breast feeding. The infection results_in_formation_of skin lesions.			en	es	UNTRANSLATED					
DOID:0050528	IAO:0000115	A nonphotosensitive trichothiodystrophy that is characterized by brittle hair, short stature, decreased fertility and cognitive impairment without photosensitivity has_material_basis_in mutations in the TTDN1 gene.			en	es	UNTRANSLATED					
DOID:0050547	IAO:0000115	A thyroid gland medullary carcinoma that has_material_basis_in a mutation in the RET gene on chromosome 10. Familial MTC can also be caused by mutations in the NTRK1 gene located on 1q21-q22.			en	es	UNTRANSLATED					
DOID:0050553	IAO:0000115	A proteasome-associated autoinflammatory syndrome that is characterized by early childhood onset of annular erythematous plaques on the face and extremities with subsequent development of partial lipodystrophy and laboratory evidence of immune dysregulation and that has_material_basis_in homozygous or compound heterozygous mutation in the PSMB8 gene on chromosome 6p21. Digenic forms of PRAAS1 can be caused by heterozygous mutation in the PSMB8 gene and heterozygous mutation in either the PSMA3 gene on chromosome 14q23 or in the PSMB4 on chromosome 1q21.			en	es	UNTRANSLATED					
DOID:0050558	IAO:0000115	A congenital muscular dystrophy that is characterized by congenital weakness, hypotonia, proximal joint contractures, marked hyperlaxity of the distal joints, with a loss of ambulation (if achieved) and uniform respiratory insufficiency during childhood that has_material_basis_in mutations in COL6A1, COL6A2 and COL6A3 genes.			en	es	UNTRANSLATED					
DOID:0050601	IAO:0000115	A syndrome that is characterized by light pigmentation with excessive freckling, sparse hair involving the scalp and axilla, lacrimal duct stenosis or atresia, onychodysplasia, hypodontia or early loss of permanent teeth, athelia or hypoplastic nipples, and breast hypoplasia, has_material_basis_in heterozygous mutation in the TP63 gene on chromosome 3q28.			en	es	UNTRANSLATED					
DOID:0050604	IAO:0000115	An osteochondrodysplasia characterized by postnatal-onset disproportionate short stature, relatively large head, narrow thorax, lumbar lordosis, short limbs, and brachydactyly with small broad nails and that has_material_basis_in homozygous mutation in the Indian hedgehog homolog (IHH) gene on chromosome 2q35.			en	es	UNTRANSLATED					
DOID:0050619	oboInOwl:hasExactSynonym	carcinoma of accessory sinus			en	es	UNTRANSLATED					
DOID:0050619	oboInOwl:hasExactSynonym	carcinoma of paranasal sinus			en	es	UNTRANSLATED					
DOID:0050631	IAO:0000115	A syndrome that has_material_basis_in mutation in the MCT8 gene on chromosome Xq13.			en	es	UNTRANSLATED					
DOID:0050636	rdfs:label	hereditary systemic amyloidosis 2			en	es	UNTRANSLATED					
DOID:0050638	rdfs:label	hereditary systemic amyloidosis 1			en	es	UNTRANSLATED					
DOID:0050657	oboInOwl:hasExactSynonym	PHTS			en	es	UNTRANSLATED				obo:OMO_0003012	
DOID:0050657	oboInOwl:hasNarrowSynonym	BRRS			en	es	UNTRANSLATED				obo:OMO_0003012	
DOID:0050657	oboInOwl:hasNarrowSynonym	Proteus-like syndrome			en	es	UNTRANSLATED					
DOID:0050657	oboInOwl:hasNarrowSynonym	SOLAMEN syndrome			en	es	UNTRANSLATED					
DOID:0050657	oboInOwl:hasNarrowSynonym	dysplastic cerebellar gangliocytoma			en	es	UNTRANSLATED					
DOID:0050657	oboInOwl:hasNarrowSynonym	dysplastic gangliocytoma of cerebellum			en	es	UNTRANSLATED					
DOID:0050657	oboInOwl:hasNarrowSynonym	segmental overgrowth, lipomatosis, arteriovenous malformation, and epidermal nevus syndrome			en	es	UNTRANSLATED					
DOID:0050659	oboInOwl:hasExactSynonym	biotin-thiamine-responsive basal ganglia disease			en	es	UNTRANSLATED					
DOID:0050663	IAO:0000115	A congenital muscular dystrophy that is characterized by myopathy and joint contractures that progresses slowly.			en	es	UNTRANSLATED					
DOID:0050679	IAO:0000115	An achromatopsia that is characterized by severely impaired color discrimination, low visual acuity, nystagmus, photophobia due to the absence of functional long wavelength-sensitive and medium wavelength-sensitive cones in the retina and has_material_basis_in alteration in the red (OPN1LW) and green (OPN1MW) visual pigment gene cluster on chromosome Xq28 or in the locus control region for the red and green pigment genes, located adjacent to and 5-prime of the pigment gene cluster.			en	es	UNTRANSLATED					
DOID:0050699	IAO:0000115	A renal tubular transport disease that is characterized by tubular proteinuria, hypercalciuria, calcium nephrolithiasis, nephrocalcinosis and chronic kidney failure.			en	es	UNTRANSLATED					
DOID:0050699	oboInOwl:hasExactSynonym	X-linked hypercalciuric nephrocalcinosis			en	es	UNTRANSLATED					
DOID:0050745	IAO:0000115	A large B-cell lymphoma that is consisting of medium-sized to large B cells with a diffuse growth pattern.			en	es	UNTRANSLATED					
DOID:0050754	rdfs:label	early-onset ataxia with oculomotor apraxia and hypoalbuminemia			en	es	UNTRANSLATED					
DOID:0050779	IAO:0000115	A syndrome characterized by multiple fetal developmental defects including polydactyly and central nervous system malformations that results from a single amino acid mutation of D211G of the HYLS1 gene which plays a central role in cilia formation.			en	es	UNTRANSLATED					
DOID:0050811	IAO:0000115	A steroid inherited metabolic disorder that is characterized by adrenal insufficiency and variable degrees of hyper or hypo androgyny manifestations resulting from steroidogenic enzyme deficiency.			en	es	UNTRANSLATED					
DOID:0050873	oboInOwl:hasExactSynonym	BCL2 Apoptosis regulator			en	es	UNTRANSLATED					
DOID:0050882	rdfs:label	spinocerebellar ataxia 5			en	es	UNTRANSLATED					
DOID:0050954	rdfs:label	spinocerebellar ataxia 1			en	es	UNTRANSLATED					
